pair_key,home_team,away_team,our_start_iso,our_start_dt,sched_commence_time,sched_start_time,sched_dt,diff_minutes
abilenechristian::jarvischristian,Abilene Christian Wildcats,Jarvis Christian Bulldogs,2025-11-28T21:00:00Z,2025-11-28 21:00:00+00:00,,2025-11-28 21:00:00+00:00,2025-11-28 21:00:00+00:00,0.0
alabamaaandm::clemson,Clemson Tigers,Alabama A&M Bulldogs,2025-11-29T00:00:00Z,2025-11-29 00:00:00+00:00,,2025-11-29 00:00:00+00:00,2025-11-29 00:00:00+00:00,0.0
alcornstate::indianastate,Alcorn State Braves,Indiana State Sycamores,2025-11-28T19:00:00Z,2025-11-28 19:00:00+00:00,,2025-11-28 19:00:00+00:00,2025-11-28 19:00:00+00:00,0.0
american::maine,American University Eagles,Maine Black Bears,2025-11-28T21:00:00Z,2025-11-28 21:00:00+00:00,,2025-11-28 21:00:00+00:00,2025-11-28 21:00:00+00:00,0.0
arkansasstateredwolves::northdakotastate,Arkansas State Red Wolves,North Dakota State Bison,2025-11-28T20:00:00Z,2025-11-28 20:00:00+00:00,,2025-11-28 20:00:00+00:00,2025-11-28 20:00:00+00:00,0.0
ballstate::monmouth,Monmouth Hawks,Ball State Cardinals,2025-11-28T19:00:00Z,2025-11-28 19:00:00+00:00,,2025-11-28 19:00:00+00:00,2025-11-28 19:00:00+00:00,0.0
butler::wrightstateraiders,Butler Bulldogs,Wright State Raiders,2025-11-28T19:00:00Z,2025-11-28 19:00:00+00:00,,2025-11-28 19:00:00+00:00,2025-11-28 19:00:00+00:00,0.0
byu::dayton,Dayton Flyers,BYU Cougars,2025-11-29T07:30:00Z,2025-11-29 07:30:00+00:00,,2025-11-29 02:30:00+00:00,2025-11-29 02:30:00+00:00,300.0
calstatenorthridge::idahostate,Idaho State Bengals,Cal State Northridge Matadors,2025-11-28T23:30:00Z,2025-11-28 23:30:00+00:00,,2025-11-28 23:30:00+00:00,2025-11-28 23:30:00+00:00,0.0
charlestonsouthern::southcarolinagamecocks,South Carolina Gamecocks,Charleston Southern Buccaneers,2025-11-28T21:00:00Z,2025-11-28 21:00:00+00:00,,2025-11-28 21:00:00+00:00,2025-11-28 21:00:00+00:00,0.0
charlotte49ers::richmond,Charlotte 49ers,Richmond Spiders,2025-11-28T17:30:00Z,2025-11-28 17:30:00+00:00,,2025-11-28 17:30:00+00:00,2025-11-28 17:30:00+00:00,0.0
chattanoogamocs::tennesseewesleyan,Chattanooga Mocs,Tennessee Wesleyan Bulldogs,2025-11-28T19:00:00Z,2025-11-28 19:00:00+00:00,,2025-11-28 19:00:00+00:00,2025-11-28 19:00:00+00:00,0.0
