date,game_id,home_team,away_team,start_time_local,start_time_iso,start_tz_abbr,start_min,end_min,half,mu_home_score_end,mu_away_score_end,mu_total_score_end,mu_margin_score_end,q10_home_score_end,q50_home_score_end,q90_home_score_end,q10_away_score_end,q50_away_score_end,q90_away_score_end,q10_total_score_end,q50_total_score_end,q90_total_score_end,q10_margin_score_end,q50_margin_score_end,q90_margin_score_end
2026-02-02,401806458,Tennessee State Tigers,Tennessee Tech Golden Eagles,2026-02-02 20:30,2026-02-03T01:30:00Z,EST,0,5,1,10.55,10.41225,19.809881814119752,0.13775,6.0,10.0,16.0,5.0,10.0,16.0,11.84763181411975,19.84763181411975,27.84763181411975,-6.0,0.0,7.0
2026-02-02,401806458,Tennessee State Tigers,Tennessee Tech Golden Eagles,2026-02-02 20:30,2026-02-03T01:30:00Z,EST,5,10,1,20.7655,20.47425,39.30632730116175,0.29125,13.0,21.0,28.0,13.0,20.0,28.0,28.06657730116175,39.06657730116175,52.06657730116175,-9.0,0.0,9.0
2026-02-02,401806458,Tennessee State Tigers,Tennessee Tech Golden Eagles,2026-02-02 20:30,2026-02-03T01:30:00Z,EST,10,15,1,30.91075,30.55475,59.70835075960679,0.356,22.0,31.0,41.0,21.0,30.0,40.0,44.24285075960679,59.24285075960679,75.2428507596068,-11.0,0.0,12.0
2026-02-02,401806458,Tennessee State Tigers,Tennessee Tech Golden Eagles,2026-02-02 20:30,2026-02-03T01:30:00Z,EST,15,20,1,39.1855,38.69025,76.92065616621984,0.49525,28.0,39.0,51.0,28.0,38.0,50.0,58.04490616621984,76.04490616621985,96.04490616621985,-12.0,1.0,13.0
2026-02-02,401806458,Tennessee State Tigers,Tennessee Tech Golden Eagles,2026-02-02 20:30,2026-02-03T01:30:00Z,EST,20,25,2,50.08075,49.47025,97.988890974084,0.6105,38.0,50.0,63.0,38.0,49.0,62.0,77.437890974084,97.437890974084,118.437890974084,-14.0,1.0,15.0
2026-02-02,401806458,Tennessee State Tigers,Tennessee Tech Golden Eagles,2026-02-02 20:30,2026-02-03T01:30:00Z,EST,25,30,2,60.525,59.78525,118.15095598748884,0.73975,47.0,60.0,74.0,47.0,60.0,73.0,95.84070598748885,117.84070598748885,139.84070598748883,-15.0,1.0,16.0
2026-02-02,401806458,Tennessee State Tigers,Tennessee Tech Golden Eagles,2026-02-02 20:30,2026-02-03T01:30:00Z,EST,30,35,2,71.068,70.0535,138.9867815013405,1.0145,56.0,71.0,86.0,56.0,70.0,84.09999999999991,114.86528150134048,138.8652815013405,162.8652815013405,-16.0,1.0,18.0
2026-02-02,401806458,Tennessee State Tigers,Tennessee Tech Golden Eagles,2026-02-02 20:30,2026-02-03T01:30:00Z,EST,35,40,2,79.9315,78.90525,159.039386282395,1.02625,64.0,80.0,95.0,64.0,79.0,95.0,133.202636282395,159.202636282395,184.202636282395,-17.0,1.0,19.0
2026-02-02,401808494,Portland State Vikings,Idaho State Bengals,2026-02-02 22:00,2026-02-03T03:00:00Z,EST,0,5,1,10.2405,9.72075,18.80888181411975,0.51975,5.0,10.0,15.0,5.0,10.0,15.0,10.84763181411975,18.84763181411975,26.84763181411975,-6.0,0.0,7.0
2026-02-02,401808494,Portland State Vikings,Idaho State Bengals,2026-02-02 22:00,2026-02-03T03:00:00Z,EST,5,10,1,20.17175,19.18825,37.42657730116175,0.9835,13.0,20.0,28.0,12.0,19.0,27.0,25.06657730116175,37.06657730116175,49.06657730116175,-8.0,1.0,10.0
2026-02-02,401808494,Portland State Vikings,Idaho State Bengals,2026-02-02 22:00,2026-02-03T03:00:00Z,EST,10,15,1,30.03575,28.55,56.82860075960679,1.48575,21.0,30.0,40.0,20.0,28.0,38.0,41.24285075960679,56.24285075960679,73.2428507596068,-9.0,1.0,12.0
2026-02-02,401808494,Portland State Vikings,Idaho State Bengals,2026-02-02 22:00,2026-02-03T03:00:00Z,EST,15,20,1,37.7015,35.87325,72.61965616621984,1.82825,27.0,37.0,49.0,25.0,35.0,47.0,54.04490616621984,72.04490616621985,91.04490616621985,-10.0,2.0,14.0
2026-02-02,401808494,Portland State Vikings,Idaho State Bengals,2026-02-02 22:00,2026-02-03T03:00:00Z,EST,20,25,2,48.412,46.02275,92.872640974084,2.38925,36.0,48.0,61.0,34.0,45.0,58.0,73.437890974084,92.437890974084,113.437890974084,-11.0,2.0,16.0
2026-02-02,401808494,Portland State Vikings,Idaho State Bengals,2026-02-02 22:00,2026-02-03T03:00:00Z,EST,25,30,2,58.6125,55.76825,112.22145598748884,2.84425,45.900000000000034,58.0,72.0,43.0,55.0,69.0,91.74070598748888,111.84070598748885,132.84070598748883,-12.0,3.0,18.0
2026-02-02,401808494,Portland State Vikings,Idaho State Bengals,2026-02-02 22:00,2026-02-03T03:00:00Z,EST,30,35,2,68.8115,65.55425,132.23103150134048,3.25725,55.0,69.0,83.0,52.0,65.0,80.0,109.86528150134048,131.8652815013405,154.8652815013405,-13.0,3.0,19.0
2026-02-02,401808494,Portland State Vikings,Idaho State Bengals,2026-02-02 22:00,2026-02-03T03:00:00Z,EST,35,40,2,77.2105,73.62875,151.04188628239498,3.58175,62.0,77.0,92.0,59.0,73.0,89.0,127.202636282395,151.202636282395,175.202636282395,-13.0,4.0,21.0
2026-02-02,401808542,Sacramento State Hornets,Weber State Wildcats,2026-02-02 22:00,2026-02-03T03:00:00Z,EST,0,5,1,10.70925,10.4535,20.01038181411975,0.25575,6.0,10.0,16.0,6.0,10.0,16.0,11.84763181411975,19.84763181411975,28.84763181411975,-6.0,0.0,7.0
2026-02-02,401808542,Sacramento State Hornets,Weber State Wildcats,2026-02-02 22:00,2026-02-03T03:00:00Z,EST,5,10,1,20.9455,20.523,39.53507730116175,0.4225,14.0,21.0,29.0,13.0,20.0,28.0,27.06657730116175,39.06657730116175,52.06657730116175,-9.0,0.0,9.0
2026-02-02,401808542,Sacramento State Hornets,Weber State Wildcats,2026-02-02 22:00,2026-02-03T03:00:00Z,EST,10,15,1,31.13025,30.629,60.00210075960679,0.50125,22.0,31.0,41.0,21.0,30.0,41.0,44.24285075960679,59.24285075960679,76.2428507596068,-11.0,1.0,11.0
