game_id,date,home_team,away_team,home_pf5,home_pa5,home_tot5,away_pf5,away_pa5,away_tot5,home_pf_std5,home_pa_std5,home_tot_std5,away_pf_std5,away_pa_std5,away_tot_std5,home_pf15,home_pa15,home_tot15,away_pf15,away_pa15,away_tot15,home_pf_std15,home_pa_std15,home_tot_std15,away_pf_std15,away_pa_std15,away_tot_std15,target_total,target_margin,target_1h_total,pf_vs_opp_pa_diff5,away_pf_vs_home_pa_diff5,home_net_scoring5,away_net_scoring5,pf_vs_opp_pa_diff15,away_pf_vs_home_pa_diff15,home_net_scoring15,away_net_scoring15,rest_home,rest_away,b2b_home,b2b_away,neutral_site,home_efg5,home_tov_rate5,home_orb_rate5,home_ftr5,home_poss5,away_efg5,away_tov_rate5,away_orb_rate5,away_ftr5,away_poss5,home_rating_margin,away_rating_margin,rating_margin_diff,home_off_rating,away_off_rating,off_rating_diff,home_def_rating,away_def_rating,def_rating_diff,home_tempo_rating,away_tempo_rating,tempo_rating_sum
401811114,2025-12-20,Kansas State Wildcats,South Dakota Coyotes,,,,,,,,,,,,,,,,,,,,,,,,,182,30,91.0,,,,,,,,,,,False,False,False,,,,,,,,,,,2.5,-2.5000000000000004,5.0,,,,,,,,,
401813444,2025-12-20,Dayton Flyers,Liberty Flames,,,,,,,,,,,,,,,,,,,,,,,,,125,-3,62.0,,,,,,,,,,,False,False,False,,,,,,,,,,,-0.25,0.25,-0.5,,,,,,,,,
401823373,2025-12-20,Detroit Mercy Titans,Siena Heights Saints,,,,,,,,,,,,,,,,,,,,,,,,,151,31,57.0,,,,,,,,,,,False,False,False,,,,,,,,,,,2.5833333333333335,-2.5833333333333335,5.166666666666667,,,,,,,,,
401823006,2025-12-20,Youngstown State Penguins,South Carolina Upstate Spartans,,,,,,,,,,,,,,,,,,,,,,,,,139,9,68.0,,,,,,,,,,,False,False,False,,,,,,,,,,,0.75,-0.75,1.5,,,,,,,,,
401822347,2025-12-20,Indiana Hoosiers,Chicago State Cougars,,,,,,,,,,,,,,,,,,,,,,,,,136,20,81.0,,,,,,,,,,,False,False,False,,,,,,,,,,,1.666666666666667,-1.6666666666666665,3.3333333333333335,,,,,,,,,
401817205,2025-12-20,St. Bonaventure Bonnies,Le Moyne Dolphins,,,,,,,,,,,,,,,,,,,,,,,,,173,11,89.0,,,,,,,,,,,False,False,False,,,,,,,,,,,0.9166666666666667,-0.9166666666666667,1.8333333333333335,,,,,,,,,
401813769,2025-12-20,Western Michigan Broncos,Buffalo Bulls,,,,,,,,,,,,,,,,,,,,,,,,,159,-17,69.0,,,,,,,,,,,False,False,False,,,,,,,,,,,-1.4166666666666667,1.4166666666666667,-2.8333333333333335,,,,,,,,,
401813383,2025-12-20,Niagara Purple Eagles,Houghton Highlanders,,,,,,,,,,,,,,,,,,,,,,,,,139,23,61.0,,,,,,,,,,,False,False,False,,,,,,,,,,,1.916666666666667,-1.9166666666666665,3.8333333333333335,,,,,,,,,
401812388,2025-12-20,Saint Francis Red Flash,Robert Morris Colonials,,,,,,,,,,,,,,,,,,,,,,,,,149,-9,71.0,,,,,,,,,,,False,False,False,,,,,,,,,,,-0.75,0.75,-1.5,,,,,,,,,
401808581,2025-12-20,App State Mountaineers,Georgia State Panthers,,,,,,,,,,,,,,,,,,,,,,,,,133,-7,59.0,,,,,,,,,,,False,False,False,,,,,,,,,,,-0.5833333333333334,0.5833333333333334,-1.1666666666666667,,,,,,,,,
