date,game_id,event_id,book,market,period,selection,line,price,edge,kelly,fractional,uncertainty_scale,p_over,p_under,b_over,b_under,ev_over,ev_under,prob,ev,stake
2025-11-09,401812600.0,,FanDuel,totals,,under,147.5,,-5.8262,0.16930034751632997,0.5,0.3125,0.39557126308746193,0.6044287369125381,0.9090909090909091,0.9090909090909091,-0.2448184977421181,0.15390940683302723,0.6044287369125381,0.15390940683302723,4.706621120433392
2025-11-09,401813320.0,,BetOnline.ag,totals,,over,140.0,,1.912779999999998,0.022748629022898738,0.5,0.3125,0.5346422042966185,0.46535779570338154,0.9090909090909091,0.9090909090909091,0.02068057183899885,-0.11158966274808979,0.5346422042966185,0.02068057183899885,0.6324214887376521
2025-11-09,401819824.0,,DraftKings,totals,,under,155.5,,-13.731979999999993,0.44086577785325826,0.5,0.3125,0.26625439149844843,0.7337456085015516,0.9090909090909091,0.9090909090909091,-0.49169616168478025,0.4007870707756893,0.7337456085015516,0.4007870707756893,5.337681040708125
2025-11-09,401819916.0,,BetOnline.ag,totals,,over,139.0,,2.531560000000013,0.04619163621789767,0.5,0.3125,0.5458055410561418,0.45419445894385824,0.9090909090909091,0.9090909090909091,0.041992396561725154,-0.1329014874708161,0.5458055410561418,0.041992396561725154,1.284146983747704
2025-11-09,401823022.0,,FanDuel,totals,,under,153.5,,-11.674839999999989,0.37457345544778525,0.5,0.3125,0.2978221640724832,0.7021778359275168,0.9090909090909091,0.9090909090909091,-0.4314304140434412,0.34052132313435024,0.7021778359275168,0.34052132313435024,5.337681040708125
2025-11-09,401823417.0,,DraftKings,totals,,under,157.5,,-15.367369999999994,0.4909032539895172,0.5,0.3125,0.24242702190975374,0.7575729780902463,0.9090909090909091,0.9090909090909091,-0.5371847763541064,0.4462756854450156,0.7575729780902463,0.4462756854450156,5.337681040708125
2025-11-09,401823485.0,,BetOnline.ag,totals,,under,162.5,,-20.706220000000002,0.6360631027263194,0.5,0.3125,0.17330328441603837,0.8266967155839616,0.9090909090909091,0.9090909090909091,-0.6691482752057449,0.578239184296654,0.8266967155839616,0.578239184296654,5.337681040708125
2025-11-09,401823515.0,,BetOnline.ag,totals,,under,161.0,,-19.37315000000001,0.6025376313900364,0.5,0.3125,0.18926779457617315,0.8107322054238268,0.9090909090909091,0.9090909090909091,-0.6386705739909422,0.5477614830818512,0.8107322054238268,0.5477614830818512,5.337681040708125
2025-11-09,401823858.0,,DraftKings,totals,,under,161.5,,-18.671719999999993,0.5841578419740924,0.5,0.3125,0.1980200752504322,0.8019799247495678,0.9090909090909091,0.9090909090909091,-0.6219616745219022,0.5310525836128113,0.8019799247495678,0.5310525836128113,5.337681040708125
2025-11-09,401824089.0,,FanDuel,totals,,under,153.5,,-11.603579999999994,0.37221421055528014,0.5,0.3125,0.29894561402129516,0.7010543859787048,0.9090909090909091,0.9090909090909091,-0.4292856459593456,0.33837655505025466,0.7010543859787048,0.33837655505025466,5.337681040708125
2025-11-09,401826772.0,,FanDuel,totals,,under,151.5,,-10.418579999999992,0.33240446024240927,0.5,0.3125,0.3179026379798051,0.6820973620201949,0.9090909090909091,0.9090909090909091,-0.3930949638567357,0.30218587294764476,0.6820973620201949,0.30218587294764476,5.337681040708125
2025-11-09,401827257.0,,DraftKings,totals,,under,151.5,,-9.274660000000011,0.2929983283448796,0.5,0.3125,0.3366674626929145,0.6633325373070855,0.9090909090909091,0.9090909090909091,-0.3572712075862542,0.26636211667716325,0.6633325373070855,0.26636211667716325,5.337681040708125
2025-11-09,401828296.0,,FanDuel,totals,,under,153.5,,-11.393370000000004,0.36523123617088116,0.5,0.3125,0.302270839918628,0.697729160081372,0.9090909090909091,0.9090909090909091,-0.4229374874280738,0.33202839651898286,0.697729160081372,0.33202839651898286,5.337681040708125
