date,game_id,home_team,away_team,start_time_local,start_time_iso,start_tz_abbr,abs_margin_proxy,abs_margin_proxy_source,segment_probs_source,segment_probs_half1_len_passed,segment_probs_half2_len_passed,segment_probs_half1_hash_passed,segment_probs_half2_hash_passed,segment,half,start_min,end_min,mu_home_pts_seg,mu_away_pts_seg,mu_total_pts_seg,mu_margin_pts_seg,q10_home_pts_seg,q50_home_pts_seg,q90_home_pts_seg,q10_away_pts_seg,q50_away_pts_seg,q90_away_pts_seg,q10_total_pts_seg,q50_total_pts_seg,q90_total_pts_seg,q10_margin_pts_seg,q50_margin_pts_seg,q90_margin_pts_seg,mu_home_score_end,mu_away_score_end,mu_total_score_end,mu_margin_score_end,q10_home_score_end,q50_home_score_end,q90_home_score_end,q10_away_score_end,q50_away_score_end,q90_away_score_end,q10_total_score_end,q50_total_score_end,q90_total_score_end,q10_margin_score_end,q50_margin_score_end,q90_margin_score_end,mu_home_poss_seg,mu_away_poss_seg,mu_total_poss_seg,q10_total_poss_seg,q50_total_poss_seg,q90_total_poss_seg,mu_home_tov_seg,mu_away_tov_seg,mu_total_tov_seg,q10_total_tov_seg,q50_total_tov_seg,q90_total_tov_seg,mu_home_fta_seg,mu_away_fta_seg,mu_total_fta_seg,q10_total_fta_seg,q50_total_fta_seg,q90_total_fta_seg,mu_home_fga2_seg,mu_away_fga2_seg,mu_total_fga2_seg,q10_total_fga2_seg,q50_total_fga2_seg,q90_total_fga2_seg,mu_home_fga3_seg,mu_away_fga3_seg,mu_total_fga3_seg,q10_total_fga3_seg,q50_total_fga3_seg,q90_total_fga3_seg
2026-02-09,401807704,North Alabama Lions,Central Arkansas Bears,2026-02-09 19:00,2026-02-10T00:00:00Z,EST,7.0,spread,base,4,4,10bd9d660db9,1eda605b8ee7,1,1,0,5,8.28525,8.51775,16.803,-0.2325,4.0,8.0,12.0,4.0,8.0,13.0,11.0,17.0,23.0,-6.0,0.0,5.0,8.28525,8.51775,16.56948199327895,-0.2325,4.0,8.0,12.0,4.0,8.0,13.0,10.76648199327895,16.76648199327895,22.76648199327895,-6.0,0.0,5.0,8.3655,8.24425,16.60975,11.0,16.0,22.0,1.433,1.45,2.883,1.0,3.0,5.0,1.57275,1.60525,3.178,1.0,3.0,6.0,3.85875,3.93375,7.7925,4.0,8.0,12.0,2.15625,2.212,4.36825,2.0,4.0,7.0
2026-02-09,401807704,North Alabama Lions,Central Arkansas Bears,2026-02-09 19:00,2026-02-10T00:00:00Z,EST,7.0,spread,base,4,4,10bd9d660db9,1eda605b8ee7,2,1,5,10,8.46275,8.7145,17.17725,-0.25175,4.0,8.0,13.0,5.0,8.0,13.0,11.0,17.0,24.0,-6.0,0.0,5.0,16.748,17.23225,33.39543620878011,-0.48425,11.0,17.0,23.0,11.0,17.0,24.0,23.415186208780124,33.41518620878012,43.41518620878012,-9.0,-1.0,8.0,8.42325,8.41025,16.8335,11.0,17.0,23.0,1.46225,1.4665,2.92875,1.0,3.0,5.0,1.57525,1.5905,3.16575,1.0,3.0,6.0,3.95475,3.9395,7.89425,4.0,8.0,12.0,2.22225,2.20175,4.424,2.0,4.0,7.0
2026-02-09,401807704,North Alabama Lions,Central Arkansas Bears,2026-02-09 19:00,2026-02-10T00:00:00Z,EST,7.0,spread,base,4,4,10bd9d660db9,1eda605b8ee7,3,1,10,15,8.82525,8.9195,17.74475,-0.09425,5.0,9.0,13.0,5.0,9.0,13.0,12.0,17.0,24.0,-6.0,0.0,5.0,25.57325,26.15175,50.362223757614615,-0.5785,17.0,25.0,34.0,18.0,26.0,35.0,36.63722375761463,49.63722375761463,64.63722375761463,-11.0,-1.0,10.0,8.74225,8.7975,17.53975,12.0,17.0,23.0,1.5475,1.5515,3.099,1.0,3.0,5.0,1.639,1.642,3.281,1.0,3.0,6.0,4.154,4.04175,8.19575,5.0,8.0,12.0,2.328,2.28875,4.61675,2.0,4.0,7.0
2026-02-09,401807704,North Alabama Lions,Central Arkansas Bears,2026-02-09 19:00,2026-02-10T00:00:00Z,EST,7.0,spread,base,4,4,10bd9d660db9,1eda605b8ee7,4,1,15,20,9.07775,9.349,18.42675,-0.27125,5.0,9.0,14.0,5.0,9.0,14.0,12.0,18.0,25.0,-6.0,0.0,5.0,34.651,35.50075,70.44174203532387,-0.84975,24.0,34.0,45.0,25.0,35.0,47.0,53.28999203532388,69.28999203532388,88.28999203532388,-13.0,-1.0,11.0,9.02025,9.09925,18.1195,13.0,18.0,24.0,1.59125,1.596,3.18725,1.0,3.0,6.0,1.6875,1.72225,3.40975,1.0,3.0,6.0,4.23575,4.21825,8.454,5.0,8.0,12.0,2.37025,2.3715,4.74175,2.0,5.0,8.0
2026-02-09,401807704,North Alabama Lions,Central Arkansas Bears,2026-02-09 19:00,2026-02-10T00:00:00Z,EST,7.0,spread,base,4,4,10bd9d660db9,1eda605b8ee7,5,2,20,25,9.262,9.48825,18.75025,-0.22625,5.0,9.0,14.0,5.0,9.0,14.0,12.0,19.0,25.0,-6.0,0.0,5.0,43.913,44.989,87.14050714562309,-1.076,33.0,44.0,55.0,34.0,45.0,56.0,67.99218622103845,86.24579666756506,107.59553267816152,-14.0,-1.0,12.0,8.66275,8.68775,17.3505,12.0,17.0,23.0,1.4965,1.49675,2.99325,1.0,3.0,5.0,1.6685,1.622,3.2905,1.0,3.0,6.0,4.0585,4.05125,8.10975,5.0,8.0,12.0,2.2875,2.268,4.5555,2.0,4.0,7.0
2026-02-09,401807704,North Alabama Lions,Central Arkansas Bears,2026-02-09 19:00,2026-02-10T00:00:00Z,EST,7.0,spread,base,4,4,10bd9d660db9,1eda605b8ee7,6,2,25,30,9.09325,9.2245,18.31775,-0.13125,5.0,9.0,14.0,5.0,9.0,14.0,12.0,18.0,25.0,-6.0,0.0,5.0,53.00625,54.2135,105.52120668850074,-1.20725,41.0,53.0,65.0,42.0,54.0,66.0,82.80881483933145,104.31603573238468,129.11550775357753,-16.0,-1.0,13.0,8.50525,8.46425,16.9695,12.0,17.0,23.0,1.50625,1.492,2.99825,1.0,3.0,5.0,1.6235,1.60775,3.23125,1.0,3.0,6.0,3.966,4.00625,7.97225,4.0,8.0,12.0,2.21775,2.2365,4.45425,2.0,4.0,7.0
2026-02-09,401807704,North Alabama Lions,Central Arkansas Bears,2026-02-09 19:00,2026-02-10T00:00:00Z,EST,7.0,spread,base,4,4,10bd9d660db9,1eda605b8ee7,7,2,30,35,9.2215,9.51325,18.73475,-0.29175,5.0,9.0,14.0,5.0,9.0,14.0,12.0,18.0,25.0,-6.0,0.0,5.0,62.22775,63.72675,123.44223700616938,-1.499,50.0,62.0,75.0,51.0,64.0,77.0,106.28456607934396,122.94219962158428,141.47388534706812,-17.0,-2.0,14.0,8.6685,8.75925,17.42775,12.0,17.0,23.0,1.53025,1.51725,3.0475,1.0,3.0,5.0,1.64775,1.6145,3.26225,1.0,3.0,6.0,4.07,4.05625,8.12625,5.0,8.0,12.0,2.28875,2.30825,4.597,2.0,4.0,7.0
2026-02-09,401807704,North Alabama Lions,Central Arkansas Bears,2026-02-09 19:00,2026-02-10T00:00:00Z,EST,7.0,spread,base,4,4,10bd9d660db9,1eda605b8ee7,8,2,35,40,10.30175,10.6755,20.97725,-0.37375,6.0,10.0,15.0,6.0,10.0,15.0,14.0,21.0,28.0,-6.0,0.0,6.0,72.5295,74.40225,146.93175,-1.87275,59.0,72.0,87.0,61.0,74.0,88.0,125.90000000000003,147.0,169.0,-19.0,-2.0,15.0,9.7335,9.65875,19.39225,14.0,19.0,25.0,1.697,1.679,3.376,1.0,3.0,6.0,1.82825,1.79625,3.6245,1.0,3.0,6.099999999999909,4.45775,4.56475,9.0225,5.0,9.0,13.0,2.60975,2.5735,5.18325,2.0,5.0,8.0
2026-02-09,401808717,Stephen F. Austin Lumberjacks,East Texas A&M Lions,2026-02-09 19:30,2026-02-10T00:30:00Z,EST,15.5,spread,base,4,4,10bd9d660db9,1eda605b8ee7,1,1,0,5,8.123,8.151,16.274,-0.028,4.0,8.0,12.0,4.0,8.0,12.0,10.0,16.0,23.0,-5.0,0.0,5.0,8.123,8.151,16.040481993278952,-0.028,4.0,8.0,12.0,4.0,8.0,12.0,9.76648199327895,15.76648199327895,22.76648199327895,-5.0,0.0,5.0,8.334,8.31625,16.65025,11.0,16.0,22.0,1.4765,1.46875,2.94525,1.0,3.0,5.0,1.564,1.5825,3.1465,1.0,3.0,6.0,3.813,3.93425,7.74725,4.0,8.0,11.099999999999907,2.1685,2.18075,4.34925,2.0,4.0,7.0
2026-02-09,401808717,Stephen F. Austin Lumberjacks,East Texas A&M Lions,2026-02-09 19:30,2026-02-10T00:30:00Z,EST,15.5,spread,base,4,4,10bd9d660db9,1eda605b8ee7,2,1,5,10,8.285,8.33725,16.62225,-0.05225,4.0,8.0,13.0,4.0,8.0,13.0,10.0,16.0,23.0,-5.0,0.0,5.0,16.408,16.48825,32.31143620878012,-0.08025,10.0,16.0,23.0,10.0,16.0,23.0,22.415186208780124,32.41518620878012,42.41518620878012,-8.0,0.0,8.0,8.438,8.4845,16.9225,11.0,17.0,23.0,1.48825,1.453,2.94125,1.0,3.0,5.0,1.62075,1.58,3.20075,1.0,3.0,6.0,4.01475,3.9875,8.00225,4.0,8.0,12.0,2.21425,2.20925,4.4235,2.0,4.0,7.0
