game_id,home_team,away_team,closing_total,closing_spread_home,closing_ml_home,closing_ml_away
2025-11-28:alcorn_st_braves:indiana_st_sycamores,Indiana St Sycamores,Alcorn St Braves,152.0,-11.5,,
2025-11-28:ball_state_cardinals:monmouth_hawks,Monmouth Hawks,Ball State Cardinals,137.5,-3.5,,
2025-11-28:charleston_southern_buccaneers:south_carolina_gamecocks,South Carolina Gamecocks,Charleston Southern Buccaneers,150.5,-17.5,,
2025-11-28:chicago_st_cougars:youngstown_st_penguins,Youngstown St Penguins,Chicago St Cougars,146.5,-14.5,,
2025-11-28:cleveland_st_vikings:missouri_tigers,Missouri Tigers,Cleveland St Vikings,170.0,-29.25,,
2025-11-28:colorado_st_rams:wichita_st_shockers,Wichita St Shockers,Colorado St Rams,143.5,1.5,,
2025-11-28:csu_northridge_matadors:idaho_state_bengals,Idaho State Bengals,CSU Northridge Matadors,149.5,-1.25,,
2025-11-28:duke_blue_devils:arkansas_razorbacks,Arkansas Razorbacks,Duke Blue Devils,159.5,10.5,,
2025-11-28:eastern_illinois_panthers:purdue_boilermakers,Purdue Boilermakers,Eastern Illinois Panthers,141.5,-40.5,,
2025-11-28:furman_paladins:illinois_st_redbirds,Illinois St Redbirds,Furman Paladins,148.0,-4.0,,
2025-11-28:georgetown_hoyas:dayton_flyers,Dayton Flyers,Georgetown Hoyas,146.0,-1.0,,
2025-11-28:hofstra_pride:la_salle_explorers,La Salle Explorers,Hofstra Pride,140.5,2.5,,
2025-11-28:illinois_fighting_illini:uconn_huskies,UConn Huskies,Illinois Fighting Illini,152.0,-4.0,,
2025-11-28:le_moyne_dolphins:lafayette_leopards,Lafayette Leopards,Le Moyne Dolphins,151.5,-4.5,,
2025-11-28:maine_black_bears:american_eagles,American Eagles,Maine Black Bears,132.5,-8.0,,
2025-11-28:merrimack_warriors:pennsylvania_quakers,Pennsylvania Quakers,Merrimack Warriors,153.5,-3.5,,
2025-11-28:minnesota_golden_gophers:stanford_cardinal,Stanford Cardinal,Minnesota Golden Gophers,144.0,-2.5,,
2025-11-28:navy_midshipmen:unc_wilmington_seahawks,UNC Wilmington Seahawks,Navy Midshipmen,139.5,-8.5,,
2025-11-28:nevada_wolf_pack:san_francisco_dons,San Francisco Dons,Nevada Wolf Pack,143.5,-5.0,,
2025-11-28:nicholls_st_colonels:tulane_green_wave,Tulane Green Wave,Nicholls St Colonels,149.5,-8.5,,
2025-11-28:njit_highlanders:eastern_michigan_eagles,Eastern Michigan Eagles,NJIT Highlanders,141.5,-15.5,,
2025-11-28:north_carolina_a_t_aggies:davidson_wildcats,Davidson Wildcats,North Carolina A&T Aggies,147.5,-13.5,,
2025-11-28:north_dakota_st_bison:arkansas_st_red_wolves,Arkansas St Red Wolves,North Dakota St Bison,161.0,-2.5,,
2025-11-28:northeastern_huskies:wake_forest_demon_deacons,Wake Forest Demon Deacons,Northeastern Huskies,153.5,-19.0,,
2025-11-28:oklahoma_sooners:marquette_golden_eagles,Marquette Golden Eagles,Oklahoma Sooners,161.25,1.5,,
2025-11-28:oklahoma_st_cowboys:northwestern_wildcats,Northwestern Wildcats,Oklahoma St Cowboys,159.5,-3.5,,
2025-11-28:providence_friars:florida_gators,Florida Gators,Providence Friars,169.5,-11.5,,
2025-11-28:queens_university_royals:virginia_cavaliers,Virginia Cavaliers,Queens University Royals,160.5,-25.25,,
2025-11-28:richmond_spiders:charlotte_49ers,Charlotte 49ers,Richmond Spiders,143.5,6.5,,
2025-11-28:saint_louis_billikens:santa_clara_broncos,Santa Clara Broncos,Saint Louis Billikens,158.5,1.5,,
2025-11-28:se_louisiana_lions:gardner_webb_bulldogs,Gardner-Webb Bulldogs,SE Louisiana Lions,142.0,7.0,,
2025-11-28:siena_saints:longwood_lancers,Longwood Lancers,Siena Saints,146.5,6.5,,
2025-11-28:south_florida_bulls:colorado_st_rams,Colorado St Rams,South Florida Bulls,155.5,2.75,,
2025-11-28:southern_utah_thunderbirds:robert_morris_colonials,Robert Morris Colonials,Southern Utah Thunderbirds,152.5,-8.5,,
2025-11-28:texas_a_m_aggies:florida_st_seminoles,Florida St Seminoles,Texas A&M Aggies,171.5,-1.5,,
2025-11-28:texas_a_m_cc_islanders:xavier_musketeers,Xavier Musketeers,Texas A&M-CC Islanders,146.5,-15.5,,
2025-11-28:texas_state_bobcats:seattle_redhawks,Seattle Redhawks,Texas State Bobcats,136.75,-6.5,,
2025-11-28:uc_santa_barbara_gauchos:lehigh_mountain_hawks,Lehigh Mountain Hawks,UC Santa Barbara Gauchos,148.0,10.5,,
2025-11-28:vanderbilt_commodores:saint_mary_s_gaels,Saint Mary's Gaels,Vanderbilt Commodores,151.0,4.0,,
2025-11-28:vcu_rams:virginia_tech_hokies,Virginia Tech Hokies,VCU Rams,161.5,10.0,,
2025-11-28:washington_huskies:colorado_buffaloes,Colorado Buffaloes,Washington Huskies,154.5,2.5,,
2025-11-28:wisconsin_badgers:tcu_horned_frogs,TCU Horned Frogs,Wisconsin Badgers,155.0,6.5,,
2025-11-28:wright_st_raiders:butler_bulldogs,Butler Bulldogs,Wright St Raiders,150.5,-14.5,,
