date,residual_std,predictability_score,fairness_bias_flag,fairness_disparity_flag,recalibration_needed,leakage_suspicious_cols,crps_mean,totals_residual_mean,totals_residual_std,margin_residual_mean,margin_residual_std,rows,total_corr,margin_corr,backtest_totals_roi,backtest_totals_pnl_units,backtest_totals_n_bets,backtest_totals_win_rate,backtest_totals_avg_edge,backtest_spread_roi,backtest_spread_pnl_units,backtest_spread_n_bets,backtest_spread_win_rate,backtest_spread_avg_edge,backtest_moneyline_roi,backtest_moneyline_pnl_units,backtest_moneyline_n_bets,backtest_moneyline_win_rate,backtest_moneyline_avg_edge,crps_total_mean,ll_total_mean,residual_mean,residual_mae,calibration_slope_total,calibration_intercept_total,trailing_residual_std,reasons,corr_pred_market_total,corr_pred_market_margin,crps_degradation,global_mean_residual_total,global_mean_residual_margin,global_bias_flag,global_disparity_flag,conferences_evaluated,suspicious_columns_count
2025-11-03,,,,,,,,-5.9489593505859375,20.008245786288686,-16.758431108374346,11.7287030359644,19,0.05299044660275238,0.998825701708976,,0.0,0,,,,0.0,0,,,,0.0,0,,,-12.31313210062342,-4.916761907990808,,,,,,,,,,,,,,,
2025-11-04,,,,,,,,-0.357185787624783,18.5081785764675,-15.466954032580057,14.021418010008581,36,0.1761824849459235,0.9996835562710854,,0.0,0,,,,0.0,0,,,,0.0,0,,,-11.371535561105297,-4.593707182663824,,,,,,,,,,,,,,,
2025-11-05,,,,,,,,1.7886736188616073,18.71584641684374,-19.66821483884539,12.132422597460893,35,0.1390467776835396,0.9999999999999952,,0.0,0,,,,0.0,0,,,,0.0,0,,,-11.474832248743581,-4.6312141427624445,,,,,,,,,,,,,,,
2025-11-06,,,,,,,,-4.071162830699574,18.356684841561172,-15.400267525152726,15.209046949295413,44,0.2977170038624343,0.9999999999999978,,0.0,0,,,,0.0,0,,,,0.0,0,,,-11.349786052243466,-4.631422423154032,,,,,,,,,,,,,,,
2025-11-07,,,,,,,,10.724088166889391,38.66130259866261,-9.069482414345993,14.51017004682664,76,0.4119752142314076,0.9997284625766432,,0.0,0,,,,0.0,0,,,,0.0,0,,,-22.251657654496732,-8.993089577564108,,,,,,,,,,,,,,,
2025-11-08,,,,,,,,-19.885977924733922,25.24270799319007,-8.422325070353521,22.06279305969005,69,-0.35789149035774853,0.24592904511842295,,0.0,0,,,,0.0,0,,,,0.0,0,,,-19.651974215356518,-6.989423047063739,,,,,,,,,,,,,,,
2025-11-09,,,,,,,,-18.94938906501321,25.592521037408844,-10.284993224284229,23.373900187894073,34,-0.03796094172399182,-0.007080786109139841,,0.0,0,,,,0.0,0,,,,0.0,0,,,-19.811823585957146,-6.924874623921341,,,,,,,,,,,,,,,
2025-11-10,,,,,,,,-12.047105026245116,20.05242659490158,-16.307966680824755,27.650895078223403,40,-0.2063505876518545,-0.160210988579396,,0.0,0,,,,0.0,0,,,,0.0,0,,,-13.892463749322744,-5.303958210274952,,,,,,,,,,,,,,,
2025-11-11,,,,,,,,-3.5857679785751717,21.255266193770336,-5.97607063956377,19.47960500579509,82,-0.03722100904047238,0.5258923127711076,,0.0,0,,,,0.0,0,,,,0.0,0,,,-13.09807895981144,-5.01719265856285,,,,,,,,,,,,,,,
2025-11-12,,,,,,,,-9.778415821216724,15.230184290423507,-14.460668466709278,19.06536211711009,54,0.27525385197596364,0.21916833383472176,,0.0,0,,,,0.0,0,,,,0.0,0,,,-10.528790796317727,-4.541261604842967,,,,,,,,,,,,,,,
2025-11-13,,,,,,,,-6.462747427133413,18.908535327522518,-9.570912376923078,13.309112115320895,26,0.2117856555499818,0.9933196503256585,,0.0,0,,,,0.0,0,,,,0.0,0,,,-12.009647413534283,-4.790302865420057,,,,,,,,,,,,,,,
2025-11-14,,,,,,,,-12.509865264892579,23.572743891959334,-2.745609732866287,16.081453669510232,50,0.09719656180374646,0.4169890291551457,,0.0,0,,,,0.0,0,,,,0.0,0,,,-16.40919820345903,-5.876661098067923,,,,,,,,,,,,,,,
2025-11-15,,,,,,,,-11.806150296839272,24.798894035988187,-5.330967500442412,20.012386502167775,82,-0.06740265306326099,0.17894383003762068,,0.0,0,,,,0.0,0,,,,0.0,0,,,-16.84630368365584,-6.023186607436174,,,,,,,,,,,,,,,
2025-11-16,,,,,,,,-14.606409633860869,24.697865986501508,-3.258696210296715,16.652425052909226,34,0.06688103853080662,0.24863639228246062,,0.0,0,,,,0.0,0,,,,0.0,0,,,-18.677295457443346,-6.262636108962575,,,,,,,,,,,,,,,
2025-11-17,,,,,,,,-8.149544659782858,20.8254012785042,-11.314714470330406,21.248682402587182,34,-0.16153477378282494,0.19712184453862358,,0.0,0,,,,0.0,0,,,,0.0,0,,,-12.61390035117711,-5.140346629425032,,,,,,,,,,,,,,,
2025-11-18,,,,,,,,-7.467511120964499,23.967593775609696,-7.011767106897691,17.19820315318434,68,0.03050512496372729,0.0690631493704093,,0.0,0,,,,0.0,0,,,,0.0,0,,,-15.731367271344352,-5.592071827903691,,,,,,,,,,,,,,,
2025-11-19,22.878224900955978,0.0,,,False,,,-5.998030090332032,22.64828715656766,-6.061202275753021,18.083010064648164,50,-0.002139396817107075,0.25795677879760587,,0.0,0,,,,0.0,0,,,,0.0,0,,,-13.517014128395793,-5.309821836085994,,17.789107360839843,-0.0038028982493186077,150.60785301316287,25.30822747550178,[],,,,,,,,,
2025-11-20,,,,,,0.0,,,,,,0,,,,0.0,0,,,,0.0,0,,,,0.0,0,,,,,,,,,,,,,,,,,,0.0,0.0
2025-11-21,,,,,,,,,,,,0,,,,0.0,0,,,,0.0,0,,,,0.0,0,,,,,,,,,,,,,,,,,,,
2025-11-22,,,,,,,,,,,,0,,,,0.0,0,,,,0.0,0,,,,0.0,0,,,,,,,,,,,,,,,,,,,
2025-11-23,,,,,,,,,,,,0,,,,0.0,0,,,,0.0,0,,,,0.0,0,,,,,,,,,,,,,,,,,,,
2025-11-24,,,,,,,,,,,,0,,,,0.0,0,,,,0.0,0,,,,0.0,0,,,,,,,,,,,,,,,,,,,
2025-11-25,,,,,,,,,,,,0,,,,0.0,0,,,,0.0,0,,,,0.0,0,,,,,,,,,,,,,,,,,,,
2025-11-26,,,,,,,,,,,,0,,,,0.0,0,,,,0.0,0,,,,0.0,0,,,,,,,,,,,,,,,,,,,
2025-11-27,,,,,,,,,,,,0,,,,0.0,0,,,,0.0,0,,,,0.0,0,,,,,,,,,,,,,,,,,,,
2025-11-28,,,,,,,,,,,,0,,,,0.0,0,,,,0.0,0,,,,0.0,0,,,,,,,,,,,,,,,,,,,
2025-11-29,,,,,,,,,,,,0,,,,0.0,0,,,,0.0,0,,,,0.0,0,,,,,,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,0,,,,0.0,0,,,,0.0,0,,,,0.0,0,,,,,,,,,,,,,,,,,,,
2025-12-01,,,,,,,,,,,,0,,,,0.0,0,,,,0.0,0,,,,0.0,0,,,,,,,,,,,,,,,,,,,
2025-12-02,,,,,,,,,,,,0,,,,0.0,0,,,,0.0,0,,,,0.0,0,,,,,,,,,,,,,,,,,,,
2025-12-03,,,,,,,,,,,,0,,,,0.0,0,,,,0.0,0,,,,0.0,0,,,,,,,,,,,,,,,,,,,
2025-12-04,,,,,,,,,,,,0,,,,0.0,0,,,,0.0,0,,,,0.0,0,,,,,,,,,,,,,,,,,,,
