event_id,book,fetched_at,last_update,commence_time,home_team_name,away_team_name,market,period,moneyline_home,moneyline_away,home_spread,home_spread_price,away_spread,away_spread_price,total,over_price,under_price
9e13a0e3f80bf0e9d3e4a535eb3af436,Bovada,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:56+00:00,2025-12-06 00:00:00+00:00,Bethune-Cookman Wildcats,South Carolina St Bulldogs,h2h,2h,-800.0,525.0,,,,,,,
9e13a0e3f80bf0e9d3e4a535eb3af436,Bovada,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:56+00:00,2025-12-06 00:00:00+00:00,Bethune-Cookman Wildcats,South Carolina St Bulldogs,spreads,full_game,,,-12.0,-110.0,12.0,-110.0,,,
9e13a0e3f80bf0e9d3e4a535eb3af436,Bovada,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:56+00:00,2025-12-06 00:00:00+00:00,Bethune-Cookman Wildcats,South Carolina St Bulldogs,totals,full_game,,,,,,,148.5,-110.0,-110.0
9e13a0e3f80bf0e9d3e4a535eb3af436,Caesars,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:16:27+00:00,2025-12-06 00:00:00+00:00,Bethune-Cookman Wildcats,South Carolina St Bulldogs,h2h,2h,-800.0,550.0,,,,,,,
9e13a0e3f80bf0e9d3e4a535eb3af436,Caesars,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:16:27+00:00,2025-12-06 00:00:00+00:00,Bethune-Cookman Wildcats,South Carolina St Bulldogs,spreads,full_game,,,-11.5,-115.0,11.5,-105.0,,,
9e13a0e3f80bf0e9d3e4a535eb3af436,Caesars,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:16:27+00:00,2025-12-06 00:00:00+00:00,Bethune-Cookman Wildcats,South Carolina St Bulldogs,totals,full_game,,,,,,,148.5,-110.0,-110.0
7ea62a2319080b8532c9c69fd74f1d9a,DraftKings,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:54+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,h2h,2h,-278.0,225.0,,,,,,,
7ea62a2319080b8532c9c69fd74f1d9a,DraftKings,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:54+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,spreads,full_game,,,-6.5,-110.0,6.5,-110.0,,,
7ea62a2319080b8532c9c69fd74f1d9a,DraftKings,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:54+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,totals,full_game,,,,,,,130.5,-108.0,-112.0
7ea62a2319080b8532c9c69fd74f1d9a,BetOnline.ag,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:53+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,spreads,full_game,,,-6.5,-111.0,6.5,-109.0,,,
7ea62a2319080b8532c9c69fd74f1d9a,BetOnline.ag,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:53+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,totals,full_game,,,,,,,130.5,-115.0,-105.0
7ea62a2319080b8532c9c69fd74f1d9a,BetMGM,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:26+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,h2h,2h,-295.0,230.0,,,,,,,
7ea62a2319080b8532c9c69fd74f1d9a,BetMGM,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:26+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,spreads,full_game,,,-6.5,-110.0,6.5,-110.0,,,
7ea62a2319080b8532c9c69fd74f1d9a,BetMGM,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:26+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,totals,full_game,,,,,,,130.5,-115.0,-105.0
7ea62a2319080b8532c9c69fd74f1d9a,Fanatics,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:28+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,h2h,2h,-285.0,230.0,,,,,,,
7ea62a2319080b8532c9c69fd74f1d9a,Fanatics,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:28+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,spreads,full_game,,,-6.5,-110.0,6.5,-110.0,,,
7ea62a2319080b8532c9c69fd74f1d9a,Fanatics,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:28+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,totals,full_game,,,,,,,130.5,-110.0,-110.0
7ea62a2319080b8532c9c69fd74f1d9a,LowVig.ag,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:30+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,spreads,full_game,,,-6.5,-107.0,6.5,-105.0,,,
7ea62a2319080b8532c9c69fd74f1d9a,LowVig.ag,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:30+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,totals,full_game,,,,,,,130.5,-113.0,-103.0
7ea62a2319080b8532c9c69fd74f1d9a,FanDuel,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:57+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,h2h,2h,-310.0,240.0,,,,,,,
7ea62a2319080b8532c9c69fd74f1d9a,FanDuel,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:57+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,spreads,full_game,,,-6.5,-110.0,6.5,-110.0,,,
