date,team,reason
2025-12-18,Central Connecticut Blue Devils,no_features_pred_source
2025-12-18,Lafayette Leopards,no_features_pred_source
2025-12-18,Montana-Western Bulldogs,no_features_pred_source
2025-12-18,Morris College Hornets,no_features_pred_source
2025-12-18,Nobel Knights,no_features_pred_source
2025-12-18,Penn State Hazleton Nittany Lions,no_features_pred_source
2025-12-18,Winthrop Eagles,no_features_pred_source
