game_id,date,start_time,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,status,venue,neutral_site
401809305,2025-11-16,2025-11-16 20:00:00+00:00,Auburn Tigers,Houston Cougars,72,73,35,39,37,34,,Legacy Arena at BJCC,True
401820598,2025-11-16,2025-11-17 00:30:00+00:00,Purdue Boilermakers,Akron Zips,97,79,52,39,45,40,,Mackey Arena,False
401809416,2025-11-16,2025-11-17 01:30:00+00:00,Florida Gators,Miami Hurricanes,82,68,39,29,43,39,,Veterans Memorial Arena,True
401830742,2025-11-16,2025-11-16 17:00:00+00:00,Dartmouth Big Green,App State Mountaineers,77,85,37,41,40,44,,Leede Arena,False
401826053,2025-11-16,2025-11-16 17:00:00+00:00,UMBC Retrievers,Wagner Seahawks,71,70,28,32,32,28,,Chesapeake Employers Insurance Arena,False
401823012,2025-11-16,2025-11-16 17:00:00+00:00,Kent State Golden Flashes,Wright State Raiders,76,72,32,32,30,30,,Colonial Hall,True
401828577,2025-11-16,2025-11-16 17:30:00+00:00,Morehead State Eagles,Kentucky Christian Knights,121,51,60,26,61,25,,Ellis T. Johnson Arena,False
401817434,2025-11-16,2025-11-16 17:30:00+00:00,Ohio State Buckeyes,Notre Dame Fighting Irish,64,63,31,34,33,29,,Value City Arena,False
401825205,2025-11-16,2025-11-16 18:00:00+00:00,Western Carolina Catamounts,Stetson Hatters,76,65,38,33,38,32,,Ramsey Center,False
401823384,2025-11-16,2025-11-16 18:00:00+00:00,Northern Kentucky Norse,Cumberland (KY) Patriots,101,73,42,31,59,42,,Truist Arena,False
401820616,2025-11-16,2025-11-16 18:00:00+00:00,Valparaiso Beacons,Bryant Bulldogs,68,50,22,30,46,20,,Athletics-Recreation Center,False
401812662,2025-11-16,2025-11-16 18:00:00+00:00,Hampton Pirates,Holy Cross Crusaders,61,67,29,32,32,35,,Pizzitola Sports Center,True
401826813,2025-11-16,2025-11-16 19:00:00+00:00,Kennesaw State Owls,South Florida Bulls,89,108,41,56,48,52,,KSU Convocation Center,False
401824936,2025-11-16,2025-11-16 19:00:00+00:00,Central Arkansas Bears,Samford Bulldogs,77,84,41,30,27,38,,Farris Center,False
401820578,2025-11-16,2025-11-16 19:00:00+00:00,Maine Black Bears,Quinnipiac Bobcats,64,70,36,28,28,42,,Skip Chappelle Court in Memorial Gymnasium,False
401820186,2025-11-16,2025-11-16 19:00:00+00:00,Fairfield Stags,Loyola Maryland Greyhounds,85,82,40,32,45,50,,Leo D. Mahoney Arena,False
401817530,2025-11-16,2025-11-16 19:00:00+00:00,Wake Forest Demon Deacons,UMass Lowell River Hawks,109,75,48,38,61,37,,LJVM Coliseum,False
401817520,2025-11-16,2025-11-16 19:00:00+00:00,Virginia Tech Hokies,Charlotte 49ers,84,76,44,32,40,44,,Cassell Coliseum,False
401813289,2025-11-16,2025-11-16 19:00:00+00:00,Oklahoma State Cowboys,Texas A&M-Corpus Christi Islanders,85,69,37,35,48,34,,Gallagher-Iba Arena,False
401812645,2025-11-16,2025-11-16 19:00:00+00:00,Massachusetts Minutemen,Central Connecticut Blue Devils,84,77,51,28,33,49,,Mullins Center,False
401811105,2025-11-16,2025-11-16 19:00:00+00:00,South Dakota Coyotes,Western Michigan Broncos,83,78,40,38,43,40,,Sanford Coyote Sports Center,False
401826070,2025-11-16,2025-11-16 19:30:00+00:00,Cleveland State Vikings,Radford Highlanders,87,82,36,49,51,33,,Colonial Hall,True
401823360,2025-11-16,2025-11-16 20:00:00+00:00,Western Kentucky Hilltoppers,Tennessee State Tigers,95,82,51,43,44,39,,E.A. Diddle Arena,False
401829352,2025-11-16,2025-11-16 21:00:00+00:00,Southern Indiana Screaming Eagles,Loras Duhawks,91,74,44,29,47,45,,Liberty Arena (IN),False
401826940,2025-11-16,2025-11-16 21:00:00+00:00,Sacramento State Hornets,Presbyterian Blue Hose,64,62,27,36,37,26,,Hornet Pavilion,False
401822371,2025-11-16,2025-11-16 21:00:00+00:00,Alabama A&M Bulldogs,Lindenwood Lions,74,65,34,32,40,33,,Event Center,False
401822169,2025-11-16,2025-11-16 21:00:00+00:00,Fordham Rams,Manhattanville Valiants,96,62,37,24,59,38,,Rose Hill Gym,False
401817156,2025-11-16,2025-11-16 22:00:00+00:00,Loyola Chicago Ramblers,Colorado State Rams,67,80,21,33,46,47,,Gentile Arena,False
401812603,2025-11-16,2025-11-16 22:00:00+00:00,Marist Red Foxes,Harvard Crimson,54,56,24,23,30,33,,McCann Arena,False
401820398,2025-11-16,2025-11-16 22:10:00+00:00,Memphis Tigers,UNLV Rebels,78,92,36,49,42,43,,FedExForum,False
401827189,2025-11-16,2025-11-16 22:30:00+00:00,Indiana Hoosiers,Incarnate Word Cardinals,69,61,35,19,34,42,,Simon Skjodt Assembly Hall,False
401813398,2025-11-16,2025-11-16 23:00:00+00:00,Cincinnati Bearcats,Mount St. Mary's Mountaineers,72,55,30,36,42,19,,Fifth Third Arena,False
401813256,2025-11-16,2025-11-17 00:00:00+00:00,Long Beach State Beach,Illinois State Redbirds,80,82,34,42,46,40,,Walter Pyramid,False
401823258,2025-11-16,2025-11-17 01:00:00+00:00,Cal State Northridge Matadors,Troy Trojans,94,85,51,49,43,36,,Premier America Credit Union Arena,False
