game_id,season,date_game,start_time,start_time_local,start_tz_abbr,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,pair_key,event_id,book,market,period,commence_time,last_update,home_team_name,away_team_name,moneyline_home,moneyline_away,home_spread,home_spread_price,away_spread,away_spread_price,total,over_price,under_price,open_total,close_total,delta_total,steam_total_flag,open_home_spread,close_home_spread,delta_home_spread,steam_spread_flag,open_moneyline_home,close_moneyline_home,delta_moneyline_home,steam_ml_home_flag,date_line,_day_diff
401808954,2025,2025-12-19,2025-12-20 01:00:00+00:00,2025-12-19 20:00,EST,LSU Tigers,SE Louisiana Lions,78,65,50,36,28,29,False,Pete Maravich Assembly Center,louisianastate::selouisiana,131f9e16e78369b960bd0aef66e5db10,BetMGM,spreads,full_game,2025-12-20 01:00:00+00:00,2025-12-19 17:15:27+00:00,LSU Tigers,SE Louisiana Lions,,,-23.5,-115.0,23.5,-105.0,,,,,,,,,,,,,,,,2025-12-20,1
401808954,2025,2025-12-19,2025-12-20 01:00:00+00:00,2025-12-19 20:00,EST,LSU Tigers,SE Louisiana Lions,78,65,50,36,28,29,False,Pete Maravich Assembly Center,louisianastate::selouisiana,131f9e16e78369b960bd0aef66e5db10,BetMGM,totals,full_game,2025-12-20 01:00:00+00:00,2025-12-19 17:15:27+00:00,LSU Tigers,SE Louisiana Lions,,,,,,,144.5,-105.0,-115.0,,,,,,,,,,,,,2025-12-20,1
401808954,2025,2025-12-19,2025-12-20 01:00:00+00:00,2025-12-19 20:00,EST,LSU Tigers,SE Louisiana Lions,78,65,50,36,28,29,False,Pete Maravich Assembly Center,louisianastate::selouisiana,131f9e16e78369b960bd0aef66e5db10,BetOnline.ag,spreads,full_game,2025-12-20 01:00:00+00:00,2025-12-19 17:14:39+00:00,LSU Tigers,SE Louisiana Lions,,,-23.0,-118.0,23.0,-102.0,,,,,,,,,,,,,,,,2025-12-20,1
401808954,2025,2025-12-19,2025-12-20 01:00:00+00:00,2025-12-19 20:00,EST,LSU Tigers,SE Louisiana Lions,78,65,50,36,28,29,False,Pete Maravich Assembly Center,louisianastate::selouisiana,131f9e16e78369b960bd0aef66e5db10,BetOnline.ag,totals,full_game,2025-12-20 01:00:00+00:00,2025-12-19 17:14:39+00:00,LSU Tigers,SE Louisiana Lions,,,,,,,144.5,-110.0,-110.0,,,,,,,,,,,,,2025-12-20,1
401808954,2025,2025-12-19,2025-12-20 01:00:00+00:00,2025-12-19 20:00,EST,LSU Tigers,SE Louisiana Lions,78,65,50,36,28,29,False,Pete Maravich Assembly Center,louisianastate::selouisiana,131f9e16e78369b960bd0aef66e5db10,BetRivers,spreads,full_game,2025-12-20 01:00:00+00:00,2025-12-19 17:15:51+00:00,LSU Tigers,SE Louisiana Lions,,,-23.5,-115.0,23.5,-108.0,,,,,,,,,,,,,,,,2025-12-20,1
401808954,2025,2025-12-19,2025-12-20 01:00:00+00:00,2025-12-19 20:00,EST,LSU Tigers,SE Louisiana Lions,78,65,50,36,28,29,False,Pete Maravich Assembly Center,louisianastate::selouisiana,131f9e16e78369b960bd0aef66e5db10,Bovada,spreads,full_game,2025-12-20 01:00:00+00:00,2025-12-19 17:12:45+00:00,LSU Tigers,SE Louisiana Lions,,,-23.5,100.0,23.5,-120.0,,,,,,,,,,,,,,,,2025-12-20,1
401808954,2025,2025-12-19,2025-12-20 01:00:00+00:00,2025-12-19 20:00,EST,LSU Tigers,SE Louisiana Lions,78,65,50,36,28,29,False,Pete Maravich Assembly Center,louisianastate::selouisiana,131f9e16e78369b960bd0aef66e5db10,Bovada,totals,full_game,2025-12-20 01:00:00+00:00,2025-12-19 17:12:45+00:00,LSU Tigers,SE Louisiana Lions,,,,,,,144.0,-110.0,-110.0,,,,,,,,,,,,,2025-12-20,1
401808954,2025,2025-12-19,2025-12-20 01:00:00+00:00,2025-12-19 20:00,EST,LSU Tigers,SE Louisiana Lions,78,65,50,36,28,29,False,Pete Maravich Assembly Center,louisianastate::selouisiana,131f9e16e78369b960bd0aef66e5db10,Caesars,spreads,full_game,2025-12-20 01:00:00+00:00,2025-12-19 17:11:54+00:00,LSU Tigers,SE Louisiana Lions,,,-23.5,-110.0,23.5,-110.0,,,,,,,,,,,,,,,,2025-12-20,1
401808954,2025,2025-12-19,2025-12-20 01:00:00+00:00,2025-12-19 20:00,EST,LSU Tigers,SE Louisiana Lions,78,65,50,36,28,29,False,Pete Maravich Assembly Center,louisianastate::selouisiana,131f9e16e78369b960bd0aef66e5db10,Caesars,totals,full_game,2025-12-20 01:00:00+00:00,2025-12-19 17:11:54+00:00,LSU Tigers,SE Louisiana Lions,,,,,,,144.0,-110.0,-110.0,,,,,,,,,,,,,2025-12-20,1
401808954,2025,2025-12-19,2025-12-20 01:00:00+00:00,2025-12-19 20:00,EST,LSU Tigers,SE Louisiana Lions,78,65,50,36,28,29,False,Pete Maravich Assembly Center,louisianastate::selouisiana,131f9e16e78369b960bd0aef66e5db10,DraftKings,spreads,full_game,2025-12-20 01:00:00+00:00,2025-12-19 17:15:27+00:00,LSU Tigers,SE Louisiana Lions,,,-23.5,-110.0,23.5,-110.0,,,,,,,,,,,,,,,,2025-12-20,1
