date,crps_total,crps_margin,covered_80_total,covered_80_margin
2025-11-03,1.4724531240747656,1.1428332382888942,1.0,0.4444444444444444
2025-11-04,1.4679372545532203,1.6862309944706138,0.9722222222222222,0.9444444444444444
2025-11-05,1.7106286280029126,2.1851259940853613,0.9428571428571428,0.9428571428571428
2025-11-06,1.5168268186124365,1.9392432187509276,0.8863636363636364,0.8863636363636364
2025-11-07,5.74092039538395,2.416483723795955,0.9078947368421053,0.9473684210526315
2025-11-08,1.9265643955807226,1.8585897897564232,0.9514963880288958,0.9184726522187823
2025-11-09,2.2782299953727714,1.2447027197838367,0.827930174563591,0.8354114713216958
2025-11-10,1.1958658876111519,1.7384678236055506,0.875,0.975
2025-11-11,1.007825780675945,1.1102550919452125,0.9388888888888889,0.9555555555555556
2025-11-12,1.375611559776971,0.8704201948052861,0.967391304347826,0.7391304347826086
2025-11-13,1.6898488667823348,1.1428388963544323,0.9230769230769231,0.8461538461538461
2025-11-14,1.0883714818990942,1.2645499510587046,0.84,0.88
2025-11-15,1.3832866789842468,1.1995340643336154,0.8496042216358839,0.9234828496042217
2025-11-16,1.4204033705044674,1.1422660707705223,0.8807947019867549,0.739514348785872
2025-11-17,0.7841387539445642,1.1680310303520145,0.9803921568627451,1.0
2025-11-18,1.332163299886866,1.250121047069839,0.9632352941176471,0.7867647058823529
2025-11-19,1.0574014853808724,0.6909053338124148,0.9439252336448598,0.9719626168224299
2025-11-20,0.9650192270795029,0.7771072893893001,0.9751552795031055,0.9875776397515528
2025-11-21,1.9352853554674823,1.1242203842750724,0.8804347826086957,0.9891304347826086
2025-11-22,1.576070642564058,1.2364502984721368,0.9111111111111111,0.9333333333333333
2025-11-23,1.1647633126037311,1.5091051940013367,0.9268929503916449,0.9608355091383812
2025-11-24,0.6992596619246879,1.0334140468928779,0.8104838709677419,0.8729838709677419
2025-11-25,1.5699279992687638,1.7646875228342074,0.8949343339587242,0.8780487804878049
2025-11-26,3.6221072063472266,1.7116783576350443,0.9921259842519685,0.7296587926509186
2025-11-27,0.5817902651363677,0.8810538787729123,0.994475138121547,0.8287292817679558
2025-11-28,1.1567060949441628,0.9372134644069847,0.9330085261875761,0.9330085261875761
2025-11-29,1.6299548429294999,1.3931469827114955,0.911504424778761,0.911504424778761
2025-11-30,16.143958175351052,17.503700410412353,0.5026455026455027,0.30687830687830686
2025-12-01,4.941821796052931,2.7559793197831466,0.8421052631578947,1.0
2025-12-02,,,0.0,0.0
2025-12-03,,,0.0,0.0
2025-12-04,,,0.0,0.0
2025-12-05,,,0.0,0.0
2025-12-06,,,0.0,0.0
2025-12-07,,,0.0,0.0
2025-12-08,,,0.0,0.0
2025-12-09,,,0.0,0.0
2025-12-10,,,0.0,0.0
2025-12-11,,,0.0,0.0
2025-12-12,,,0.0,0.0
2025-12-13,,,0.0,0.0
2025-12-14,,,0.0,0.0
2025-12-15,,,0.0,0.0
2025-12-16,,,0.0,0.0
2025-12-17,,,0.0,0.0
2025-12-18,,,0.0,0.0
2025-12-19,,,0.0,0.0
2025-12-20,,,0.0,0.0
2025-12-21,21.154899329980733,27.33852556231914,0.5573770491803278,0.5901639344262295
2025-12-22,,,0.0,0.0
2025-12-23,,,0.0,0.0
2025-12-27,,,0.0,0.0
2025-12-28,,,0.0,0.0
2025-12-29,,,0.0,0.0
2025-12-30,,,0.0,0.0
2025-12-31,,,0.0,0.0
2026-01-01,,,0.0,0.0
2026-01-02,,,0.0,0.0
2026-01-03,,,0.0,0.0
2026-01-04,,,0.0,0.0
