pair_key,home_team,away_team,our_start_display,our_start_iso,our_start_dt,sched_commence_time,sched_start_time,sched_dt,diff_minutes
airforce::northerncolorado,Air Force Falcons,Northern Colorado Bears,2025-11-26 17:00,2025-11-26T22:00:00Z,2025-11-26 22:00:00+00:00,,2025-11-26 23:00:00+00:00,2025-11-26 23:00:00+00:00,60.0
alabamastate::newmexico,New Mexico Lobos,Alabama State Hornets,2025-11-26 21:00,2025-11-27T02:00:00Z,2025-11-27 02:00:00+00:00,,2025-11-27 02:00:00+00:00,2025-11-27 02:00:00+00:00,0.0
appstate::mercer,Mercer Bears,App State Mountaineers,2025-11-26 13:00,2025-11-26T18:00:00Z,2025-11-26 18:00:00+00:00,,2025-11-26 19:00:00+00:00,2025-11-26 19:00:00+00:00,60.0
armyblack::fairleighdickinson,Fairleigh Dickinson Knights,Army Black Knights,2025-11-26 13:00,2025-11-26T18:00:00Z,2025-11-26 18:00:00+00:00,,2025-11-26 19:00:00+00:00,2025-11-26 19:00:00+00:00,60.0
bostoncollege::harvardcrimson,Boston College Eagles,Harvard Crimson,2025-11-26 15:00,2025-11-26T20:00:00Z,2025-11-26 20:00:00+00:00,,2025-11-26 21:00:00+00:00,2025-11-26 21:00:00+00:00,60.0
bowlinggreen::vmikeydets,Bowling Green Falcons,VMI Keydets,2025-11-26 10:00,2025-11-26T15:00:00Z,2025-11-26 15:00:00+00:00,,2025-11-26 16:00:00+00:00,2025-11-26 16:00:00+00:00,60.0
brown::newhampshire,New Hampshire Wildcats,Brown Bears,2025-11-26 12:00,2025-11-26T17:00:00Z,2025-11-26 17:00:00+00:00,,2025-11-26 18:00:00+00:00,2025-11-26 18:00:00+00:00,60.0
bryant::mercy,Bryant Bulldogs,Mercy Mavericks,2025-11-26 10:00,2025-11-26T15:00:00Z,2025-11-26 15:00:00+00:00,,2025-11-26 16:00:00+00:00,2025-11-26 16:00:00+00:00,60.0
bucknell::buffalobulls,Bucknell Bison,Buffalo Bulls,2025-11-26 12:30,2025-11-26T17:30:00Z,2025-11-26 17:30:00+00:00,,2025-11-26 18:30:00+00:00,2025-11-26 18:30:00+00:00,60.0
calstatenorthridge::idahovandals,Idaho Vandals,Cal State Northridge Matadors,2025-11-26 21:00,2025-11-27T02:00:00Z,2025-11-27 02:00:00+00:00,,2025-11-27 02:00:00+00:00,2025-11-27 02:00:00+00:00,0.0
