game_id,season,date,start_time,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue
401829680,2025,2025-11-24,2025-11-24 16:00:00+00:00,Toledo Rockets,Troy Trojans,0,0,,,,,True,Alico Arena
401809312,2025,2025-11-24,2025-11-24 16:00:00+00:00,Towson Tigers,Rhode Island Rams,0,0,,,,,True,State Farm Field House
401824064,2025,2025-11-24,2025-11-24 16:30:00+00:00,Pacific Tigers,Stony Brook Seawolves,0,0,,,,,True,Ocean Center
401823420,2025,2025-11-24,2025-11-24 17:00:00+00:00,Bowling Green Falcons,Bucknell Bison,0,0,,,,,True,Suncoast Credit Union Arena
401812287,2025,2025-11-24,2025-11-24 17:00:00+00:00,Fairleigh Dickinson Knights,East Texas A&M Lions,0,0,,,,,False,Bogota Savings Bank Center
401831211,2025,2025-11-24,2025-11-24 17:30:00+00:00,TBD,TBD,0,0,,,,,True,UVI Sports & Fitness Center
401827435,2025,2025-11-24,2025-11-24 18:00:00+00:00,Rutgers Scarlet Knights,Tennessee Volunteers,0,0,,,,,True,MGM Grand Garden Arena
401829681,2025,2025-11-24,2025-11-24 18:30:00+00:00,Saint Francis Red Flash,Belmont Bruins,0,0,,,,,True,Alico Arena
401827731,2025,2025-11-24,2025-11-24 18:30:00+00:00,Southern Illinois Salukis,UAB Blazers,0,0,,,,,True,John Hurst Adams Gymnasium
401809393,2025,2025-11-24,2025-11-24 18:30:00+00:00,Vermont Catamounts,Liberty Flames,0,0,,,,,True,State Farm Field House
401819826,2025,2025-11-24,2025-11-24 19:00:00+00:00,Baylor Bears,Creighton Bluejays,0,0,,,,,True,Michelob ULTRA Arena
401823344,2025,2025-11-24,2025-11-24 19:00:00+00:00,Bethune-Cookman Wildcats,Jacksonville Dolphins,0,0,,,,,True,Ocean Center
401823430,2025,2025-11-24,2025-11-24 19:30:00+00:00,Buffalo Bulls,VMI Keydets,0,0,,,,,True,Suncoast Credit Union Arena
401817256,2025,2025-11-24,2025-11-24 19:30:00+00:00,NC State Wolfpack,Seton Hall Pirates,0,0,,,,,True,Lahaina Civic Center
401831210,2025,2025-11-24,2025-11-24 20:00:00+00:00,TBD,TBD,0,0,,,,,True,UVI Sports & Fitness Center
401826045,2025,2025-11-24,2025-11-24 20:00:00+00:00,UC Riverside Highlanders,Grambling Tigers,0,0,,,,,False,SRC Arena
401817436,2025,2025-11-24,2025-11-24 20:30:00+00:00,Kansas Jayhawks,Notre Dame Fighting Irish,0,0,,,,,True,MGM Grand Garden Arena
401827506,2025,2025-11-24,2025-11-24 21:00:00+00:00,UTEP Miners,William & Mary Tribe,0,0,,,,,True,John Hurst Adams Gymnasium
401826872,2025,2025-11-24,2025-11-24 21:00:00+00:00,Oakland Golden Grizzlies,Lamar Cardinals,0,0,,,,,True,Dahlberg Arena
401819874,2025,2025-11-24,2025-11-24 21:30:00+00:00,Iowa State Cyclones,St. John's Red Storm,0,0,,,,,True,Michelob ULTRA Arena
401828338,2025,2025-11-24,2025-11-24 21:30:00+00:00,Kennesaw State Owls,Rice Owls,0,0,,,,,True,Alico Arena
401809394,2025,2025-11-24,2025-11-24 21:30:00+00:00,UC San Diego Tritons,Temple Owls,0,0,,,,,True,State Farm Field House
401823818,2025,2025-11-24,2025-11-24 22:00:00+00:00,Boise State Broncos,USC Trojans,0,0,,,,,True,Lahaina Civic Center
401817146,2025,2025-11-24,2025-11-24 22:00:00+00:00,George Washington Revolutionaries,Middle Tennessee Blue Raiders,0,0,,,,,True,John Gray Gymnasium
401831209,2025,2025-11-24,2025-11-24 22:30:00+00:00,TBD,TBD,0,0,,,,,True,UVI Sports & Fitness Center
401817481,2025,2025-11-24,2025-11-24 23:00:00+00:00,Houston Cougars,Syracuse Orange,0,0,,,,,True,MGM Grand Garden Arena
401826701,2025,2025-11-24,2025-11-24 23:00:00+00:00,George Mason Patriots,Ohio Bobcats,0,0,,,,,True,Ocean Center
401826054,2025,2025-11-24,2025-11-24 23:00:00+00:00,UMBC Retrievers,Notre Dame (MD) Gators,0,0,,,,,False,Chesapeake Employers Insurance Arena
401812665,2025,2025-11-24,2025-11-24 23:00:00+00:00,Holy Cross Crusaders,Siena Saints,0,0,,,,,False,Hart Center
401829490,2025,2025-11-24,2025-11-24 23:30:00+00:00,Georgia Southern Eagles,Youngstown State Penguins,0,0,,,,,True,John Hurst Adams Gymnasium
401826734,2025,2025-11-24,2025-11-24 23:30:00+00:00,App State Mountaineers,Elon Phoenix,0,0,,,,,False,Holmes Convocation Center
401817244,2025,2025-11-24,2025-11-25 00:00:00+00:00,Louisville Cardinals,Eastern Michigan Eagles,0,0,,,,,False,KFC Yum! Center
401829045,2025,2025-11-24,2025-11-25 00:00:00+00:00,Florida International Panthers,James Madison Dukes,0,0,,,,,False,Ocean Bank Convocation Center
401828672,2025,2025-11-24,2025-11-25 00:00:00+00:00,American University Eagles,Marywood Pacers,0,0,,,,,False,Bender Arena
401827214,2025,2025-11-24,2025-11-25 00:00:00+00:00,Texas State Bobcats,Texas Lutheran Bulldogs,0,0,,,,,False,Strahan Arena at the University Events Center
401823386,2025,2025-11-24,2025-11-25 00:00:00+00:00,Northern Kentucky Norse,Eastern Kentucky Colonels,0,0,,,,,False,Truist Arena
401823229,2025,2025-11-24,2025-11-25 00:00:00+00:00,Florida Gulf Coast Eagles,Oral Roberts Golden Eagles,0,0,,,,,False,Alico Arena
