date,game_id,home_team,away_team,start_time_local,start_time_iso,start_tz_abbr,segment,half,start_min,end_min,mu_home_pts_seg,mu_away_pts_seg,mu_total_pts_seg,mu_margin_pts_seg,q10_home_pts_seg,q50_home_pts_seg,q90_home_pts_seg,q10_away_pts_seg,q50_away_pts_seg,q90_away_pts_seg,q10_total_pts_seg,q50_total_pts_seg,q90_total_pts_seg,q10_margin_pts_seg,q50_margin_pts_seg,q90_margin_pts_seg,mu_home_score_end,mu_away_score_end,mu_total_score_end,mu_margin_score_end,q10_home_score_end,q50_home_score_end,q90_home_score_end,q10_away_score_end,q50_away_score_end,q90_away_score_end,q10_total_score_end,q50_total_score_end,q90_total_score_end,q10_margin_score_end,q50_margin_score_end,q90_margin_score_end,mu_home_poss_seg,mu_away_poss_seg,mu_total_poss_seg,q10_total_poss_seg,q50_total_poss_seg,q90_total_poss_seg,mu_home_tov_seg,mu_away_tov_seg,mu_total_tov_seg,q10_total_tov_seg,q50_total_tov_seg,q90_total_tov_seg,mu_home_fta_seg,mu_away_fta_seg,mu_total_fta_seg,q10_total_fta_seg,q50_total_fta_seg,q90_total_fta_seg,mu_home_fga2_seg,mu_away_fga2_seg,mu_total_fga2_seg,q10_total_fga2_seg,q50_total_fga2_seg,q90_total_fga2_seg,mu_home_fga3_seg,mu_away_fga3_seg,mu_total_fga3_seg,q10_total_fga3_seg,q50_total_fga3_seg,q90_total_fga3_seg
2026-02-06,401818312,Yale Bulldogs,Brown Bears,2026-02-06 19:00,2026-02-07T00:00:00Z,EST,1,1,0,5,8.25475,8.4585,16.71325,-0.20375,4.0,8.0,12.0,4.0,8.0,13.0,10.0,16.0,23.0,-6.0,0.0,5.0,8.25475,8.4585,15.790918241293728,-0.20375,4.0,8.0,12.0,4.0,8.0,13.0,9.077668241293738,15.07766824129374,22.07766824129374,-6.0,0.0,5.0,8.4015,8.3445,16.746,11.0,17.0,22.0,1.4075,1.38875,2.79625,1.0,3.0,5.0,1.5675,1.65175,3.21925,1.0,3.0,6.0,3.96925,3.96725,7.9365,4.0,8.0,12.0,2.2185,2.24275,4.46125,2.0,4.0,7.0
2026-02-06,401818312,Yale Bulldogs,Brown Bears,2026-02-06 19:00,2026-02-07T00:00:00Z,EST,2,1,5,10,8.231,8.463,16.694,-0.232,4.0,8.0,13.0,5.0,8.0,13.0,11.0,17.0,23.0,-6.0,0.0,5.0,16.48575,16.9215,31.97133459721792,-0.43575,10.0,16.0,23.0,11.0,17.0,24.0,21.56408459721794,31.564084597217946,42.56408459721794,-8.0,0.0,8.0,8.405,8.43825,16.84325,11.0,17.0,23.0,1.401,1.38525,2.78625,1.0,3.0,5.0,1.5855,1.596,3.1815,1.0,3.0,6.0,3.95025,3.9975,7.94775,4.0,8.0,12.0,2.25075,2.27625,4.527,2.0,4.0,7.099999999999909
2026-02-06,401818312,Yale Bulldogs,Brown Bears,2026-02-06 19:00,2026-02-07T00:00:00Z,EST,3,1,10,15,8.279,8.394,16.673,-0.115,4.0,8.0,13.0,4.0,8.0,13.0,11.0,16.0,23.0,-5.0,0.0,5.0,24.76475,25.3155,48.51159559869264,-0.55075,16.0,24.0,33.0,17.0,25.0,34.0,34.431345598692666,48.43134559869267,62.43134559869267,-11.0,0.0,9.0,8.37775,8.4285,16.80625,11.0,17.0,22.0,1.387,1.3925,2.7795,1.0,3.0,5.0,1.593,1.6065,3.1995,1.0,3.0,6.0,3.99625,3.94525,7.9415,4.0,8.0,12.0,2.25525,2.23475,4.49,2.0,4.0,7.0
2026-02-06,401818312,Yale Bulldogs,Brown Bears,2026-02-06 19:00,2026-02-07T00:00:00Z,EST,4,1,15,20,8.29475,8.385,16.67975,-0.09025,4.0,8.0,13.0,4.0,8.0,13.0,10.0,16.0,23.0,-6.0,0.0,5.0,33.0595,33.7005,67.13111192965474,-0.641,23.0,33.0,44.0,23.0,33.0,45.0,49.37111192965477,66.37111192965477,85.37111192965477,-13.0,-1.0,11.0,8.486,8.459,16.945,11.0,17.0,23.0,1.41575,1.3655,2.78125,1.0,3.0,5.0,1.641,1.65425,3.29525,1.0,3.0,6.0,3.94675,3.967,7.91375,4.0,8.0,12.0,2.2785,2.25325,4.53175,2.0,4.0,7.0
2026-02-06,401818312,Yale Bulldogs,Brown Bears,2026-02-06 19:00,2026-02-07T00:00:00Z,EST,5,2,20,25,9.15875,9.18925,18.348,-0.0305,5.0,9.0,14.0,5.0,9.0,14.0,12.0,18.0,25.0,-6.0,0.0,6.0,42.21825,42.88975,83.69847078722961,-0.6715,31.0,42.0,54.0,32.0,43.0,54.0,65.59047078722963,83.59047078722963,102.59047078722963,-14.0,-1.0,12.0,8.7915,8.8295,17.621,12.0,17.0,23.0,1.462,1.48425,2.94625,1.0,3.0,5.0,1.706,1.677,3.383,1.0,3.0,6.0,4.1905,4.1645,8.355,5.0,8.0,12.0,2.3475,2.3485,4.696,2.0,4.0,8.0
2026-02-06,401818312,Yale Bulldogs,Brown Bears,2026-02-06 19:00,2026-02-07T00:00:00Z,EST,6,2,25,30,9.10375,9.209,18.31275,-0.10525,5.0,9.0,13.0,5.0,9.0,14.0,12.0,18.0,25.0,-6.0,0.0,5.0,51.322,52.09875,101.88302464246678,-0.77675,40.0,51.0,64.0,41.0,52.0,64.0,83.4622746424668,101.4622746424668,121.4622746424668,-15.0,-1.0,14.0,8.786,8.736,17.522,12.0,17.0,23.0,1.4485,1.44725,2.89575,1.0,3.0,5.0,1.72625,1.7135,3.43975,1.0,3.0,6.0,4.10675,4.13025,8.237,5.0,8.0,12.0,2.322,2.339,4.661,2.0,4.0,8.0
2026-02-06,401818312,Yale Bulldogs,Brown Bears,2026-02-06 19:00,2026-02-07T00:00:00Z,EST,7,2,30,35,9.1755,9.22075,18.39625,-0.04525,5.0,9.0,14.0,5.0,9.0,14.0,12.0,18.0,25.0,-6.0,0.0,6.0,60.4975,61.3195,120.94444199694983,-0.822,48.0,60.0,74.0,48.0,61.0,75.0,101.12744199694986,120.12744199694988,142.12744199694984,-17.0,-1.0,15.0,8.822,8.82475,17.64675,12.0,17.5,23.0,1.42875,1.43875,2.8675,1.0,3.0,5.0,1.717,1.6905,3.4075,1.0,3.0,6.0,4.146,4.1295,8.2755,5.0,8.0,12.0,2.306,2.36125,4.66725,2.0,4.0,8.0
2026-02-06,401818312,Yale Bulldogs,Brown Bears,2026-02-06 19:00,2026-02-07T00:00:00Z,EST,8,2,35,40,9.2045,9.19975,18.40425,0.00475,5.0,9.0,14.0,5.0,9.0,14.0,12.0,18.0,25.0,-6.0,0.0,6.0,69.702,70.51925,140.22125,-0.81725,55.900000000000034,69.0,84.0,56.0,70.0,85.0,118.0,140.0,164.0,-18.0,-1.0,16.0,8.7605,8.76975,17.53025,12.0,17.0,23.0,1.48875,1.40825,2.897,1.0,3.0,5.0,1.71675,1.6955,3.41225,1.0,3.0,6.0,4.13425,4.141,8.27525,5.0,8.0,12.0,2.346,2.37925,4.72525,2.0,5.0,8.0
2026-02-06,401822932,St. John's Red Storm,UConn Huskies,2026-02-06 20:00,2026-02-07T01:00:00Z,EST,1,1,0,5,11.25825,11.287,22.54525,-0.02875,7.0,11.0,16.0,7.0,11.0,16.0,15.0,22.0,30.0,-6.0,0.0,6.0,11.25825,11.287,21.62291824129373,-0.02875,7.0,11.0,16.0,7.0,11.0,16.0,14.07766824129374,21.07766824129374,29.07766824129374,-6.0,0.0,6.0,11.3155,11.3185,22.634,17.0,22.0,29.0,1.9885,1.9845,3.973,2.0,4.0,7.0,2.18075,2.1515,4.33225,1.0,4.0,7.0,5.233,5.31975,10.55275,6.0,10.0,15.0,2.98225,2.94725,5.9295,3.0,6.0,9.0
2026-02-06,401822932,St. John's Red Storm,UConn Huskies,2026-02-06 20:00,2026-02-07T01:00:00Z,EST,2,1,5,10,11.21825,11.42225,22.6405,-0.204,7.0,11.0,16.0,7.0,11.0,17.0,15.0,22.0,30.0,-6.0,0.0,6.0,22.4765,22.70925,43.74983459721792,-0.23275,15.0,22.0,30.0,15.0,22.0,31.0,32.56408459721794,43.56408459721794,55.56408459721794,-9.0,0.0,9.0,11.31375,11.32,22.63375,17.0,22.0,29.0,1.979,1.9915,3.9705,2.0,4.0,7.0,2.17725,2.1445,4.32175,2.0,4.0,7.0,5.27675,5.26825,10.545,6.0,10.0,15.0,2.939,3.046,5.985,3.0,6.0,9.0
2026-02-06,401822932,St. John's Red Storm,UConn Huskies,2026-02-06 20:00,2026-02-07T01:00:00Z,EST,3,1,10,15,11.32325,11.33225,22.6555,-0.009,7.0,11.0,16.0,7.0,11.0,16.0,16.0,22.0,30.0,-6.0,0.0,6.0,33.79975,34.0415,66.27259559869265,-0.24175,24.0,33.0,44.0,24.0,34.0,44.0,51.43134559869267,65.43134559869267,82.43134559869267,-12.0,0.0,12.0,11.349,11.3425,22.6915,17.0,23.0,29.0,2.007,1.981,3.988,2.0,4.0,7.0,2.1895,2.14625,4.33575,2.0,4.0,7.0,5.3025,5.2415,10.544,6.0,10.0,15.0,2.97225,2.9245,5.89675,3.0,6.0,9.0
2026-02-06,401822932,St. John's Red Storm,UConn Huskies,2026-02-06 20:00,2026-02-07T01:00:00Z,EST,4,1,15,20,11.203,11.3625,22.5655,-0.1595,7.0,11.0,16.0,7.0,11.0,16.0,15.0,22.0,30.0,-6.0,0.0,6.0,45.00275,45.404,90.77786192965472,-0.40125,33.0,45.0,57.0,33.0,45.0,58.0,71.37111192965477,90.37111192965476,111.37111192965476,-14.0,0.0,14.0,11.327,11.32425,22.65125,16.0,23.0,29.0,2.00275,1.9775,3.98025,2.0,4.0,7.0,2.1565,2.13325,4.28975,1.900000000000034,4.0,7.0,5.2645,5.31225,10.57675,6.0,10.0,15.0,3.00575,3.0235,6.02925,3.0,6.0,9.0
2026-02-06,401822932,St. John's Red Storm,UConn Huskies,2026-02-06 20:00,2026-02-07T01:00:00Z,EST,5,2,20,25,6.4515,6.49075,12.94225,-0.03925,3.0,6.0,10.0,3.0,6.0,10.0,8.0,13.0,19.0,-5.0,0.0,4.0,51.45425,51.89475,101.9394707872296,-0.4405,39.0,51.0,64.0,40.0,51.5,65.0,82.59047078722963,101.59047078722963,122.59047078722963,-15.099999999999966,0.0,14.0,6.05375,6.05475,12.1085,7.0,12.0,17.0,1.05825,1.0525,2.11075,0.0,2.0,4.0,1.17975,1.14375,2.3235,0.0,2.0,5.0,2.89425,2.854,5.74825,3.0,6.0,9.0,1.609,1.618,3.227,1.0,3.0,6.0
