pair_key,home_team,away_team,our_start_iso,our_start_dt,sched_commence_time,sched_start_time,sched_dt,diff_minutes
apprenticeschoolbuilders::hampton,Hampton Pirates,Apprentice School Builders,2025-12-02T00:00:00Z,2025-12-02 00:00:00+00:00,,2025-12-02 00:00:00+00:00,2025-12-02 00:00:00+00:00,0.0
blackburnbeavers::easternillinois,Eastern Illinois Panthers,Blackburn Beavers,2025-12-02T06:00:00Z,2025-12-02 06:00:00+00:00,,2025-12-02 01:00:00+00:00,2025-12-02 01:00:00+00:00,300.0
bowlinggreen::kansasstate,Kansas State Wildcats,Bowling Green Falcons,2025-12-02T06:00:00Z,2025-12-02 06:00:00+00:00,,2025-12-02 01:00:00+00:00,2025-12-02 01:00:00+00:00,300.0
californiabaptist::colorado,Colorado Buffaloes,California Baptist Lancers,2025-12-02T07:00:00Z,2025-12-02 07:00:00+00:00,,2025-12-02 02:00:00+00:00,2025-12-02 02:00:00+00:00,300.0
centralstateohmarauders::toledorockets,Toledo Rockets,Central State (OH) Marauders,2025-12-01T23:30:00Z,2025-12-01 23:30:00+00:00,,2025-12-01 23:30:00+00:00,2025-12-01 23:30:00+00:00,0.0
chicagostate::stxavieril,Chicago State Cougars,St. Xavier  (IL) Cougars,2025-12-01T17:00:00Z,2025-12-01 17:00:00+00:00,,2025-12-01 17:00:00+00:00,2025-12-01 17:00:00+00:00,0.0
cincinnati::tarletonstate,Cincinnati Bearcats,Tarleton State Texans,2025-12-02T00:00:00Z,2025-12-02 00:00:00+00:00,,2025-12-02 00:00:00+00:00,2025-12-02 00:00:00+00:00,0.0
coekohawks::northerniowa,Northern Iowa Panthers,Coe Kohawks,2025-12-02T06:00:00Z,2025-12-02 06:00:00+00:00,,2025-12-02 01:00:00+00:00,2025-12-02 01:00:00+00:00,300.0
delawarebluehens::iona,Delaware Blue Hens,Iona Gaels,2025-12-02T00:00:00Z,2025-12-02 00:00:00+00:00,,2025-12-02 00:00:00+00:00,2025-12-02 00:00:00+00:00,0.0
incarnateword::mcneese,Incarnate Word Cardinals,McNeese Cowboys,2025-12-02T00:30:00Z,2025-12-02 00:30:00+00:00,,2025-12-02 00:30:00+00:00,2025-12-02 00:30:00+00:00,0.0
jacksonvillestategamecocks::northalabama,Jacksonville State Gamecocks,North Alabama Lions,2025-12-02T00:00:00Z,2025-12-02 00:00:00+00:00,,2025-12-02 00:00:00+00:00,2025-12-02 00:00:00+00:00,0.0
louisianachristian::southern,Southern Jaguars,Louisiana Christian Wildcats,2025-12-01T17:00:00Z,2025-12-01 17:00:00+00:00,,2025-12-01 17:00:00+00:00,2025-12-01 17:00:00+00:00,0.0
middletennesseeblueraiders::uabblazers,Middle Tennessee Blue Raiders,UAB Blazers,2025-12-02T00:30:00Z,2025-12-02 00:30:00+00:00,,2025-12-02 00:30:00+00:00,2025-12-02 00:30:00+00:00,0.0
newmexico::newmexicohighlands,New Mexico Lobos,New Mexico Highlands Cowboys,2025-12-02T07:00:00Z,2025-12-02 07:00:00+00:00,,2025-12-02 02:00:00+00:00,2025-12-02 02:00:00+00:00,300.0
portlandpilots::stanfordcardinal,Stanford Cardinal,Portland Pilots,2025-12-02T08:00:00Z,2025-12-02 08:00:00+00:00,,2025-12-02 03:00:00+00:00,2025-12-02 03:00:00+00:00,300.0
southernutahthunderbirds::westcoastbaptist,Southern Utah Thunderbirds,West Coast Baptist Eagles,2025-12-02T06:30:00Z,2025-12-02 06:30:00+00:00,,2025-12-02 01:30:00+00:00,2025-12-02 01:30:00+00:00,300.0
stfrancisredflash::xavier,Xavier Musketeers,Saint Francis Red Flash,2025-12-02T00:00:00Z,2025-12-02 00:00:00+00:00,,2025-12-02 00:00:00+00:00,2025-12-02 00:00:00+00:00,0.0
temple::villanova,Villanova Wildcats,Temple Owls,2025-12-01T23:30:00Z,2025-12-01 23:30:00+00:00,,2025-12-01 23:30:00+00:00,2025-12-01 23:30:00+00:00,0.0
troytrojans::westgeorgiawolves,Troy Trojans,West Georgia Wolves,2025-12-02T00:00:00Z,2025-12-02 00:00:00+00:00,,2025-12-02 00:00:00+00:00,2025-12-02 00:00:00+00:00,0.0
