date,game_id,home_team,away_team,start_time_local,start_time_iso,start_tz_abbr,segment_probs_source,segment_probs_half1_len_passed,segment_probs_half2_len_passed,segment_probs_half1_hash_passed,segment_probs_half2_hash_passed,segment,half,start_min,end_min,mu_home_pts_seg,mu_away_pts_seg,mu_total_pts_seg,mu_margin_pts_seg,q10_home_pts_seg,q50_home_pts_seg,q90_home_pts_seg,q10_away_pts_seg,q50_away_pts_seg,q90_away_pts_seg,q10_total_pts_seg,q50_total_pts_seg,q90_total_pts_seg,q10_margin_pts_seg,q50_margin_pts_seg,q90_margin_pts_seg,mu_home_score_end,mu_away_score_end,mu_total_score_end,mu_margin_score_end,q10_home_score_end,q50_home_score_end,q90_home_score_end,q10_away_score_end,q50_away_score_end,q90_away_score_end,q10_total_score_end,q50_total_score_end,q90_total_score_end,q10_margin_score_end,q50_margin_score_end,q90_margin_score_end,mu_home_poss_seg,mu_away_poss_seg,mu_total_poss_seg,q10_total_poss_seg,q50_total_poss_seg,q90_total_poss_seg,mu_home_tov_seg,mu_away_tov_seg,mu_total_tov_seg,q10_total_tov_seg,q50_total_tov_seg,q90_total_tov_seg,mu_home_fta_seg,mu_away_fta_seg,mu_total_fta_seg,q10_total_fta_seg,q50_total_fta_seg,q90_total_fta_seg,mu_home_fga2_seg,mu_away_fga2_seg,mu_total_fga2_seg,q10_total_fga2_seg,q50_total_fga2_seg,q90_total_fga2_seg,mu_home_fga3_seg,mu_away_fga3_seg,mu_total_fga3_seg,q10_total_fga3_seg,q50_total_fga3_seg,q90_total_fga3_seg
2026-02-08,401825501,Iowa Hawkeyes,Northwestern Wildcats,2026-02-08 15:00,2026-02-08T20:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,3,1,10,15,10.482,10.39525,20.87725,0.08675,6.0,10.0,15.0,6.0,10.0,15.0,14.0,21.0,28.0,-6.0,0.0,6.0,30.7575,30.334,59.702320750354005,0.4235,22.0,30.0,40.0,22.0,30.0,39.0,45.610820750354,59.610820750354,73.61082075035398,-11.0,0.0,12.0,10.791,10.7925,21.5835,16.0,21.0,28.0,1.892,1.92075,3.81275,1.0,4.0,6.0,2.06725,2.028,4.09525,1.0,4.0,7.0,5.13475,5.0105,10.14525,6.0,10.0,14.0,2.8165,2.84575,5.66225,3.0,5.0,9.0
2026-02-08,401825501,Iowa Hawkeyes,Northwestern Wildcats,2026-02-08 15:00,2026-02-08T20:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,4,1,15,20,10.859,10.71475,21.57375,0.14425,6.0,11.0,16.0,6.0,10.0,15.0,15.0,21.0,28.0,-6.0,0.0,6.0,41.6165,41.04875,82.95258657863329,0.56775,31.0,41.0,53.0,30.0,41.0,52.0,65.28733657863327,82.28733657863327,100.28733657863329,-13.0,1.0,14.0,11.129,11.20825,22.33725,16.0,22.0,29.0,1.987,1.9725,3.9595,2.0,4.0,7.0,2.11575,2.13575,4.2515,1.0,4.0,7.0,5.18525,5.238,10.42325,7.0,10.0,15.0,2.9165,2.94,5.8565,3.0,6.0,9.0
2026-02-08,401825501,Iowa Hawkeyes,Northwestern Wildcats,2026-02-08 15:00,2026-02-08T20:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,5,2,20,25,5.898,5.67175,11.56975,0.22625,3.0,6.0,9.0,3.0,5.0,9.0,7.0,11.0,17.0,-4.0,0.0,5.0,47.5145,46.7205,90.52473445381192,0.794,36.0,47.0,59.0,36.0,47.0,58.0,71.01874694457513,90.25576706928668,110.61052509529888,-14.0,1.0,15.0,5.588,5.609,11.197,7.0,11.0,16.0,0.97675,0.9805,1.95725,0.0,2.0,4.0,1.08475,1.07925,2.164,0.0,2.0,4.0,2.6225,2.6295,5.252,2.0,5.0,8.0,1.47425,1.4795,2.95375,1.0,3.0,5.0
2026-02-08,401825501,Iowa Hawkeyes,Northwestern Wildcats,2026-02-08 15:00,2026-02-08T20:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,6,2,25,30,5.6865,5.6365,11.323,0.05,3.0,5.0,9.0,2.0,5.0,9.0,6.0,11.0,17.0,-4.0,0.0,5.0,53.201,52.357,100.03536658978658,0.844,42.0,53.0,65.0,41.0,52.0,64.0,77.93539157131298,99.40943182073612,122.11894787276046,-14.0,1.0,16.0,5.47125,5.50075,10.972,7.0,11.0,16.0,0.92725,0.947,1.87425,0.0,2.0,4.0,1.015,1.024,2.039,0.0,2.0,4.0,2.542,2.5815,5.1235,2.0,5.0,8.0,1.441,1.4635,2.9045,1.0,3.0,5.0
2026-02-08,401825501,Iowa Hawkeyes,Northwestern Wildcats,2026-02-08 15:00,2026-02-08T20:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,7,2,30,35,5.897,5.80175,11.69875,0.09525,3.0,6.0,9.0,3.0,6.0,9.0,7.0,11.0,17.0,-4.0,0.0,5.0,59.098,58.15875,112.95577600101232,0.93925,47.0,59.0,72.0,47.0,58.0,70.0,96.19968804201858,112.71404077449203,130.12623456410833,-15.0,1.0,17.0,5.60375,5.594,11.19775,7.0,11.0,16.0,1.0015,0.9615,1.963,0.0,2.0,4.0,1.047,1.05675,2.10375,0.0,2.0,4.0,2.651,2.6055,5.2565,2.0,5.0,8.0,1.48175,1.51325,2.995,1.0,3.0,5.0
2026-02-08,401825501,Iowa Hawkeyes,Northwestern Wildcats,2026-02-08 15:00,2026-02-08T20:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,8,2,35,40,6.49725,6.5345,13.03175,-0.03725,3.0,6.0,10.0,3.0,6.0,10.0,8.0,13.0,19.0,-5.0,0.0,5.0,65.59525,64.69325,130.2885,0.902,53.0,65.0,79.0,52.0,65.0,77.0,111.0,130.0,150.0,-16.0,1.0,18.0,6.27725,6.2365,12.51375,8.0,12.0,18.0,1.0565,1.09525,2.15175,0.0,2.0,4.0,1.16625,1.191,2.35725,0.0,2.0,5.0,2.9235,2.90825,5.83175,3.0,6.0,9.0,1.68575,1.5995,3.28525,1.0,3.0,6.0
2026-02-08,401825502,Minnesota Golden Gophers,Maryland Terrapins,2026-02-08 14:00,2026-02-08T19:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,1,1,0,5,10.2725,10.68375,20.95625,-0.41125,6.0,10.0,15.0,6.0,10.0,15.0,14.0,21.0,28.0,-6.0,0.0,6.0,10.2725,10.68375,20.709507615387466,-0.41125,6.0,10.0,15.0,6.0,10.0,15.0,13.75325761538746,20.753257615387454,27.753257615387454,-6.0,0.0,6.0,10.4645,10.46225,20.92675,15.0,21.0,27.0,1.81975,1.81325,3.633,1.0,3.0,6.0,1.953,1.979,3.932,1.0,4.0,7.0,4.882,4.85175,9.73375,6.0,10.0,14.0,2.77275,2.77825,5.551,3.0,5.0,9.0
2026-02-08,401825502,Minnesota Golden Gophers,Maryland Terrapins,2026-02-08 14:00,2026-02-08T19:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,2,1,5,10,10.52975,10.809,21.33875,-0.27925,6.0,10.0,15.0,6.0,11.0,15.0,15.0,21.0,28.0,-6.0,0.0,6.0,20.80225,21.49275,41.70645535053541,-0.6905,14.0,21.0,28.0,15.0,21.0,29.0,31.4114553505354,41.4114553505354,52.4114553505354,-9.0,-1.0,8.0,10.6075,10.61375,21.22125,16.0,21.0,27.0,1.82675,1.8325,3.65925,1.0,4.0,6.0,1.946,2.0245,3.9705,1.0,4.0,7.0,4.9965,4.94975,9.94625,6.0,10.0,14.0,2.75925,2.74025,5.4995,3.0,5.0,9.0
2026-02-08,401825502,Minnesota Golden Gophers,Maryland Terrapins,2026-02-08 14:00,2026-02-08T19:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,3,1,10,15,11.00125,11.21625,22.2175,-0.215,6.0,11.0,16.0,7.0,11.0,16.0,16.0,22.0,29.0,-6.0,0.0,6.0,31.8035,32.709,63.12332075035401,-0.9055,23.0,31.0,41.0,24.0,32.0,42.0,48.610820750354,62.610820750354,77.61082075035398,-12.0,-1.0,10.0,11.04325,11.0385,22.08175,16.0,22.0,28.0,1.94875,1.96225,3.911,2.0,4.0,7.0,2.0885,2.1055,4.194,1.0,4.0,7.0,5.1495,5.167,10.3165,6.0,10.0,15.0,2.9075,2.906,5.8135,3.0,6.0,9.0
2026-02-08,401825502,Minnesota Golden Gophers,Maryland Terrapins,2026-02-08 14:00,2026-02-08T19:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,4,1,15,20,11.35075,11.64625,22.997,-0.2955,7.0,11.0,16.0,7.0,11.0,16.0,16.0,23.0,30.0,-6.0,0.0,6.0,43.15425,44.35525,87.79683657863329,-1.201,32.0,43.0,55.0,33.0,44.0,56.0,69.28733657863327,87.28733657863327,106.28733657863329,-14.0,-1.0,12.0,11.34375,11.3445,22.68825,17.0,23.0,29.0,1.9895,2.0245,4.014,2.0,4.0,7.0,2.107,2.16,4.267,1.0,4.0,7.0,5.3585,5.31125,10.66975,7.0,11.0,15.0,3.001,2.98775,5.98875,3.0,6.0,9.0
