date,game_id,event_id,book,market,period,selection,line,price,edge,kelly,fractional,stake,ev
2025-11-15,401812285,923422e883c990abbff94b0850f07391,Bovada,spreads,full_game,home,-2.0,-110.0,3.3171673000000004,0.8292918250000001,0.5,0.4881652540116196,
2025-11-15,401812285,923422e883c990abbff94b0850f07391,Caesars,spreads,full_game,home,-2.5,-110.0,2.8171673000000004,0.56343346,0.5,0.4881652540116196,
2025-11-15,401812285,923422e883c990abbff94b0850f07391,DraftKings,spreads,full_game,home,-2.5,-105.0,2.8171673000000004,0.56343346,0.5,0.4881652540116196,
2025-11-15,401812285,923422e883c990abbff94b0850f07391,FanDuel,spreads,full_game,home,-1.5,-120.0,3.8171673,1.0,0.5,0.4881652540116196,
2025-11-15,401812285,923422e883c990abbff94b0850f07391,LowVig.ag,spreads,full_game,home,-2.5,-101.0,2.8171673000000004,0.56343346,0.5,0.4881652540116196,
2025-11-15,401813275,5f0bd06c2e584b3d66e3f44f694bbaa0,BetMGM,spreads,full_game,home,-7.5,-105.0,1.6526420000000002,0.11017613333333334,0.5,0.4881652540116196,
2025-11-15,401813275,5f0bd06c2e584b3d66e3f44f694bbaa0,BetOnline.ag,spreads,full_game,home,-7.5,-104.0,1.6526420000000002,0.11017613333333334,0.5,0.4881652540116196,
2025-11-15,401813275,5f0bd06c2e584b3d66e3f44f694bbaa0,BetRivers,spreads,full_game,home,-7.5,-117.0,1.6526420000000002,0.11017613333333334,0.5,0.4881652540116196,
2025-11-15,401813275,5f0bd06c2e584b3d66e3f44f694bbaa0,Bovada,spreads,full_game,home,-7.5,-115.0,1.6526420000000002,0.11017613333333334,0.5,0.4881652540116196,
2025-11-15,401813275,5f0bd06c2e584b3d66e3f44f694bbaa0,Caesars,spreads,full_game,home,-7.5,-110.0,1.6526420000000002,0.11017613333333334,0.5,0.4881652540116196,
2025-11-15,401813275,5f0bd06c2e584b3d66e3f44f694bbaa0,DraftKings,spreads,full_game,home,-7.5,-108.0,1.6526420000000002,0.11017613333333334,0.5,0.4881652540116196,
2025-11-15,401813275,5f0bd06c2e584b3d66e3f44f694bbaa0,FanDuel,spreads,full_game,home,-7.5,-108.0,1.6526420000000002,0.11017613333333334,0.5,0.4881652540116196,
2025-11-15,401813275,5f0bd06c2e584b3d66e3f44f694bbaa0,Fanatics,spreads,full_game,home,-7.5,-115.0,1.6526420000000002,0.11017613333333334,0.5,0.4881652540116196,
2025-11-15,401813275,5f0bd06c2e584b3d66e3f44f694bbaa0,LowVig.ag,spreads,full_game,home,-7.5,100.0,1.6526420000000002,0.11017613333333334,0.5,0.4881652540116196,
2025-11-15,401813437,50b4e738db02e89574068f193e615ca4,BetMGM,spreads,full_game,home,-21.5,-110.0,11.429848,0.26581041860465116,0.5,0.4881652540116196,
2025-11-15,401813437,50b4e738db02e89574068f193e615ca4,BetOnline.ag,spreads,full_game,home,-21.5,-115.0,11.429848,0.26581041860465116,0.5,0.4881652540116196,
