game_id,home_team,away_team,pred_total,pred_margin,market_total,spread_home
401823528,Abilene Christian Wildcats,New Mexico State Aggies,,,131.5,3.0
401820601,Tulane Green Wave,Akron Zips,,,164.0,6.5
401823041,American University Eagles,Maryland Eastern Shore Hawks,,,130.0,-10.5
401823480,Arizona Wildcats,Auburn Tigers,,,161.0,-8.5
401819819,Arizona State Sun Devils,Oklahoma Sooners,,,154.5,6.0
401826791,Arkansas Razorbacks,Fresno State Bulldogs,,,158.5,-20.25
401825574,DePaul Blue Demons,Arkansas-Pine Bluff Golden Lions,,,156.5,-24.5
401825189,Little Rock Trojans,Arkansas State Red Wolves,,,149.5,9.5
401819829,Memphis Tigers,Baylor Bears,,,157.5,3.0
401823220,Murray State Racers,Bellarmine Knights,,,159.0,-17.5
401820610,Binghamton Bearcats,Le Moyne Dolphins,,,146.5,1.5
401820828,Butler Bulldogs,Boise State Broncos,,,147.5,-5.5
401824361,New Hampshire Wildcats,Boston University Terriers,,,134.0,5.5
401817215,Boston College Eagles,New Haven Chargers,,,127.5,-17.5
401830238,Howard Bison,Bowie State Bulldogs,,,,
401823422,Bowling Green Falcons,Utah Valley Wolverines,,,145.5,-1.0
401823465,Bradley Braves,Northern Illinois Huskies,,,144.5,-18.0
401818555,Brown Bears,Elms College Blazers,,,131.5,-6.5
401831529,Wagner Seahawks,Bryant Str-Alb Bobcats,,,,
401809081,Bucknell Bison,UMBC Retrievers,,,144.5,-2.5
401817202,Buffalo Bulls,St. Bonaventure Bonnies,,,142.5,6.5
401819911,Utah Utes,California Baptist Lancers,,,145.5,-6.0
401817225,California Golden Bears,Pacific Tigers,,,145.5,-9.0
401809154,Cal Poly Mustangs,UC Riverside Highlanders,,,162.5,-5.0
401809106,UC Irvine Anteaters,Cal State Northridge Matadors,,,142.0,-12.5
401823737,UC Santa Barbara Gauchos,Cal State Bakersfield Roadrunners,,,146.0,-11.5
401809139,Hawai'i Rainbow Warriors,Cal State Fullerton Titans,,,163.5,-16.0
401822336,Valparaiso Beacons,Calumet Crimson Wave,,,,
401827043,Prairie View A&M Panthers,Champion Christian Tigers,,,,
401829350,Chattanooga Mocs,Southeast Missouri State Redhawks,,,150.0,-4.5
401813260,Illinois State Redbirds,Chicago State Cougars,,,145.5,-21.5
401817507,Cleveland State Vikings,Detroit Mercy Titans,,,160.5,-2.5
401827070,Winthrop Eagles,Coastal Carolina Chanticleers,,,150.5,-15.0
401829405,Colgate Raiders,St. John Fisher Cardinals,,,,
401819867,Colorado State Rams,Colorado Buffaloes,,,148.5,-3.0
401818535,Columbia Lions,UAlbany Great Danes,,,146.5,-14.0
401822763,Liberty Flames,Coppin State Eagles,,,143.5,-32.5
401823761,Wyoming Cowboys,Dartmouth Big Green,,,157.5,-15.75
401813441,Virginia Cavaliers,Dayton Flyers,,,145.25,-5.5
401828305,Delaware State Hornets,Delaware Blue Hens,,,129.5,8.0
401824856,Idaho State Bengals,Denver Pioneers,,,144.5,-7.5
401831238,La Salle Explorers,Drexel Dragons,,,132.5,0.5
401817235,Michigan State Spartans,Duke Blue Devils,,,141.5,1.0
401813452,Duquesne Dukes,Stony Brook Seawolves,,,152.5,-9.5
401820812,East Carolina Pirates,UNC Greensboro Spartans,,,139.5,-5.5
401806343,Eastern Illinois Panthers,Lindenwood Lions,,,144.5,5.75
401828546,Eastern Kentucky Colonels,Indiana University East IU EAST,,,,
401823505,Eastern Washington Eagles,Kansas City Roos,,,148.5,-9.5
401827519,Wofford Terriers,Elon Phoenix,,,161.5,-4.25
401823363,Western Kentucky Hilltoppers,Evansville Purple Aces,,,148.5,-12.0
401831242,Florida A&M Rattlers,Florida Memorial FLORIDA MEMORIAL,,,,
401823346,Florida International Panthers,Jacksonville Dolphins,,,144.5,-8.0
401824813,Houston Cougars,Florida State Seminoles,,,145.0,-15.5
