date,n_games,n_with_closing,coverage_pct
2025-11-03,19,15,0.7894736842105263
2025-11-04,36,0,0.0
2025-11-05,35,0,0.0
2025-11-06,44,0,0.0
2025-11-07,76,0,0.0
2025-11-08,69,6,0.08695652173913043
