game_id,home_team,away_team,pred_total,pred_margin,market_total
401826056,UMBC Retrievers,Army Black Knights,140.96829,18.970476,
401824893,Austin Peay Governors,East Tennessee State Buccaneers,138.59323,-2.1658063,
401826971,Gardner-Webb Runnin' Bulldogs,Brevard Tornados,142.32057,3.6468387,
401823506,Eastern Washington Eagles,California Baptist Lancers,141.19753,5.2564363,
401812794,UConn Huskies,Texas Longhorns,156.42282,-0.23405886,
401829476,South Dakota State Jackrabbits,Dakota Wesleyan Tigers,143.1104,4.878534,
401820489,Texas A&M-Corpus Christi Islanders,Dallas Christian Crusaders,141.71182,2.697507,
401808702,McNeese Cowboys,East Texas A&M Lions,140.03914,3.8272452,
401823042,North Carolina A&T Aggies,Maryland Eastern Shore Hawks,137.29175,14.6921425,
401823328,Xavier Musketeers,Missouri State Bears,150.98332,12.282539,
401823496,Queens University Royals,South Carolina State Bulldogs,137.94989,11.046463,
401822353,Stonehill Skyhawks,Vermont State - Johnson Badgers,138.70067,-1.9982548,
401830119,UNC Greensboro Spartans,William Peace Pacers,143.48633,5.4647965,
