game_id,season,date,start_time,start_time_local,start_tz_abbr,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,game_date,pair_key,event_id,book,fetched_at,last_update,commence_time,home_team_name,away_team_name,market,period,moneyline_home,moneyline_away,home_spread,home_spread_price,away_spread,away_spread_price,total,over_price,under_price,odds_date
401827278,2025,2025-12-02,2025-12-02 23:00:00+00:00,2025-12-02 18:00,EST,Penn State Nittany Lions,Campbell Fighting Camels,18,19,18.0,19.0,,,False,Bryce Jordan Center,2025-12-02,campbellfightingcamels::pennstatenittanylions,,,,,,,,,,,,,,,,,,,
401820618,2025,2025-12-02,2025-12-02 23:00:00+00:00,2025-12-02 18:00,EST,Bryant Bulldogs,Stonehill Skyhawks,25,26,25.0,26.0,,,False,Chace Athletic Center,2025-12-02,stonehillskyhawks::bryantbulldogs,,,,,,,,,,,,,,,,,,,
401826753,2025,2025-12-02,2025-12-02 16:00:00+00:00,2025-12-02 11:00,EST,Western Carolina Catamounts,Virginia-Lynchburg Dragons,124,62,58.0,32.0,66.0,30.0,False,Ramsey Center,2025-12-02,virginia-lynchburgdragons::westerncarolinacatamounts,,,,,,,,,,,,,,,,,,,
401817148,2025,2025-12-02,2025-12-02 16:00:00+00:00,2025-12-02 11:00,EST,Army Black Knights,George Washington Revolutionaries,70,84,37.0,45.0,33.0,39.0,False,Christl Arena,2025-12-02,georgewashingtonrevolutionaries::armyblackknights,,,,,,,,,,,,,,,,,,,
401820844,2025,2025-12-02,2025-12-02 17:00:00+00:00,2025-12-02 12:00,EST,UT Martin Skyhawks,Charleston Southern Buccaneers,73,56,36.0,31.0,37.0,25.0,False,Kathleen and Tom Elam Center,2025-12-02,charlestonsouthernbuccaneers::utmartinskyhawks,,,,,,,,,,,,,,,,,,,
401820609,2025,2025-12-02,2025-12-03 00:00:00+00:00,2025-12-02 19:00,EST,Binghamton Bearcats,Lehigh Mountain Hawks,0,0,,,,,False,Events Center (Binghamton),2025-12-02,lehighmountainhawks::binghamtonbearcats,,,,,,,,,,,,,,,,,,,
401825392,2025,2025-12-02,2025-12-03 00:00:00+00:00,2025-12-02 19:00,EST,Michigan State Spartans,Iowa Hawkeyes,0,0,,,,,False,Breslin Center,2025-12-02,iowahawkeyes::michiganstatespartans,,,,,,,,,,,,,,,,,,,
401806366,2025,2025-12-02,2025-12-03 00:00:00+00:00,2025-12-02 19:00,EST,Syracuse Orange,Tennessee Volunteers,0,0,,,,,False,JMA Wireless Dome,2025-12-02,tennesseevolunteers::syracuseorange,,,,,,,,,,,,,,,,,,,
401831072,2025,2025-12-02,2025-12-03 00:00:00+00:00,2025-12-02 19:00,EST,Miami (OH) RedHawks,Indiana University East IU EAST,0,0,,,,,False,Millett Hall,2025-12-02,indianauniversityeastiueast::miami(oh)redhawks,,,,,,,,,,,,,,,,,,,
401830740,2025,2025-12-02,2025-12-03 00:00:00+00:00,2025-12-02 19:00,EST,Indiana State Sycamores,Eureka Red Devils,0,0,,,,,False,Hulman Center,2025-12-02,eurekareddevils::indianastatesycamores,,,,,,,,,,,,,,,,,,,
401830631,2025,2025-12-02,2025-12-03 00:00:00+00:00,2025-12-02 19:00,EST,South Alabama Jaguars,New Mexico State Aggies,0,0,,,,,True,Leonard E. Merrell Center,2025-12-02,newmexicostateaggies::southalabamajaguars,,,,,,,,,,,,,,,,,,,
401830118,2025,2025-12-02,2025-12-03 00:00:00+00:00,2025-12-02 19:00,EST,UNC Asheville Bulldogs,UNC Greensboro Spartans,0,0,,,,,True,Harrah's Cherokee Center,2025-12-02,uncgreensborospartans::uncashevillebulldogs,,,,,,,,,,,,,,,,,,,
401828340,2025,2025-12-02,2025-12-03 00:00:00+00:00,2025-12-02 19:00,EST,Kennesaw State Owls,Jackson State Tigers,0,0,,,,,False,KSU Convocation Center,2025-12-02,jacksonstatetigers::kennesawstateowls,,,,,,,,,,,,,,,,,,,
401826703,2025,2025-12-02,2025-12-03 00:00:00+00:00,2025-12-02 19:00,EST,George Mason Patriots,Cornell Big Red,0,0,,,,,False,EagleBank Arena,2025-12-02,cornellbigred::georgemasonpatriots,,,,,,,,,,,,,,,,,,,
401823489,2025,2025-12-02,2025-12-03 00:00:00+00:00,2025-12-02 19:00,EST,Mercer Bears,Georgia State Panthers,0,0,,,,,False,Hawkins Arena,2025-12-02,georgiastatepanthers::mercerbears,,,,,,,,,,,,,,,,,,,
401823447,2025,2025-12-02,2025-12-03 00:00:00+00:00,2025-12-02 19:00,EST,North Florida Ospreys,SIU Edwardsville Cougars,0,0,,,,,False,UNF Arena,2025-12-02,siuedwardsvillecougars::northfloridaospreys,,,,,,,,,,,,,,,,,,,
401823345,2025,2025-12-02,2025-12-03 00:00:00+00:00,2025-12-02 19:00,EST,Jacksonville Dolphins,Florida A&M Rattlers,0,0,,,,,False,Swisher Gymnasium,2025-12-02,floridaa&mrattlers::jacksonvilledolphins,,,,,,,,,,,,,,,,,,,
401820827,2025,2025-12-02,2025-12-03 00:00:00+00:00,2025-12-02 19:00,EST,Butler Bulldogs,Eastern Michigan Eagles,0,0,,,,,False,Hinkle Fieldhouse,2025-12-02,easternmichiganeagles::butlerbulldogs,,,,,,,,,,,,,,,,,,,
401820811,2025,2025-12-02,2025-12-03 00:00:00+00:00,2025-12-02 19:00,EST,East Carolina Pirates,Maryland Eastern Shore Hawks,0,0,,,,,False,Minges Coliseum,2025-12-02,marylandeasternshorehawks::eastcarolinapirates,,,,,,,,,,,,,,,,,,,
401820801,2025,2025-12-02,2025-12-03 00:00:00+00:00,2025-12-02 19:00,EST,Charlotte 49ers,North Carolina A&T Aggies,0,0,,,,,False,Halton Arena,2025-12-02,northcarolinaa&taggies::charlotte49ers,,,,,,,,,,,,,,,,,,,
401818303,2025,2025-12-02,2025-12-03 00:00:00+00:00,2025-12-02 19:00,EST,Yale Bulldogs,SUNY-Maritime Privateers,0,0,,,,,False,John J. Lee Amphitheater,2025-12-02,suny-maritimeprivateers::yalebulldogs,,,,,,,,,,,,,,,,,,,
401817168,2025,2025-12-02,2025-12-03 00:00:00+00:00,2025-12-02 19:00,EST,Rhode Island Rams,Brown Bears,0,0,,,,,False,Thomas M. Ryan Center,2025-12-02,brownbears::rhodeislandrams,,,,,,,,,,,,,,,,,,,
401813451,2025,2025-12-02,2025-12-03 00:00:00+00:00,2025-12-02 19:00,EST,Duquesne Dukes,William & Mary Tribe,0,0,,,,,False,UPMC Cooper Fieldhouse,2025-12-02,william&marytribe::duquesnedukes,,,,,,,,,,,,,,,,,,,
401813440,2025,2025-12-02,2025-12-03 00:00:00+00:00,2025-12-02 19:00,EST,Dayton Flyers,East Tennessee State Buccaneers,0,0,,,,,False,UD Arena,2025-12-02,easttennesseestatebuccaneers::daytonflyers,,,,,,,,,,,,,,,,,,,
401812289,2025,2025-12-02,2025-12-03 00:00:00+00:00,2025-12-02 19:00,EST,Providence Friars,Fairleigh Dickinson Knights,0,0,,,,,False,Amica Mutual Pavilion,2025-12-02,fairleighdickinsonknights::providencefriars,,,,,,,,,,,,,,,,,,,
