game_id,home_team,away_team,closing_total,closing_spread_home,closing_ml_home,closing_ml_away
2025-11-15:arkansas_pine_bluff_golden_lions:vanderbilt_commodores,Vanderbilt Commodores,Arkansas-Pine Bluff Golden Lions,173.5,-42.0,,
2025-11-15:austin_peay_governors:unc_greensboro_spartans,UNC Greensboro Spartans,Austin Peay Governors,146.5,-2.0,,
2025-11-15:binghamton_bearcats:longwood_lancers,Longwood Lancers,Binghamton Bearcats,147.5,-15.5,,
2025-11-15:boston_college_eagles:temple_owls,Temple Owls,Boston College Eagles,141.5,-3.5,,
2025-11-15:bowling_green_falcons:davidson_wildcats,Davidson Wildcats,Bowling Green Falcons,146.5,-5.0,,
2025-11-15:butler_bulldogs:smu_mustangs,SMU Mustangs,Butler Bulldogs,163.25,-7.5,,
2025-11-15:chattanooga_mocs:florida_gulf_coast_eagles,Florida Gulf Coast Eagles,Chattanooga Mocs,152.5,1.5,,
2025-11-15:clemson_tigers:georgetown_hoyas,Georgetown Hoyas,Clemson Tigers,141.0,1.0,,
2025-11-15:cleveland_st_vikings:kent_state_golden_flashes,Kent State Golden Flashes,Cleveland St Vikings,165.0,-11.0,,
2025-11-15:coppin_st_eagles:south_alabama_jaguars,South Alabama Jaguars,Coppin St Eagles,134.0,-18.5,,
2025-11-15:delaware_st_hornets:new_haven_chargers,New Haven Chargers,Delaware St Hornets,130.5,-1.5,,
2025-11-15:detroit_mercy_titans:toledo_rockets,Toledo Rockets,Detroit Mercy Titans,160.75,-10.0,,
2025-11-15:drexel_dragons:syracuse_orange,Syracuse Orange,Drexel Dragons,144.5,-12.5,,
2025-11-15:east_tennessee_st_buccaneers:north_alabama_lions,North Alabama Lions,East Tennessee St Buccaneers,145.5,-1.0,,
2025-11-15:fairleigh_dickinson_knights:njit_highlanders,NJIT Highlanders,Fairleigh Dickinson Knights,146.5,-2.5,,
2025-11-15:harvard_crimson:army_knights,Army Knights,Harvard Crimson,147.0,7.0,,
2025-11-15:idaho_vandals:uc_san_diego_tritons,UC San Diego Tritons,Idaho Vandals,148.5,-5.75,,
2025-11-15:jacksonville_dolphins:vmi_keydets,VMI Keydets,Jacksonville Dolphins,151.5,1.0,,
2025-11-15:la_salle_explorers:penn_state_nittany_lions,Penn State Nittany Lions,La Salle Explorers,145.75,-7.5,,
2025-11-15:loyola_md_greyhounds:stonehill_skyhawks,Stonehill Skyhawks,Loyola (MD) Greyhounds,139.5,7.5,,
2025-11-15:marshall_thundering_herd:virginia_cavaliers,Virginia Cavaliers,Marshall Thundering Herd,155.5,-21.0,,
2025-11-15:maryland_terrapins:marquette_golden_eagles,Marquette Golden Eagles,Maryland Terrapins,145.5,-7.0,,
2025-11-15:mercer_bears:winthrop_eagles,Winthrop Eagles,Mercer Bears,163.5,-2.5,,
2025-11-15:merrimack_warriors:boston_univ_terriers,Boston Univ. Terriers,Merrimack Warriors,135.5,-2.5,,
2025-11-15:miami_oh_redhawks:air_force_falcons,Air Force Falcons,Miami (OH) RedHawks,144.0,11.0,,
2025-11-15:missouri_st_bears:ut_arlington_mavericks,UT-Arlington Mavericks,Missouri St Bears,146.0,-3.5,,
2025-11-15:montana_st_bobcats:boise_state_broncos,Boise State Broncos,Montana St Bobcats,149.5,-17.0,,
2025-11-15:morgan_st_bears:mercyhurst_lakers,Mercyhurst Lakers,Morgan St Bears,146.5,-7.5,,
2025-11-15:new_hampshire_wildcats:george_mason_patriots,George Mason Patriots,New Hampshire Wildcats,144.5,-24.0,,
2025-11-15:nicholls_st_colonels:murray_st_racers,Murray St Racers,Nicholls St Colonels,159.5,-14.5,,
2025-11-15:north_dakota_fighting_hawks:uc_riverside_highlanders,UC Riverside Highlanders,North Dakota Fighting Hawks,147.5,-3.5,,
2025-11-15:ohio_bobcats:louisville_cardinals,Louisville Cardinals,Ohio Bobcats,175.5,-31.5,,
2025-11-15:old_dominion_monarchs:gw_revolutionaries,GW Revolutionaries,Old Dominion Monarchs,156.5,-14.5,,
2025-11-15:pacific_tigers:csu_fullerton_titans,CSU Fullerton Titans,Pacific Tigers,158.5,6.5,,
2025-11-15:princeton_tigers:kansas_jayhawks,Kansas Jayhawks,Princeton Tigers,143.5,-22.5,,
2025-11-15:sacred_heart_pioneers:queens_university_royals,Queens University Royals,Sacred Heart Pioneers,165.5,-5.5,,
2025-11-15:se_louisiana_lions:mississippi_st_bulldogs,Mississippi St Bulldogs,SE Louisiana Lions,150.25,-28.5,,
2025-11-15:st_thomas_mn_tommies:se_missouri_st_redhawks,SE Missouri St Redhawks,St. Thomas (MN) Tommies,153.0,2.0,,
2025-11-15:stony_brook_seawolves:yale_bulldogs,Yale Bulldogs,Stony Brook Seawolves,149.5,-20.0,,
2025-11-15:texas_southern_tigers:texas_state_bobcats,Texas State Bobcats,Texas Southern Tigers,144.5,-3.5,,
2025-11-15:uic_flames:chicago_st_cougars,Chicago St Cougars,UIC Flames,157.5,10.5,,
2025-11-15:umkc_kangaroos:texas_longhorns,Texas Longhorns,UMKC Kangaroos,160.5,-31.5,,
2025-11-15:utep_miners:utah_state_aggies,Utah State Aggies,UTEP Miners,150.25,-16.5,,
2025-11-15:utsa_roadrunners:denver_pioneers,Denver Pioneers,UTSA Roadrunners,147.5,-4.0,,
2025-11-15:vermont_catamounts:northeastern_huskies,Northeastern Huskies,Vermont Catamounts,134.5,-1.5,,
2025-11-15:william_mary_tribe:st_john_s_red_storm,St. John's Red Storm,William & Mary Tribe,177.5,-28.5,,
2025-11-15:wofford_terriers:bellarmine_knights,Bellarmine Knights,Wofford Terriers,156.0,2.5,,
2025-11-15:wright_st_raiders:radford_highlanders,Radford Highlanders,Wright St Raiders,156.5,-6.5,,
2025-11-15:youngstown_st_penguins:st_bonaventure_bonnies,St. Bonaventure Bonnies,Youngstown St Penguins,148.0,-10.5,,
