game_id,season,date,start_time,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,source,game_date,game_key,game_id_odds,book,fetched_at,moneyline_home,moneyline_away,spread,total,commence_time,home_team_name,away_team_name,odds_date,odds_key
401820551,2025,2025-11-15,2025-11-15 19:00:00+00:00,Air Force Falcons,Miami (OH) RedHawks,0,0,,,,,False,Clune Arena,espn,2025-11-15,airforce__miamioh,2c88580ba90a58e14e570672edcf0fb2,DraftKings,2025-11-15 16:53:27.002321+00:00,440.0,-600.0,10.5,143.5,2025-11-15 19:00:00+00:00,Air Force Falcons,Miami (OH) RedHawks,2025-11-15,airforce__miamioh
401820551,2025,2025-11-15,2025-11-15 19:00:00+00:00,Air Force Falcons,Miami (OH) RedHawks,0,0,,,,,False,Clune Arena,espn,2025-11-15,airforce__miamioh,2c88580ba90a58e14e570672edcf0fb2,LowVig.ag,2025-11-15 16:53:27.002321+00:00,446.0,-600.0,10.5,144.0,2025-11-15 19:00:00+00:00,Air Force Falcons,Miami (OH) RedHawks,2025-11-15,airforce__miamioh
401820551,2025,2025-11-15,2025-11-15 19:00:00+00:00,Air Force Falcons,Miami (OH) RedHawks,0,0,,,,,False,Clune Arena,espn,2025-11-15,airforce__miamioh,2c88580ba90a58e14e570672edcf0fb2,BetOnline.ag,2025-11-15 16:53:27.002321+00:00,446.0,-600.0,10.5,144.0,2025-11-15 19:00:00+00:00,Air Force Falcons,Miami (OH) RedHawks,2025-11-15,airforce__miamioh
401820551,2025,2025-11-15,2025-11-15 19:00:00+00:00,Air Force Falcons,Miami (OH) RedHawks,0,0,,,,,False,Clune Arena,espn,2025-11-15,airforce__miamioh,2c88580ba90a58e14e570672edcf0fb2,Caesars,2025-11-15 16:53:27.002321+00:00,430.0,-600.0,10.5,144.0,2025-11-15 19:00:00+00:00,Air Force Falcons,Miami (OH) RedHawks,2025-11-15,airforce__miamioh
401820551,2025,2025-11-15,2025-11-15 19:00:00+00:00,Air Force Falcons,Miami (OH) RedHawks,0,0,,,,,False,Clune Arena,espn,2025-11-15,airforce__miamioh,2c88580ba90a58e14e570672edcf0fb2,BetMGM,2025-11-15 16:53:27.002321+00:00,450.0,-625.0,,143.5,2025-11-15 19:00:00+00:00,Air Force Falcons,Miami (OH) RedHawks,2025-11-15,airforce__miamioh
401820551,2025,2025-11-15,2025-11-15 19:00:00+00:00,Air Force Falcons,Miami (OH) RedHawks,0,0,,,,,False,Clune Arena,espn,2025-11-15,airforce__miamioh,2c88580ba90a58e14e570672edcf0fb2,BetUS,2025-11-15 16:53:27.002321+00:00,450.0,-600.0,11.0,144.0,2025-11-15 19:00:00+00:00,Air Force Falcons,Miami (OH) RedHawks,2025-11-15,airforce__miamioh
401820551,2025,2025-11-15,2025-11-15 19:00:00+00:00,Air Force Falcons,Miami (OH) RedHawks,0,0,,,,,False,Clune Arena,espn,2025-11-15,airforce__miamioh,2c88580ba90a58e14e570672edcf0fb2,Bovada,2025-11-15 16:53:27.002321+00:00,475.0,-700.0,11.0,144.0,2025-11-15 19:00:00+00:00,Air Force Falcons,Miami (OH) RedHawks,2025-11-15,airforce__miamioh
401820551,2025,2025-11-15,2025-11-15 19:00:00+00:00,Air Force Falcons,Miami (OH) RedHawks,0,0,,,,,False,Clune Arena,espn,2025-11-15,airforce__miamioh,2c88580ba90a58e14e570672edcf0fb2,BetRivers,2025-11-15 16:53:27.002321+00:00,340.0,-480.0,10.5,144.0,2025-11-15 19:00:00+00:00,Air Force Falcons,Miami (OH) RedHawks,2025-11-15,airforce__miamioh
401820551,2025,2025-11-15,2025-11-15 19:00:00+00:00,Air Force Falcons,Miami (OH) RedHawks,0,0,,,,,False,Clune Arena,espn,2025-11-15,airforce__miamioh,2c88580ba90a58e14e570672edcf0fb2,FanDuel,2025-11-15 16:53:27.002321+00:00,390.0,-550.0,10.5,143.5,2025-11-15 19:00:00+00:00,Air Force Falcons,Miami (OH) RedHawks,2025-11-15,airforce__miamioh
401828671,2025,2025-11-15,2025-11-15 21:00:00+00:00,American University Eagles,Central Penn Knights,0,0,,,,,False,Bender Arena,espn,2025-11-15,american__centralpenn,,,,,,,,,,,,
401829483,2025,2025-11-15,2025-11-16 01:00:00+00:00,Arkansas State Red Wolves,Christian Brothers Buccaneers,0,0,,,,,False,First National Bank Arena,espn,2025-11-15,arkansasstateredwolves__christianbrothers,,,,,,,,,,,,
401812602,2025,2025-11-15,2025-11-15 19:00:00+00:00,Army Black Knights,Harvard Crimson,0,0,,,,,False,Christl Arena,espn,2025-11-15,armyblack__harvardcrimson,,,,,,,,,,,,
401822320,2025,2025-11-15,2025-11-16 00:00:00+00:00,Ball State Cardinals,Little Rock Trojans,0,0,,,,,False,Worthen Arena,espn,2025-11-15,ballstate__littlerocktrojans,,,,,,,,,,,,
401823215,2025,2025-11-15,2025-11-15 19:00:00+00:00,Bellarmine Knights,Wofford Terriers,0,0,,,,,False,Knights Hall,espn,2025-11-15,bellarmine__wofford,0d045fe6975fc350bc5c98544c5c2d5b,DraftKings,2025-11-15 16:53:27.002321+00:00,124.0,-148.0,2.5,155.5,2025-11-15 19:00:00+00:00,Bellarmine Knights,Wofford Terriers,2025-11-15,bellarmine__wofford
