pair_key,home_team,away_team,our_start_display,our_start_iso,our_start_dt,sched_commence_time,sched_start_time,sched_dt,diff_minutes
ballstate::indianastate,Indiana State Sycamores,Ball State Cardinals,2025-11-23 00:00,2025-11-23T05:00:00Z,2025-11-23 05:00:00+00:00,,2025-11-23 00:00:00+00:00,2025-11-23 00:00:00+00:00,300.0
binghamton::marylandeasternshore,Binghamton Bearcats,Maryland Eastern Shore Hawks,2025-11-22 20:00,2025-11-23T01:00:00Z,2025-11-23 01:00:00+00:00,,2025-11-22 20:00:00+00:00,2025-11-22 20:00:00+00:00,300.0
boston::harvardcrimson,Boston University Terriers,Harvard Crimson,2025-11-22 18:30,2025-11-22T23:30:00Z,2025-11-22 23:30:00+00:00,,2025-11-22 18:30:00+00:00,2025-11-22 18:30:00+00:00,300.0
californiamerced::stmarys,Saint Mary's Gaels,UC Merced Bobcats,2025-11-23 03:30,2025-11-23T08:30:00Z,2025-11-23 08:30:00+00:00,,2025-11-23 03:30:00+00:00,2025-11-23 03:30:00+00:00,300.0
calstbakersfield::mississippivalleystatedeltadevils,Cal State Bakersfield Roadrunners,Mississippi Valley State Delta Devils,2025-11-22 21:00,2025-11-23T02:00:00Z,2025-11-23 02:00:00+00:00,,2025-11-22 21:00:00+00:00,2025-11-22 21:00:00+00:00,300.0
calstfullerton::stthomasminnesotatommies,Cal State Fullerton Titans,St. Thomas-Minnesota Tommies,2025-11-22 22:30,2025-11-23T03:30:00Z,2025-11-23 03:30:00+00:00,,2025-11-22 22:30:00+00:00,2025-11-22 22:30:00+00:00,300.0
centralmichigan::marquettegolden,Marquette Golden Eagles,Central Michigan Chippewas,2025-11-22 19:00,2025-11-23T00:00:00Z,2025-11-23 00:00:00+00:00,,2025-11-22 19:00:00+00:00,2025-11-22 19:00:00+00:00,300.0
chattanoogamocs::northalabama,Chattanooga Mocs,North Alabama Lions,2025-11-22 21:30,2025-11-23T02:30:00Z,2025-11-23 02:30:00+00:00,,2025-11-22 21:30:00+00:00,2025-11-22 21:30:00+00:00,300.0
clevelandstate::kentstategoldenflashes,Kent State Golden Flashes,Cleveland State Vikings,2025-11-22 19:00,2025-11-23T00:00:00Z,2025-11-23 00:00:00+00:00,,2025-11-22 19:00:00+00:00,2025-11-22 19:00:00+00:00,300.0
coastalcarolinachanticleers::northdakotafighting,North Dakota Fighting Hawks,Coastal Carolina Chanticleers,2025-11-23 00:00,2025-11-23T05:00:00Z,2025-11-23 05:00:00+00:00,,2025-11-23 00:00:00+00:00,2025-11-23 00:00:00+00:00,300.0
