pair_key,home_team,away_team,our_start_iso,our_start_dt,sched_commence_time,sched_start_time,sched_dt,diff_minutes
barberscotiabarberscotia::floridaaandmrattlers,Florida A&M Rattlers,Barber Scotia BARBER SCOTIA,2025-12-05T22:00:00Z,2025-12-05 22:00:00+00:00,,2025-12-05 22:00:00+00:00,2025-12-05 22:00:00+00:00,0.0
bethunecookman::southcarolinastate,Bethune-Cookman Wildcats,South Carolina State Bulldogs,2025-12-06T00:00:00Z,2025-12-06 00:00:00+00:00,,2025-12-06 00:00:00+00:00,2025-12-06 00:00:00+00:00,0.0
brown::bryant,Brown Bears,Bryant Bulldogs,2025-12-06T00:00:00Z,2025-12-06 00:00:00+00:00,,2025-12-06 00:00:00+00:00,2025-12-06 00:00:00+00:00,0.0
canisiusgolden::saintpeters,Saint Peter's Peacocks,Canisius Golden Griffins,2025-12-06T00:00:00Z,2025-12-06 00:00:00+00:00,,2025-12-06 00:00:00+00:00,2025-12-06 00:00:00+00:00,0.0
christendomcrusaders::vmikeydets,VMI Keydets,Christendom Crusaders,2025-12-06T00:30:00Z,2025-12-06 00:30:00+00:00,,2025-12-06 00:30:00+00:00,2025-12-06 00:30:00+00:00,0.0
cincinnati::xavier,Xavier Musketeers,Cincinnati Bearcats,2025-12-06T00:30:00Z,2025-12-06 00:30:00+00:00,,2025-12-06 00:30:00+00:00,2025-12-06 00:30:00+00:00,0.0
cleary::easternmichigan,Eastern Michigan Eagles,Cleary University Cougars,2025-12-06T00:30:00Z,2025-12-06 00:30:00+00:00,,2025-12-06 00:30:00+00:00,2025-12-06 00:30:00+00:00,0.0
connecticut::easttexasaandm,UConn Huskies,East Texas A&M Lions,2025-12-06T00:30:00Z,2025-12-06 00:30:00+00:00,,2025-12-06 00:30:00+00:00,2025-12-06 00:30:00+00:00,0.0
drake::uabblazers,Drake Bulldogs,UAB Blazers,2025-12-06T00:30:00Z,2025-12-06 00:30:00+00:00,,2025-12-06 00:30:00+00:00,2025-12-06 00:30:00+00:00,0.0
easttennesseestate::southalabama,East Tennessee State Buccaneers,South Alabama Jaguars,2025-12-06T00:00:00Z,2025-12-06 00:00:00+00:00,,2025-12-06 00:00:00+00:00,2025-12-06 00:00:00+00:00,0.0
fairfield::manhattan,Manhattan Jaspers,Fairfield Stags,2025-12-06T00:00:00Z,2025-12-06 00:00:00+00:00,,2025-12-06 00:00:00+00:00,2025-12-06 00:00:00+00:00,0.0
gonzaga::kentucky,Kentucky Wildcats,Gonzaga Bulldogs,2025-12-06T00:00:00Z,2025-12-06 00:00:00+00:00,,2025-12-06 00:00:00+00:00,2025-12-06 00:00:00+00:00,0.0
highpoint::njit,High Point Panthers,NJIT Highlanders,2025-12-06T00:00:00Z,2025-12-06 00:00:00+00:00,,2025-12-06 00:00:00+00:00,2025-12-06 00:00:00+00:00,0.0
iona::quinnipiac,Iona Gaels,Quinnipiac Bobcats,2025-12-06T00:00:00Z,2025-12-06 00:00:00+00:00,,2025-12-06 00:00:00+00:00,2025-12-06 00:00:00+00:00,0.0
lafayette::mercyhurst,Lafayette Leopards,Mercyhurst Lakers,2025-12-06T00:00:00Z,2025-12-06 00:00:00+00:00,,2025-12-06 00:00:00+00:00,2025-12-06 00:00:00+00:00,0.0
lewisandclark::portlandpilots,Portland Pilots,Lewis & Clark Pioneers,2025-12-06T03:00:00Z,2025-12-06 03:00:00+00:00,,2025-12-06 03:00:00+00:00,2025-12-06 03:00:00+00:00,0.0
maristredfoxes::mountstatemarys,Marist Red Foxes,Mount St. Mary's Mountaineers,2025-12-06T00:00:00Z,2025-12-06 00:00:00+00:00,,2025-12-06 00:00:00+00:00,2025-12-06 00:00:00+00:00,0.0
mcneese::northwesternstate,McNeese Cowboys,Northwestern State Demons,2025-12-06T00:30:00Z,2025-12-06 00:30:00+00:00,,2025-12-06 00:30:00+00:00,2025-12-06 00:30:00+00:00,0.0
niagarapurple::sienasaints,Siena Saints,Niagara Purple Eagles,2025-12-06T00:00:00Z,2025-12-06 00:00:00+00:00,,2025-12-06 00:00:00+00:00,2025-12-06 00:00:00+00:00,0.0
notredame::tcuhornedfrogs,TCU Horned Frogs,Notre Dame Fighting Irish,2025-12-06T01:00:00Z,2025-12-06 01:00:00+00:00,,2025-12-06 01:00:00+00:00,2025-12-06 01:00:00+00:00,0.0
samford::vcu,VCU Rams,Samford Bulldogs,2025-12-06T00:00:00Z,2025-12-06 00:00:00+00:00,,2025-12-06 00:00:00+00:00,2025-12-06 00:00:00+00:00,0.0
sandiegotoreros::sanjosestate,San José State Spartans,San Diego Toreros,2025-12-06T03:00:00Z,2025-12-06 03:00:00+00:00,,2025-12-06 03:00:00+00:00,2025-12-06 03:00:00+00:00,0.0
