date,game_id,home_team,away_team,start_time_local,start_time_iso,start_tz_abbr,segment,half,start_min,end_min,mu_home_pts_seg,mu_away_pts_seg,mu_total_pts_seg,mu_margin_pts_seg,q10_home_pts_seg,q50_home_pts_seg,q90_home_pts_seg,q10_away_pts_seg,q50_away_pts_seg,q90_away_pts_seg,q10_total_pts_seg,q50_total_pts_seg,q90_total_pts_seg,q10_margin_pts_seg,q50_margin_pts_seg,q90_margin_pts_seg,mu_home_score_end,mu_away_score_end,mu_total_score_end,mu_margin_score_end,q10_home_score_end,q50_home_score_end,q90_home_score_end,q10_away_score_end,q50_away_score_end,q90_away_score_end,q10_total_score_end,q50_total_score_end,q90_total_score_end,q10_margin_score_end,q50_margin_score_end,q90_margin_score_end,mu_home_poss_seg,mu_away_poss_seg,mu_total_poss_seg,q10_total_poss_seg,q50_total_poss_seg,q90_total_poss_seg,mu_home_tov_seg,mu_away_tov_seg,mu_total_tov_seg,q10_total_tov_seg,q50_total_tov_seg,q90_total_tov_seg,mu_home_fta_seg,mu_away_fta_seg,mu_total_fta_seg,q10_total_fta_seg,q50_total_fta_seg,q90_total_fta_seg,mu_home_fga2_seg,mu_away_fga2_seg,mu_total_fga2_seg,q10_total_fga2_seg,q50_total_fga2_seg,q90_total_fga2_seg,mu_home_fga3_seg,mu_away_fga3_seg,mu_total_fga3_seg,q10_total_fga3_seg,q50_total_fga3_seg,q90_total_fga3_seg
2026-02-05,401805187,Utah Valley Wolverines,Abilene Christian Wildcats,2026-02-05 20:00,2026-02-06T01:00:00Z,EST,3,1,10,15,8.55575,8.71375,17.2695,-0.158,5.0,8.0,13.0,5.0,9.0,13.0,11.0,17.0,24.0,-6.0,0.0,5.0,25.49775,26.1605,48.89512913858612,-0.66275,17.0,25.0,34.0,18.0,26.0,35.0,35.2368791385861,48.2368791385861,63.2368791385861,-11.0,-1.0,9.0,8.64975,8.58625,17.236,12.0,17.0,23.0,1.407,1.40025,2.80725,1.0,3.0,5.0,1.65,1.67175,3.32175,1.0,3.0,6.0,4.0795,4.03325,8.11275,5.0,8.0,12.0,2.296,2.26425,4.56025,2.0,4.0,7.0
2026-02-05,401805187,Utah Valley Wolverines,Abilene Christian Wildcats,2026-02-05 20:00,2026-02-06T01:00:00Z,EST,4,1,15,20,8.467,8.724,17.191,-0.257,4.0,8.0,13.0,5.0,8.0,13.0,11.0,17.0,24.0,-6.0,0.0,5.0,33.96475,34.8845,69.11912807793352,-0.91975,24.0,34.0,45.0,24.0,35.0,46.0,52.16987807793353,68.26987807793351,87.2698780779335,-13.0,-1.0,11.0,8.6365,8.59525,17.23175,12.0,17.0,23.0,1.436,1.461,2.897,1.0,3.0,5.0,1.66225,1.6415,3.30375,1.0,3.0,6.0,4.09025,4.0815,8.17175,5.0,8.0,12.0,2.269,2.273,4.542,2.0,4.0,7.0
2026-02-05,401805187,Utah Valley Wolverines,Abilene Christian Wildcats,2026-02-05 20:00,2026-02-06T01:00:00Z,EST,5,2,20,25,9.4485,10.14825,19.59675,-0.69975,5.0,9.0,14.0,6.0,10.0,15.0,13.0,19.0,26.0,-6.0,-1.0,5.0,43.41325,45.03275,86.14203193737583,-1.6195,33.0,43.0,55.0,34.0,45.0,56.0,68.6960319373758,85.69603193737582,103.6960319373758,-15.0,-2.0,12.0,8.91625,8.97925,17.8955,12.0,18.0,24.0,1.472,1.464,2.936,1.0,3.0,5.0,1.7025,1.71975,3.42225,1.0,3.0,6.0,4.241,4.28425,8.52525,5.0,8.0,12.0,2.38025,2.39525,4.7755,2.0,5.0,8.0
2026-02-05,401805187,Utah Valley Wolverines,Abilene Christian Wildcats,2026-02-05 20:00,2026-02-06T01:00:00Z,EST,6,2,25,30,9.365,10.179,19.544,-0.814,5.0,9.0,14.0,6.0,10.0,15.0,13.0,19.0,26.0,-7.0,-1.0,5.0,52.77825,55.21175,106.23692598144774,-2.4335,41.900000000000034,52.0,65.0,44.0,55.0,67.0,88.24692598144773,106.24692598144772,125.24692598144772,-17.0,-2.0,12.0,8.967,8.969,17.936,12.0,18.0,23.09999999999991,1.497,1.46725,2.96425,1.0,3.0,5.0,1.73175,1.72675,3.4585,1.0,3.0,6.0,4.27325,4.24275,8.516,5.0,8.0,12.0,2.3785,2.378,4.7565,2.0,5.0,8.0
2026-02-05,401805187,Utah Valley Wolverines,Abilene Christian Wildcats,2026-02-05 20:00,2026-02-06T01:00:00Z,EST,7,2,30,35,9.357,10.094,19.451,-0.737,5.0,9.0,14.0,6.0,10.0,15.0,13.0,19.0,26.0,-7.0,-1.0,5.0,62.13525,65.30575,126.94835103913536,-3.1705,50.0,62.0,75.0,53.0,65.0,78.0,108.4073510391354,127.50735103913536,145.50735103913536,-19.0,-3.0,13.0,9.00675,8.964,17.97075,12.0,18.0,24.0,1.42,1.50875,2.92875,1.0,3.0,5.0,1.7235,1.7055,3.429,1.0,3.0,6.0,4.29025,4.273,8.56325,5.0,8.0,12.0,2.3955,2.403,4.7985,2.0,5.0,8.0
2026-02-05,401805187,Utah Valley Wolverines,Abilene Christian Wildcats,2026-02-05 20:00,2026-02-06T01:00:00Z,EST,8,2,35,40,9.3435,10.134,19.4775,-0.7905,5.0,9.0,14.0,6.0,10.0,15.0,13.0,19.0,26.0,-6.0,-1.0,5.0,71.47875,75.43975,146.9185,-3.961,58.0,71.0,85.0,62.0,75.0,89.0,126.0,147.0,167.0,-21.0,-4.0,13.0,9.01675,8.9945,18.01125,13.0,18.0,24.0,1.48325,1.4925,2.97575,1.0,3.0,5.0,1.70225,1.7405,3.44275,1.0,3.0,6.0,4.27625,4.196,8.47225,5.0,8.0,12.0,2.3695,2.35575,4.72525,2.0,5.0,8.0
2026-02-05,401805188,California Baptist Lancers,Tarleton State Texans,2026-02-05 22:00,2026-02-06T03:00:00Z,EST,1,1,0,5,8.6505,8.5085,17.159,0.142,5.0,8.0,13.0,5.0,8.0,13.0,11.0,17.0,24.0,-5.0,0.0,6.0,8.6505,8.5085,15.941691432478777,0.142,5.0,8.0,13.0,5.0,8.0,13.0,9.782691432478774,15.782691432478776,22.78269143247877,-5.0,0.0,6.0,8.904,8.89125,17.79525,12.0,18.0,24.0,1.46125,1.42975,2.891,1.0,3.0,5.0,1.6825,1.69075,3.37325,1.0,3.0,6.0,4.275,4.1745,8.4495,5.0,8.0,12.0,2.33925,2.334,4.67325,2.0,4.0,8.0
2026-02-05,401805188,California Baptist Lancers,Tarleton State Texans,2026-02-05 22:00,2026-02-06T03:00:00Z,EST,2,1,5,10,8.64,8.6035,17.2435,0.0365,5.0,8.0,13.0,5.0,8.0,13.0,11.0,17.0,24.0,-5.0,0.0,5.0,17.2905,17.112,32.2810447409031,0.1785,11.0,17.0,24.0,11.0,17.0,24.0,22.77854474090312,31.87854474090309,42.87854474090308,-8.0,0.0,8.0,8.89125,8.816,17.70725,12.0,17.0,24.0,1.45875,1.51625,2.975,1.0,3.0,5.0,1.69325,1.69525,3.3885,1.0,3.0,6.0,4.20425,4.225,8.42925,5.0,8.0,12.0,2.3475,2.35875,4.70625,2.0,5.0,8.0
2026-02-05,401805188,California Baptist Lancers,Tarleton State Texans,2026-02-05 22:00,2026-02-06T03:00:00Z,EST,3,1,10,15,8.6765,8.535,17.2115,0.1415,5.0,8.0,13.0,5.0,8.0,13.0,11.0,17.0,24.0,-5.0,0.0,6.0,25.967,25.647,48.85087913858611,0.32,17.0,26.0,35.0,17.0,25.0,35.0,35.236879138586104,48.2368791385861,63.2368791385861,-10.0,0.0,11.0,8.87525,8.89275,17.768,12.0,17.0,24.0,1.46125,1.49325,2.9545,1.0,3.0,5.0,1.7305,1.72775,3.45825,1.0,3.0,6.0,4.19325,4.1935,8.38675,5.0,8.0,12.0,2.3365,2.34,4.6765,2.0,5.0,8.0
2026-02-05,401805188,California Baptist Lancers,Tarleton State Texans,2026-02-05 22:00,2026-02-06T03:00:00Z,EST,4,1,15,20,8.58625,8.57425,17.1605,0.012,5.0,8.0,13.0,5.0,8.0,13.0,11.0,17.0,24.0,-6.0,0.0,5.0,34.55325,34.22125,69.04437807793352,0.332,24.0,34.0,46.0,24.0,34.0,45.0,52.26987807793351,68.26987807793351,87.2698780779335,-12.0,0.0,13.0,8.82775,8.89825,17.726,12.0,18.0,23.0,1.4805,1.4875,2.968,1.0,3.0,5.0,1.70775,1.68225,3.39,1.0,3.0,6.0,4.21075,4.206,8.41675,5.0,8.0,12.0,2.323,2.34175,4.66475,2.0,5.0,7.0
