game_id,season,date,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h
2024-03-21-0,2024,2024-03-21,HOME,AWAY,,,,,,
2024-03-21-1,2024,2024-03-21,HOME,AWAY,,,,,,
2024-03-21-2,2024,2024-03-21,HOME,AWAY,,,,,,
2024-03-21-3,2024,2024-03-21,HOME,AWAY,,,,,,
2024-03-21-4,2024,2024-03-21,HOME,AWAY,,,,,,
2024-03-21-5,2024,2024-03-21,HOME,AWAY,,,,,,
2024-03-21-6,2024,2024-03-21,HOME,AWAY,,,,,,
2024-03-21-7,2024,2024-03-21,HOME,AWAY,,,,,,
2024-03-21-8,2024,2024-03-21,HOME,AWAY,,,,,,
2024-03-21-9,2024,2024-03-21,HOME,AWAY,,,,,,
2024-03-21-10,2024,2024-03-21,HOME,AWAY,,,,,,
2024-03-21-11,2024,2024-03-21,HOME,AWAY,,,,,,
2024-03-21-12,2024,2024-03-21,HOME,AWAY,,,,,,
2024-03-21-13,2024,2024-03-21,HOME,AWAY,,,,,,
2024-03-21-14,2024,2024-03-21,HOME,AWAY,,,,,,
2024-03-21-15,2024,2024-03-21,HOME,AWAY,,,,,,
2024-03-22-0,2024,2024-03-22,HOME,AWAY,,,,,,
2024-03-22-1,2024,2024-03-22,HOME,AWAY,,,,,,
2024-03-22-2,2024,2024-03-22,HOME,AWAY,,,,,,
2024-03-22-3,2024,2024-03-22,HOME,AWAY,,,,,,
2024-03-22-4,2024,2024-03-22,HOME,AWAY,,,,,,
2024-03-22-5,2024,2024-03-22,HOME,AWAY,,,,,,
2024-03-22-6,2024,2024-03-22,HOME,AWAY,,,,,,
2024-03-22-7,2024,2024-03-22,HOME,AWAY,,,,,,
2024-03-22-8,2024,2024-03-22,HOME,AWAY,,,,,,
2024-03-22-9,2024,2024-03-22,HOME,AWAY,,,,,,
2024-03-22-10,2024,2024-03-22,HOME,AWAY,,,,,,
2024-03-22-11,2024,2024-03-22,HOME,AWAY,,,,,,
2024-03-22-12,2024,2024-03-22,HOME,AWAY,,,,,,
2024-03-22-13,2024,2024-03-22,HOME,AWAY,,,,,,
2024-03-22-14,2024,2024-03-22,HOME,AWAY,,,,,,
2024-03-22-15,2024,2024-03-22,HOME,AWAY,,,,,,
