date,game_id,event_id,book,market,period,selection,line,price,edge,kelly,fractional,uncertainty_scale,p_over,p_under,b_over,b_under,ev_over,ev_under,prob,ev,stake
2025-11-09,401828296.0,,FanDuel,totals,,under,153.5,,-9.780059999999992,0.3105213829265827,0.5,0.3125,0.32832315098734155,0.6716768490126585,0.9090909090909091,0.9090909090909091,-0.37320125720598435,0.28229216629689335,0.6716768490126585,0.28229216629689335,0.7199976740326846
2025-11-09,401828296.0,,BetOnline.ag,totals,,under,151.0,,-7.280059999999992,0.2222533504521122,0.5,0.3125,0.3703555474037561,0.6296444525962439,0.9090909090909091,0.9090909090909091,-0.292957591320102,0.20204850041101108,0.6296444525962439,0.20204850041101108,0.7199976740326846
2025-11-09,401828296.0,,LowVig.ag,totals,,under,151.0,,-7.280059999999992,0.2222533504521122,0.5,0.3125,0.3703555474037561,0.6296444525962439,0.9090909090909091,0.9090909090909091,-0.292957591320102,0.20204850041101108,0.6296444525962439,0.20204850041101108,0.7199976740326846
2025-11-09,401828296.0,,DraftKings,totals,,under,152.5,,-8.780059999999992,0.27568457840542987,0.5,0.3125,0.34491210552122387,0.6550878944787761,0.9090909090909091,0.9090909090909091,-0.34153143491402715,0.2506223440049362,0.6550878944787761,0.2506223440049362,0.7199976740326846
2025-11-09,401828296.0,,BetMGM,totals,,under,152.5,,-8.780059999999992,0.27568457840542987,0.5,0.3125,0.34491210552122387,0.6550878944787761,0.9090909090909091,0.9090909090909091,-0.34153143491402715,0.2506223440049362,0.6550878944787761,0.2506223440049362,0.7199976740326846
2025-11-09,401828296.0,,Caesars,totals,,under,153.0,,-9.280059999999992,0.29318647014046484,0.5,0.3125,0.3365778713616834,0.6634221286383166,0.9090909090909091,0.9090909090909091,-0.35744224558224086,0.26653315467314986,0.6634221286383166,0.26653315467314986,0.7199976740326846
2025-11-09,401828296.0,,Fanatics,totals,,under,153.0,,-9.280059999999992,0.29318647014046484,0.5,0.3125,0.3365778713616834,0.6634221286383166,0.9090909090909091,0.9090909090909091,-0.35744224558224086,0.26653315467314986,0.6634221286383166,0.26653315467314986,0.7199976740326846
2025-11-09,401828296.0,,Bovada,totals,,under,153.5,,-9.780059999999992,0.3105213829265827,0.5,0.3125,0.32832315098734155,0.6716768490126585,0.9090909090909091,0.9090909090909091,-0.37320125720598435,0.28229216629689335,0.6716768490126585,0.28229216629689335,0.7199976740326846
2025-11-09,401828296.0,,BetRivers,totals,,under,153.5,,-9.780059999999992,0.3105213829265827,0.5,0.3125,0.32832315098734155,0.6716768490126585,0.9090909090909091,0.9090909090909091,-0.37320125720598435,0.28229216629689335,0.6716768490126585,0.28229216629689335,0.7199976740326846
2025-11-09,401828296.0,,BetUS,totals,,under,151.0,,-7.280059999999992,0.2222533504521122,0.5,0.3125,0.3703555474037561,0.6296444525962439,0.9090909090909091,0.9090909090909091,-0.292957591320102,0.20204850041101108,0.6296444525962439,0.20204850041101108,0.7199976740326846
2025-11-09,401812600.0,,FanDuel,totals,,under,147.5,,-6.947309999999987,0.21022745968650056,0.5,0.3125,0.3760821620540473,0.6239178379459527,0.9090909090909091,0.9090909090909091,-0.28202496335136423,0.19111587244227324,0.6239178379459527,0.19111587244227324,0.7199976740326846
2025-11-09,401812600.0,,Fanatics,totals,,under,147.5,,-6.947309999999987,0.21022745968650056,0.5,0.3125,0.3760821620540473,0.6239178379459527,0.9090909090909091,0.9090909090909091,-0.28202496335136423,0.19111587244227324,0.6239178379459527,0.19111587244227324,0.7199976740326846
