game_id,season,date,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h
401638586,2024,2024-03-21,North Carolina Tar Heels,Wagner Seahawks,90,62,40,28,50,34
401638583,2024,2024-03-21,Arizona Wildcats,Long Beach State Beach,85,65,41,35,44,30
401638595,2024,2024-03-21,Iowa State Cyclones,South Dakota State Jackrabbits,82,65,40,33,42,32
401638587,2024,2024-03-21,Tennessee Volunteers,Saint Peter's Peacocks,83,49,46,20,37,29
401638589,2024,2024-03-21,Creighton Bluejays,Akron Zips,77,60,39,34,38,26
401638597,2024,2024-03-21,Illinois Fighting Illini,Morehead State Eagles,85,69,39,38,46,31
401638593,2024,2024-03-21,Kentucky Wildcats,Oakland Golden Grizzlies,76,80,35,38,41,42
401638591,2024,2024-03-21,Kansas Jayhawks,Samford Bulldogs,93,89,48,38,45,51
401638592,2024,2024-03-21,Gonzaga Bulldogs,McNeese Cowboys,86,65,48,25,38,40
401638598,2024,2024-03-21,BYU Cougars,Duquesne Dukes,67,71,30,38,37,33
401638590,2024,2024-03-21,South Carolina Gamecocks,Oregon Ducks,73,87,29,34,44,53
401638594,2024,2024-03-21,Texas Tech Red Raiders,NC State Wolfpack,67,80,33,37,34,43
401638584,2024,2024-03-21,Dayton Flyers,Nevada Wolf Pack,63,60,25,34,38,26
401638588,2024,2024-03-21,Texas Longhorns,Colorado State Rams,56,44,27,11,29,33
401638596,2024,2024-03-21,Washington State Cougars,Drake Bulldogs,66,61,33,29,33,32
401638585,2024,2024-03-21,Mississippi State Bulldogs,Michigan State Spartans,51,69,24,31,27,38
401638599,2024,2024-03-22,UConn Huskies,Stetson Hatters,91,52,52,19,39,33
401638601,2024,2024-03-22,Purdue Boilermakers,Grambling Tigers,78,50,36,27,42,23
401638600,2024,2024-03-22,Houston Cougars,Longwood Lancers,86,46,43,16,43,30
401638607,2024,2024-03-22,Marquette Golden Eagles,Western Kentucky Hilltoppers,87,69,36,43,51,26
401638602,2024,2024-03-22,Baylor Bears,Colgate Raiders,92,67,54,34,38,33
401638612,2024,2024-03-22,Auburn Tigers,Yale Bulldogs,76,78,41,34,35,44
401638609,2024,2024-03-22,Duke Blue Devils,Vermont Catamounts,64,47,34,29,30,18
401638604,2024,2024-03-22,Alabama Crimson Tide,Charleston Cougars,109,96,51,34,58,62
401638613,2024,2024-03-22,San Diego State Aztecs,UAB Blazers,69,65,35,29,34,36
401638610,2024,2024-03-22,Wisconsin Badgers,James Madison Dukes,61,72,20,33,41,39
401638605,2024,2024-03-22,Saint Mary's Gaels,Grand Canyon Lopes,66,75,27,28,39,47
401638603,2024,2024-03-22,Clemson Tigers,New Mexico Lobos,77,56,42,28,35,28
401638608,2024,2024-03-22,Florida Gators,Colorado Buffaloes,100,102,45,45,55,57
401638614,2024,2024-03-22,Florida Atlantic Owls,Northwestern Wildcats,65,77,20,19,38,39
401638611,2024,2024-03-22,Nebraska Cornhuskers,Texas A&M Aggies,83,98,44,58,39,40
401638606,2024,2024-03-22,Utah State Aggies,TCU Horned Frogs,88,72,43,37,45,35
