game_id,date,home_team,away_team,home_score,away_score,home_possessions,away_possessions,pace,home_efg,home_tov_rate,home_orb_rate,home_ftr,away_efg,away_tov_rate,away_orb_rate,away_ftr,home_score_1h,away_score_1h,home_score_2h,away_score_2h
401706257,,Sacred Heart Pioneers,Quinnipiac Bobcats,,,0.0,0.0,0.0,,,,,,,,,,,,
401706258,,Iona Gaels,Rider Broncs,,,0.0,0.0,0.0,,,,,,,,,,,,
401706259,,Manhattan Jaspers,Merrimack Warriors,,,0.0,0.0,0.0,,,,,,,,,,,,
401706260,,Niagara Purple Eagles,Mount St. Mary's Mountaineers,,,0.0,0.0,0.0,,,,,,,,,,,,
401706261,,Siena Saints,Marist Red Foxes,,,0.0,0.0,0.0,,,,,,,,,,,,
401706262,,Saint Peter's Peacocks,Fairfield Stags,,,0.0,0.0,0.0,,,,,,,,,,,,
401706371,,Kent State Golden Flashes,Ohio Bobcats,,,0.0,0.0,0.0,,,,,,,,,,,,
401706754,,Loyola Marymount Lions,Saint Mary's Gaels,,,0.0,0.0,0.0,,,,,,,,,,,,
401706760,,Saint Mary's Gaels,Oregon State Beavers,,,0.0,0.0,0.0,,,,,,,,,,,,
401707856,,Illinois Fighting Illini,Duke Blue Devils,,,0.0,0.0,0.0,,,,,,,,,,,,
401708360,,Alabama Crimson Tide,Georgia Bulldogs,,,0.0,0.0,0.0,,,,,,,,,,,,
401708361,,Kentucky Wildcats,Arkansas Razorbacks,,,0.0,0.0,0.0,,,,,,,,,,,,
401708363,,Ole Miss Rebels,Auburn Tigers,,,0.0,0.0,0.0,,,,,,,,,,,,
401708364,,Mississippi State Bulldogs,Missouri Tigers,,,0.0,0.0,0.0,,,,,,,,,,,,
401708365,,South Carolina Gamecocks,Texas A&M Aggies,,,0.0,0.0,0.0,,,,,,,,,,,,
401708366,,Tennessee Volunteers,Florida Gators,,,0.0,0.0,0.0,,,,,,,,,,,,
401708367,,Oklahoma Sooners,Vanderbilt Commodores,,,0.0,0.0,0.0,,,,,,,,,,,,
401708368,,Auburn Tigers,Oklahoma Sooners,,,0.0,0.0,0.0,,,,,,,,,,,,
401708369,,Florida Gators,Vanderbilt Commodores,,,0.0,0.0,0.0,,,,,,,,,,,,
401708371,,Ole Miss Rebels,Kentucky Wildcats,,,0.0,0.0,0.0,,,,,,,,,,,,
401708372,,Tennessee Volunteers,Missouri Tigers,,,0.0,0.0,0.0,,,,,,,,,,,,
401708374,,Arkansas Razorbacks,Alabama Crimson Tide,,,0.0,0.0,0.0,,,,,,,,,,,,
401708375,,Auburn Tigers,Florida Gators,,,0.0,0.0,0.0,,,,,,,,,,,,
401708376,,Georgia Bulldogs,Mississippi State Bulldogs,,,0.0,0.0,0.0,,,,,,,,,,,,
401708377,,Kentucky Wildcats,South Carolina Gamecocks,,,0.0,0.0,0.0,,,,,,,,,,,,
401708378,,LSU Tigers,Ole Miss Rebels,,,0.0,0.0,0.0,,,,,,,,,,,,
401708379,,Missouri Tigers,Texas A&M Aggies,,,0.0,0.0,0.0,,,,,,,,,,,,
401708381,,Oklahoma Sooners,Tennessee Volunteers,,,0.0,0.0,0.0,,,,,,,,,,,,
401708383,,Kentucky Wildcats,Tennessee Volunteers,,,0.0,0.0,0.0,,,,,,,,,,,,
401708384,,Mississippi State Bulldogs,Florida Gators,,,0.0,0.0,0.0,,,,,,,,,,,,
401708385,,Missouri Tigers,Oklahoma Sooners,,,0.0,0.0,0.0,,,,,,,,,,,,
401708386,,South Carolina Gamecocks,Ole Miss Rebels,,,0.0,0.0,0.0,,,,,,,,,,,,
