pair_key,home_team,away_team,our_start_display,our_start_iso,our_start_dt,sched_commence_time,sched_start_time,sched_dt,diff_minutes
airforce::iuindianapolis,Air Force Falcons,IU Indianapolis Jaguars,2025-11-23 22:00,2025-11-24T03:00:00Z,2025-11-24 03:00:00+00:00,,2025-11-23 22:00:00+00:00,2025-11-23 22:00:00+00:00,300.0
alabamastate::siuedwardsville,SIU Edwardsville Cougars,Alabama State Hornets,2025-11-23 18:00,2025-11-23T23:00:00Z,2025-11-23 23:00:00+00:00,,2025-11-23 18:00:00+00:00,2025-11-23 18:00:00+00:00,300.0
alcornstate::oklahomasooners,Oklahoma Sooners,Alcorn State Braves,2025-11-23 19:00,2025-11-24T00:00:00Z,2025-11-24 00:00:00+00:00,,2025-11-23 19:00:00+00:00,2025-11-23 19:00:00+00:00,300.0
arkansaspinebluffgolden::miamioh,Miami (OH) RedHawks,Arkansas-Pine Bluff Golden Lions,2025-11-23 18:00,2025-11-23T23:00:00Z,2025-11-23 23:00:00+00:00,,2025-11-23 18:00:00+00:00,2025-11-23 18:00:00+00:00,300.0
binghamton::canisiusgolden,Canisius Golden Griffins,Binghamton Bearcats,2025-11-23 18:00,2025-11-23T23:00:00Z,2025-11-23 23:00:00+00:00,,2025-11-23 18:00:00+00:00,2025-11-23 18:00:00+00:00,300.0
brown::maine,Maine Black Bears,Brown Bears,2025-11-23 19:00,2025-11-24T00:00:00Z,2025-11-24 00:00:00+00:00,,2025-11-23 19:00:00+00:00,2025-11-23 19:00:00+00:00,300.0
bryant::connecticut,UConn Huskies,Bryant Bulldogs,2025-11-23 23:00,2025-11-24T04:00:00Z,2025-11-24 04:00:00+00:00,,2025-11-23 23:00:00+00:00,2025-11-23 23:00:00+00:00,300.0
butler::virginiacavaliers,Virginia Cavaliers,Butler Bulldogs,2025-11-23 19:00,2025-11-24T00:00:00Z,2025-11-24 00:00:00+00:00,,2025-11-23 19:00:00+00:00,2025-11-23 19:00:00+00:00,300.0
calstfullerton::northerncolorado,Northern Colorado Bears,Cal State Fullerton Titans,2025-11-23 19:00,2025-11-24T00:00:00Z,2025-11-24 00:00:00+00:00,,2025-11-23 19:00:00+00:00,2025-11-23 19:00:00+00:00,300.0
centralarkansas::easternwashington,Central Arkansas Bears,Eastern Washington Eagles,2025-11-23 19:00,2025-11-24T00:00:00Z,2025-11-24 00:00:00+00:00,,2025-11-23 19:00:00+00:00,2025-11-23 19:00:00+00:00,300.0
charlotte49ers::shaw,Charlotte 49ers,Shaw Bears,2025-11-23 19:00,2025-11-24T00:00:00Z,2025-11-24 00:00:00+00:00,,2025-11-23 19:00:00+00:00,2025-11-23 19:00:00+00:00,300.0
coastalcarolinachanticleers::illinoisstate,Illinois State Redbirds,Coastal Carolina Chanticleers,2025-11-23 22:00,2025-11-24T03:00:00Z,2025-11-24 03:00:00+00:00,,2025-11-23 22:00:00+00:00,2025-11-23 22:00:00+00:00,300.0
columbia::longwood,Columbia Lions,Longwood Lancers,2025-11-23 19:00,2025-11-24T00:00:00Z,2025-11-24 00:00:00+00:00,,2025-11-23 19:00:00+00:00,2025-11-23 19:00:00+00:00,300.0
delawarebluehens::southernillinoissalukis,Delaware Blue Hens,Southern Illinois Salukis,2025-11-23 20:00,2025-11-24T01:00:00Z,2025-11-24 01:00:00+00:00,,2025-11-23 20:00:00+00:00,2025-11-23 20:00:00+00:00,300.0
