game_id,home_team,away_team,date,start_time,reason,has_model_total,has_model_margin,has_cal_total,has_cal_margin,basis_total,basis_margin
401831222,TBD,TBD,2025-11-26,2025-11-26 05:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401831221,TBD,TBD,2025-11-26,2025-11-26 05:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401831220,TBD,TBD,2025-11-26,2025-11-26 05:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401831219,TBD,TBD,2025-11-26,2025-11-26 05:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401831218,TBD,TBD,2025-11-26,2025-11-26 05:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401831217,TBD,TBD,2025-11-26,2025-11-26 05:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401831216,TBD,TBD,2025-11-26,2025-11-26 05:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401827007,Texas Southern Tigers,College Of Biblical Studies Ambassadors,2025-11-26,2025-11-26 05:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401830882,TBD,TBD,2025-11-26,2025-11-26 16:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401823421,Bowling Green Falcons,VMI Keydets,2025-11-26,2025-11-26 16:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401820617,Bryant Bulldogs,Mercy Mavericks,2025-11-26,2025-11-26 16:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401830892,TBD,TBD,2025-11-26,2025-11-26 17:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401830009,Cornell Big Red,Misericordia Cougars,2025-11-26,2025-11-26 17:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401823362,Vanderbilt Commodores,Western Kentucky Hilltoppers,2025-11-26,2025-11-26 17:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401822352,Stonehill Skyhawks,UMass Lowell River Hawks,2025-11-26,2025-11-26 17:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401808897,Texas Tech Red Raiders,New Orleans Privateers,2025-11-26,2025-11-26 18:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401826941,Presbyterian Blue Hose,Columbia International Rams,2025-11-26,2025-11-26 18:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401818553,New Hampshire Wildcats,Brown Bears,2025-11-26,2025-11-26 18:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401830883,TBD,TBD,2025-11-26,2025-11-26 18:30:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401823431,Bucknell Bison,Buffalo Bulls,2025-11-26,2025-11-26 18:30:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401830746,TBD,TBD,2025-11-26,2025-11-26 19:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401830117,Miami (OH) RedHawks,UNC Greensboro Spartans,2025-11-26,2025-11-26 19:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401829046,Florida International Panthers,Omaha Mavericks,2025-11-26,2025-11-26 19:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401823487,Mercer Bears,App State Mountaineers,2025-11-26,2025-11-26 19:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401823403,Robert Morris Colonials,UIC Flames,2025-11-26,2025-11-26 19:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401823387,Northern Kentucky Norse,Wofford Terriers,2025-11-26,2025-11-26 19:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401812666,Holy Cross Crusaders,Worcester State Lancers,2025-11-26,2025-11-26 19:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401812288,Fairleigh Dickinson Knights,Army Black Knights,2025-11-26,2025-11-26 19:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401831378,Delaware State Hornets,Virginia St Trojans,2025-11-26,2025-11-26 19:30:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401831200,TBD,TBD,2025-11-26,2025-11-26 19:30:00+00:00,ok_calibrated,True,True,True,True,cal,cal
