date,game_id,home_team,away_team,start_time_local,start_time_iso,start_tz_abbr,start_min,end_min,half,mu_home_score_end,mu_away_score_end,mu_total_score_end,mu_margin_score_end,q10_home_score_end,q50_home_score_end,q90_home_score_end,q10_away_score_end,q50_away_score_end,q90_away_score_end,q10_total_score_end,q50_total_score_end,q90_total_score_end,q10_margin_score_end,q50_margin_score_end,q90_margin_score_end
2026-01-28,401804902,UTEP Miners,Louisiana Tech Bulldogs,2026-01-28 21:00,2026-01-29T02:00:00Z,EST,0,5,1,9.792,10.2475,18.88713181411975,-0.4555,5.0,10.0,15.0,5.0,10.0,15.0,11.84763181411975,18.84763181411975,26.84763181411975,-7.0,0.0,6.0
2026-01-28,401804902,UTEP Miners,Louisiana Tech Bulldogs,2026-01-28 21:00,2026-01-29T02:00:00Z,EST,5,10,1,19.16625,20.00675,37.23957730116175,-0.8405,12.0,19.0,26.0,13.0,20.0,28.0,26.06657730116175,37.06657730116175,49.06657730116175,-9.0,-1.0,8.0
2026-01-28,401804902,UTEP Miners,Louisiana Tech Bulldogs,2026-01-28 21:00,2026-01-29T02:00:00Z,EST,10,15,1,28.6415,29.8205,56.70485075960679,-1.179,20.0,28.0,38.0,21.0,30.0,39.0,42.24285075960679,56.24285075960679,72.2428507596068,-12.0,-1.0,9.0
2026-01-28,401804902,UTEP Miners,Louisiana Tech Bulldogs,2026-01-28 21:00,2026-01-29T02:00:00Z,EST,15,20,1,35.91725,37.38625,72.34840616621985,-1.469,26.0,36.0,46.0,27.0,37.0,48.0,55.04490616621984,72.04490616621985,90.04490616621985,-13.0,-1.0,10.0
2026-01-28,401804902,UTEP Miners,Louisiana Tech Bulldogs,2026-01-28 21:00,2026-01-29T02:00:00Z,EST,20,25,2,46.09425,47.84375,92.375890974084,-1.7495,35.0,46.0,57.0,36.0,48.0,59.0,74.437890974084,91.437890974084,110.437890974084,-15.0,-2.0,12.0
2026-01-28,401804902,UTEP Miners,Louisiana Tech Bulldogs,2026-01-28 21:00,2026-01-29T02:00:00Z,EST,25,30,2,55.78925,57.99325,111.62320598748884,-2.204,44.0,56.0,68.0,46.0,58.0,70.0,92.84070598748885,110.84070598748885,131.84070598748883,-17.0,-2.0,13.0
2026-01-28,401804902,UTEP Miners,Louisiana Tech Bulldogs,2026-01-28 21:00,2026-01-29T02:00:00Z,EST,30,35,2,65.556,68.159,131.5802815013405,-2.603,53.0,65.0,79.0,55.0,68.0,81.0,110.86528150134048,130.8652815013405,152.8652815013405,-18.0,-2.5,13.0
2026-01-28,401804902,UTEP Miners,Louisiana Tech Bulldogs,2026-01-28 21:00,2026-01-29T02:00:00Z,EST,35,40,2,73.4055,76.36275,149.970886282395,-2.95725,60.0,73.0,88.0,63.0,76.0,90.0,128.202636282395,149.202636282395,172.202636282395,-19.0,-3.0,14.0
2026-01-28,401804903,Missouri State Bears,Sam Houston Bearkats,,,,0,5,1,10.42275,10.6995,19.969881814119752,-0.27675,6.0,10.0,16.0,6.0,11.0,16.0,11.84763181411975,19.84763181411975,28.84763181411975,-7.0,0.0,6.0
2026-01-28,401804903,Missouri State Bears,Sam Houston Bearkats,,,,5,10,1,20.3305,20.9515,39.34857730116175,-0.621,13.0,20.0,28.0,14.0,21.0,28.0,28.06657730116175,39.06657730116175,52.06657730116175,-10.0,-1.0,8.0
