game_id,season,date,start_time,start_time_local,start_tz_abbr,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,start_time_iso,display_date,start_time_local_venue,start_tz_abbr_venue,game_date,game_key,game_id_odds,book,fetched_at,moneyline_home,moneyline_away,spread,total,commence_time,home_team_name,away_team_name,odds_date,odds_key
401817480,2025,2025-12-11,2025-12-12 02:00:00+00:00,2025-12-11 21:00,EST,Syracuse Orange,Saint Joseph's Hawks,0,0,,,,,False,JMA Wireless Dome,2025-12-12T02:00:00Z,2025-12-11,,,2025-12-11,stjosephs__syracuse,,,,,,,,,,,,
401817511,2025,2025-12-11,2025-12-11 23:30:00+00:00,2025-12-11 18:30,EST,IU Indianapolis Jaguars,Green Bay Phoenix,0,0,,,,,False,The Jungle,2025-12-11T23:30:00Z,2025-12-11,,,2025-12-11,greenbayphoenix__iuindianapolis,,,,,,,,,,,,
401817524,2025,2025-12-11,2025-12-12 00:00:00+00:00,2025-12-11 19:00,EST,Virginia Tech Hokies,Western Carolina Catamounts,0,0,,,,,False,Cassell Coliseum,2025-12-12T00:00:00Z,2025-12-11,,,2025-12-11,virginiatech__westerncarolinacatamounts,,,,,,,,,,,,
401819878,2025,2025-12-11,2025-12-12 01:00:00+00:00,2025-12-11 20:00,EST,Iowa State Cyclones,Iowa Hawkeyes,0,0,,,,,False,Hilton Coliseum,2025-12-12T01:00:00Z,2025-12-11,,,2025-12-11,iowahawkeyes__iowastate,,,,,,,,,,,,
401820813,2025,2025-12-11,2025-12-12 00:00:00+00:00,2025-12-11 19:00,EST,East Carolina Pirates,App State Mountaineers,0,0,,,,,False,Minges Coliseum,2025-12-12T00:00:00Z,2025-12-11,,,2025-12-11,appstate__eastcarolina,,,,,,,,,,,,
401823347,2025,2025-12-11,2025-12-12 00:00:00+00:00,2025-12-11 19:00,EST,Jacksonville Dolphins,Trinity College of Jacksonville Eagles,0,0,,,,,False,Swisher Gymnasium,2025-12-12T00:00:00Z,2025-12-11,,,2025-12-11,jacksonville__trinitycollegeofjacksonville,,,,,,,,,,,,
401823738,2025,2025-12-11,2025-12-12 02:30:00+00:00,2025-12-11 21:30,EST,Cal State Bakersfield Roadrunners,North Dakota State Bison,0,0,,,,,False,Icardo Center,2025-12-12T02:30:00Z,2025-12-11,,,2025-12-11,calstbakersfield__northdakotastate,,,,,,,,,,,,
401823872,2025,2025-12-11,2025-12-12 00:30:00+00:00,2025-12-11 19:30,EST,UT Rio Grande Valley Vaqueros,UT Arlington Mavericks,0,0,,,,,False,UTRGV Fieldhouse,2025-12-12T00:30:00Z,2025-12-11,,,2025-12-11,utarlington__utriograndevalley,,,,,,,,,,,,
401826742,2025,2025-12-11,2025-12-12 02:00:00+00:00,2025-12-11 21:00,EST,Denver Pioneers,Alaska Anchorage Seawolves,0,0,,,,,False,Hamilton Gymnasium,2025-12-12T02:00:00Z,2025-12-11,,,2025-12-11,alaskaanchorage__denver,,,,,,,,,,,,
401827157,2025,2025-12-11,2025-12-12 01:00:00+00:00,2025-12-11 20:00,EST,Missouri Tigers,Alabama State Hornets,0,0,,,,,False,Mizzou Arena,2025-12-12T01:00:00Z,2025-12-11,,,2025-12-11,alabamastate__missouri,,,,,,,,,,,,
401829479,2025,2025-12-11,2025-12-12 01:00:00+00:00,2025-12-11 20:00,EST,St. Thomas-Minnesota Tommies,Saint John's (MN) Johnnies,0,0,,,,,False,Lee & Penny Anderson Arena,2025-12-12T01:00:00Z,2025-12-11,2025-12-11 19:00,CST,2025-12-11,stjohnsmnjohnnies__stthomasminnesotatommies,,,,,,,,,,,,
401829492,2025,2025-12-11,2025-12-12 00:00:00+00:00,2025-12-11 19:00,EST,Georgia Southern Eagles,Coastal Georgia Mariner,0,0,,,,,False,Jack and Ruth Ann Hill Convocation Center,2025-12-12T00:00:00Z,2025-12-11,,,2025-12-11,coastalgeorgiamariner__georgiasouthern,,,,,,,,,,,,
401831530,2025,2025-12-11,2025-12-12 00:00:00+00:00,2025-12-11 19:00,EST,Wagner Seahawks,Bloomfield Deacons,0,0,,,,,False,Spiro Sports Center,2025-12-12T00:00:00Z,2025-12-11,,,2025-12-11,bloomfield__wagnerseahawks,,,,,,,,,,,,
