pair_key,home_team,away_team,our_start_iso,our_start_dt,sched_commence_time,sched_start_time,sched_dt,diff_minutes
alabamaaandm::northalabama,Alabama A&M Bulldogs,North Alabama Lions,2025-12-16T01:00:00Z,2025-12-16 01:00:00+00:00,,2025-12-16 01:00:00+00:00,2025-12-16 01:00:00+00:00,0.0
arkansaspinebluffgolden::ecclesiaroyals,Arkansas-Pine Bluff Golden Lions,Ecclesia Royals,2025-12-16T00:00:00Z,2025-12-16 00:00:00+00:00,,2025-12-16 00:00:00+00:00,2025-12-16 00:00:00+00:00,0.0
bryantn::samford,Samford Bulldogs,Bryan (TN) Lions,2025-12-15T18:00:00Z,2025-12-15 18:00:00+00:00,,2025-12-15 18:00:00+00:00,2025-12-15 18:00:00+00:00,0.0
campbellsville::westernkentuckyhilltoppers,Western Kentucky Hilltoppers,Campbellsville Tigers,2025-12-16T00:30:00Z,2025-12-16 00:30:00+00:00,,2025-12-16 00:30:00+00:00,2025-12-16 00:30:00+00:00,0.0
easttexasaandm::selouisiana,SE Louisiana Lions,East Texas A&M Lions,2025-12-16T00:00:00Z,2025-12-16 00:00:00+00:00,,2025-12-16 00:00:00+00:00,2025-12-16 00:00:00+00:00,0.0
eastwestphantoms::southernindianascreaming,Southern Indiana Screaming Eagles,East-West University Phantoms,2025-12-16T01:00:00Z,2025-12-16 01:00:00+00:00,,2025-12-16 01:00:00+00:00,2025-12-16 01:00:00+00:00,0.0
gardnerwebbrunnin::wofford,Gardner-Webb Runnin' Bulldogs,Wofford Terriers,2025-12-16T00:00:00Z,2025-12-16 00:00:00+00:00,,2025-12-16 00:00:00+00:00,2025-12-16 00:00:00+00:00,0.0
houstonchristian::mcneese,Houston Christian Huskies,McNeese Cowboys,2025-12-16T01:00:00Z,2025-12-16 01:00:00+00:00,,2025-12-16 01:00:00+00:00,2025-12-16 01:00:00+00:00,0.0
incarnateword::tcuhornedfrogs,TCU Horned Frogs,Incarnate Word Cardinals,2025-12-16T01:00:00Z,2025-12-16 01:00:00+00:00,,2025-12-16 01:00:00+00:00,2025-12-16 01:00:00+00:00,0.0
minnesotacrookstongolden::northdakotastate,North Dakota State Bison,Minnesota Crookston Golden Eagles,2025-12-16T01:00:00Z,2025-12-16 01:00:00+00:00,,2025-12-16 01:00:00+00:00,2025-12-16 01:00:00+00:00,0.0
niagarapurple::vcu,VCU Rams,Niagara Purple Eagles,2025-12-16T00:00:00Z,2025-12-16 00:00:00+00:00,,2025-12-16 00:00:00+00:00,2025-12-16 00:00:00+00:00,0.0
rhodeslynx::stetsonhatters,Stetson Hatters,Rhodes Lynx,2025-12-16T00:00:00Z,2025-12-16 00:00:00+00:00,,2025-12-16 00:00:00+00:00,2025-12-16 00:00:00+00:00,0.0
southdakotastate::wyoming,South Dakota State Jackrabbits,Wyoming Cowboys,2025-12-16T01:00:00Z,2025-12-16 01:00:00+00:00,,2025-12-16 01:00:00+00:00,2025-12-16 01:00:00+00:00,0.0
