game_id,home_team,away_team,date,start_time,reason,has_model_total,has_model_margin,has_cal_total,has_cal_margin,basis_total,basis_margin
401828545,Eastern Kentucky Colonels,Wofford Terriers,2025-11-29,2025-11-29 22:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401823446,North Florida Ospreys,Trinity College of Jacksonville Eagles,2025-11-29,2025-11-29 22:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401823725,Penn State Nittany Lions,Sacred Heart Pioneers,2025-11-29,2025-11-29 23:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401813352,Canisius Golden Griffins,Buffalo Bulls,2025-11-29,2025-11-29 23:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401826886,Arizona Wildcats,Norfolk State Spartans,2025-11-29,2025-11-29 21:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401827111,Indiana Hoosiers,Bethune-Cookman Wildcats,2025-11-29,2025-11-29 17:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401820155,Navy Midshipmen,SE Louisiana Lions,2025-11-29,2025-11-29 17:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401831275,UMass Lowell River Hawks,Emerson Lions,2025-11-29,2025-11-29 18:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401826900,Louisiana Tech Bulldogs,Alcorn State Braves,2025-11-29,2025-11-29 18:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401823861,Army Black Knights,Manhattan Jaspers,2025-11-29,2025-11-29 18:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401823518,UCF Knights,VMI Keydets,2025-11-29,2025-11-29 18:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401823388,Northern Kentucky Norse,Boston University Terriers,2025-11-29,2025-11-29 18:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401820626,Longwood Lancers,Maine Black Bears,2025-11-29,2025-11-29 18:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401813379,Niagara Purple Eagles,Detroit Mercy Titans,2025-11-29,2025-11-29 18:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401831276,Saint Peter's Peacocks,Dartmouth Big Green,2025-11-29,2025-11-29 19:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401831225,Texas State Bobcats,Lehigh Mountain Hawks,2025-11-29,2025-11-29 19:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
401829389,Tennessee State Tigers,Tennessee Wesleyan Bulldogs,2025-11-29,2025-11-29 19:00:00+00:00,ok_calibrated,True,True,True,True,cal,cal
