date,game_id,home_team,away_team,start_time_local,start_time_iso,start_tz_abbr,start_min,end_min,half,mu_home_score_end,mu_away_score_end,mu_total_score_end,mu_margin_score_end,q10_home_score_end,q50_home_score_end,q90_home_score_end,q10_away_score_end,q50_away_score_end,q90_away_score_end,q10_total_score_end,q50_total_score_end,q90_total_score_end,q10_margin_score_end,q50_margin_score_end,q90_margin_score_end
2026-01-22,401804893,UTEP Miners,Florida International Panthers,,2026-01-23T02:00:00Z,CST,0,5,1,10.2085,9.81275,17.009319123064852,0.39575,5.0,10.0,15.0,5.0,10.0,15.0,15.869721668231657,17.00630008664095,18.14287850505025,-6.0,0.0,7.0
2026-01-22,401804893,UTEP Miners,Florida International Panthers,,2026-01-23T02:00:00Z,CST,5,10,1,20.09975,19.25775,34.43679380957828,0.842,13.0,20.0,28.0,12.0,19.0,27.0,32.90887616588503,34.38869954960731,36.13758173036999,-8.0,1.0,10.0
2026-01-22,401804893,UTEP Miners,Florida International Panthers,,2026-01-23T02:00:00Z,CST,10,15,1,29.97725,28.809,52.82458465363701,1.16825,21.0,30.0,40.0,20.0,28.0,38.0,50.6942144477153,52.71847943077496,54.87769541270527,-10.0,1.0,12.0
2026-01-22,401804893,UTEP Miners,Florida International Panthers,,2026-01-23T02:00:00Z,CST,15,20,1,37.99125,36.52075,71.41875856011063,1.4705,27.0,38.0,49.0,26.0,36.0,48.0,68.02896611449808,71.32500457717234,74.80415628777294,-11.0,1.0,14.0
2026-01-22,401804893,UTEP Miners,Florida International Panthers,,2026-01-23T02:00:00Z,CST,20,25,2,48.28325,46.487,90.24506913872165,1.79625,36.0,48.0,61.0,35.0,46.0,58.09999999999991,86.91129885724463,90.2838108704736,93.48769728304111,-12.0,2.0,16.0
2026-01-22,401804893,UTEP Miners,Florida International Panthers,,2026-01-23T02:00:00Z,CST,25,30,2,58.2665,56.111,108.9598422027412,2.1555,46.0,58.0,71.0,43.0,56.0,69.0,105.4614271948668,108.8950328951484,112.67199916545816,-13.0,2.0,17.0
2026-01-22,401804893,UTEP Miners,Florida International Panthers,,2026-01-23T02:00:00Z,CST,30,35,2,68.2725,65.72825,127.2044056682358,2.54425,54.0,68.0,82.0,52.0,65.0,80.0,123.46152710015416,127.20428362182746,130.94704014350077,-14.0,2.0,18.0
2026-01-22,401804893,UTEP Miners,Florida International Panthers,,2026-01-23T02:00:00Z,CST,35,40,2,76.5425,73.72325,148.45535893989336,2.81925,62.0,76.0,92.0,59.0,74.0,89.0,144.7040571895574,148.41427599623194,152.12449480290647,-14.0,3.0,20.0
2026-01-22,401804894,New Mexico State Aggies,Missouri State Bears,2026-01-22 21:00,2026-01-23T02:00:00Z,CST,0,5,1,10.2485,10.25075,17.077229683564806,-0.00225,5.0,10.0,16.0,5.0,10.0,16.0,16.011793970532818,17.00630008664095,18.28495080735141,-7.0,0.0,7.0
2026-01-22,401804894,New Mexico State Aggies,Missouri State Bears,2026-01-22 21:00,2026-01-23T02:00:00Z,CST,5,10,1,20.17225,20.118,34.562276106048,0.05425,13.0,20.0,28.0,13.0,20.0,28.0,32.90887616588503,34.52322894812751,36.2721111288902,-9.0,0.0,9.0
2026-01-22,401804894,New Mexico State Aggies,Missouri State Bears,2026-01-22 21:00,2026-01-23T02:00:00Z,CST,10,15,1,30.0605,29.97375,52.99300350022757,0.08675,21.0,30.0,40.0,20.0,30.0,40.0,50.96411644545659,52.988381428516256,55.147597410446565,-11.0,0.0,11.0
2026-01-22,401804894,New Mexico State Aggies,Missouri State Bears,2026-01-22 21:00,2026-01-23T02:00:00Z,CST,15,20,1,38.2025,38.0865,71.74415080167574,0.116,27.0,38.0,50.0,27.0,38.0,50.0,68.39519261035078,71.69123107302504,75.17038278362564,-12.0,0.0,13.0
2026-01-22,401804894,New Mexico State Aggies,Missouri State Bears,2026-01-22 21:00,2026-01-23T02:00:00Z,CST,20,25,2,48.56675,48.30225,90.59897211810984,0.2645,37.0,48.0,61.0,36.0,48.0,61.0,87.24855005856753,90.62106207179647,93.99357408502544,-14.0,0.0,15.0
2026-01-22,401804894,New Mexico State Aggies,Missouri State Bears,2026-01-22 21:00,2026-01-23T02:00:00Z,CST,25,30,2,58.584,58.2045,109.37376336991017,0.3795,46.0,58.0,72.0,45.0,58.0,72.0,105.80478776489495,109.41007375019063,113.01535973548634,-15.0,0.0,16.0
2026-01-22,401804894,New Mexico State Aggies,Missouri State Bears,2026-01-22 21:00,2026-01-23T02:00:00Z,CST,30,35,2,68.54375,68.1675,127.64548138788776,0.37625,55.0,68.0,82.0,54.0,68.0,82.0,123.9497127334159,127.52974071066863,131.27249723234195,-16.0,0.0,17.0
2026-01-22,401804894,New Mexico State Aggies,Missouri State Bears,2026-01-22 21:00,2026-01-23T02:00:00Z,CST,35,40,2,77.13575,76.74475,149.01417199953613,0.391,63.0,77.0,92.0,62.0,77.0,92.0,145.32242699066984,149.03264579734437,152.7428646040189,-17.0,0.0,18.0
2026-01-22,401806448,Southern Indiana Screaming Eagles,Eastern Illinois Panthers,2026-01-22 20:30,2026-01-23T01:30:00Z,CST,0,5,1,9.94,9.6005,16.941017863733567,0.3395,5.0,10.0,15.0,5.0,9.0,15.0,15.869721668231657,16.86422778433979,18.01501343297919,-6.0,0.0,7.0
2026-01-22,401806448,Southern Indiana Screaming Eagles,Eastern Illinois Panthers,2026-01-22 20:30,2026-01-23T01:30:00Z,CST,5,10,1,19.44925,18.81725,34.29002223579273,0.632,12.0,19.0,27.0,12.0,19.0,26.0,32.774346767364825,34.2541701510871,35.86852293332958,-8.0,1.0,10.0
