game_id,season,date_game,start_time,start_time_local,start_tz_abbr,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,start_time_iso,display_date,start_time_local_venue,start_tz_abbr_venue,source,pair_key,event_id,book,market,period,commence_time,last_update,home_team_name,away_team_name,moneyline_home,moneyline_away,home_spread,home_spread_price,away_spread,away_spread_price,total,over_price,under_price,date_line,_day_diff,partial_pair,pred_total_full,pred_margin_full,pred_total_1h,pred_total_2h,pred_margin_1h,pred_margin_2h,pred_total,pred_margin
401804892,2026.0,2026-01-21,2026-01-22 00:30:00+00:00,2026-01-21 19:30,EST,Western Kentucky Hilltoppers,Liberty Flames,0.0,0.0,,,,,False,E.A. Diddle Arena,2026-01-22T00:30:00Z,2026-01-21,,,,libertyflames::westernkentuckyhilltoppers,09fd623a8d5ee09aa842c56563360e56,BetMGM,h2h,full_game,2026-01-22 00:30:00+00:00,2026-01-21 14:21:08+00:00,Western Kentucky Hilltoppers,Liberty Flames,125.0,-150.0,,,,,,,,2026-01-22,1,False,144.42807312011718,-3.946145725250244,71.198524,77.175446,-2.0953538,-2.3386948,144.42807312011718,-3.946145725250244
401805175,2026.0,2026-01-21,2026-01-22 01:00:00+00:00,2026-01-21 20:00,EST,UT Arlington Mavericks,Tarleton State Texans,0.0,0.0,,,,,False,College Park Center,2026-01-22T01:00:00Z,2026-01-21,,,,tarletonstate::utarlington,3e6bda7d8646bc1627b83b5bf21113f4,BetMGM,h2h,full_game,2026-01-22 01:00:00+00:00,2026-01-21 14:21:08+00:00,UT-Arlington Mavericks,Tarleton State Texans,-160.0,135.0,,,,,,,,2026-01-22,1,False,143.6329803466797,3.924906730651856,70.475174,77.09437,1.4994845,2.7932358,143.6329803466797,3.924906730651856
401805176,2026.0,2026-01-21,2026-01-22 03:00:00+00:00,2026-01-21 22:00,EST,California Baptist Lancers,Utah Tech Trailblazers,0.0,0.0,,,,,False,Dale E. and Sarah Ann Fowler Events Center,2026-01-22T03:00:00Z,2026-01-21,,,,californiabaptist::utahtechtrailblazers,3ba57e53fb5c03e47c3d24a249d58d90,BetMGM,h2h,full_game,2026-01-22 03:00:00+00:00,2026-01-21 14:21:08+00:00,Cal Baptist Lancers,Utah Tech Trailblazers,-425.0,320.0,,,,,,,,2026-01-22,1,False,140.71755981445312,0.9702877998352052,69.203026,76.37185,-0.38847685,1.6963592,140.71755981445312,0.9702877998352052
401805177,2026.0,2026-01-21,2026-01-22 01:30:00+00:00,2026-01-21 20:30,EST,Southern Utah Thunderbirds,Utah Valley Wolverines,0.0,0.0,,,,,False,America First Events Center,2026-01-22T01:30:00Z,2026-01-21,,,,southernutahthunderbirds::utahvalleywolverines,36684cefb664327c6fbffc37ce7e1ba7,BetMGM,h2h,full_game,2026-01-22 01:30:00+00:00,2026-01-21 14:21:08+00:00,Southern Utah Thunderbirds,Utah Valley Wolverines,550.0,-800.0,,,,,,,,2026-01-22,1,False,145.19923400878906,-3.323049545288086,71.136314,77.19624,-1.3930919,-1.4126866,145.19923400878906,-3.323049545288086
401807697,2026.0,2026-01-21,2026-01-22 00:00:00+00:00,2026-01-21 19:00,EST,Queens University Royals,North Alabama Lions,0.0,0.0,,,,,False,Curry Arena,2026-01-22T00:00:00Z,2026-01-21,,,,northalabama::queensroyals,aefe875cd34c568568cfa586b3b39dcb,BetOnline.ag,spreads,full_game,2026-01-22 00:00:00+00:00,2026-01-21 14:21:11+00:00,Queens University Royals,North Alabama Lions,,,-11.5,-110.0,11.5,-110.0,,,,2026-01-22,1,False,140.11094665527344,-7.021897792816162,68.91971,75.982475,-4.0435085,-2.5358417,140.11094665527344,-7.021897792816162
401808185,2026.0,2026-01-21,2026-01-22 00:00:00+00:00,2026-01-21 19:00,EST,Kentucky Wildcats,Texas Longhorns,0.0,0.0,,,,,False,Rupp Arena,2026-01-22T00:00:00Z,2026-01-21,,,,kentucky::texas,4b667625938d642831df16ecdf454cbf,BetMGM,h2h,full_game,2026-01-22 00:00:00+00:00,2026-01-21 14:21:08+00:00,Kentucky Wildcats,Texas Longhorns,-300.0,240.0,,,,,,,,2026-01-22,1,False,156.72772216796875,0.6166932582855225,76.14724,79.80237,2.6483035,-1.2780824,156.72772216796875,0.6166932582855225
401808187,2026.0,2026-01-21,2026-01-22 02:00:00+00:00,2026-01-21 21:00,EST,Texas A&M Aggies,Mississippi State Bulldogs,0.0,0.0,,,,,False,Reed Arena,2026-01-22T02:00:00Z,2026-01-21,,,,mississippistate::texasaandm,b86cd63645e36a2ee2b66972d45d3dbf,BetMGM,h2h,full_game,2026-01-22 02:00:00+00:00,2026-01-21 14:21:08+00:00,Texas A&M Aggies,Mississippi St Bulldogs,-400.0,310.0,,,,,,,,2026-01-22,1,False,151.950439453125,-0.7884807586669922,74.07134,78.72979,1.0741543,-1.210438,151.950439453125,-0.7884807586669922
401808627,2026.0,2026-01-21,2026-01-22 00:00:00+00:00,2026-01-21 19:00,EST,Old Dominion Monarchs,Troy Trojans,0.0,0.0,,,,,False,Chartway Arena,2026-01-22T00:00:00Z,2026-01-21,,,,olddominion::troytrojans,afa39886c35db8eb5ca4a49b4ab31ffc,BetMGM,h2h,full_game,2026-01-22 00:00:00+00:00,2026-01-21 14:21:08+00:00,Old Dominion Monarchs,Troy Trojans,260.0,-325.0,,,,,,,,2026-01-22,1,False,142.2523193359375,-1.2984766960144043,69.86307,76.628296,-1.0855973,0.19828582,142.2523193359375,-1.2984766960144043
401809333,2026.0,2026-01-21,2026-01-22 00:00:00+00:00,2026-01-21 19:00,EST,Chattanooga Mocs,East Tennessee State Buccaneers,0.0,0.0,,,,,False,McKenzie Arena,2026-01-22T00:00:00Z,2026-01-21,,,,chattanoogamocs::easttennesseestate,f93b85331f1160b417516f7e0bd5ecb0,BetMGM,h2h,full_game,2026-01-22 00:00:00+00:00,2026-01-21 14:21:08+00:00,Chattanooga Mocs,East Tennessee St Buccaneers,200.0,-250.0,,,,,,,,2026-01-22,1,False,143.1095428466797,4.87721061706543,70.263695,77.01966,1.8346995,3.4099464,143.1095428466797,4.87721061706543
401809334,2026.0,2026-01-21,2026-01-22 00:00:00+00:00,2026-01-21 19:00,EST,Mercer Bears,Western Carolina Catamounts,0.0,0.0,,,,,False,Hawkins Arena,2026-01-22T00:00:00Z,2026-01-21,,,,mercer::westerncarolinacatamounts,3454c415c8c9a4ebc6ecf451c00880f9,BetMGM,h2h,full_game,2026-01-22 00:00:00+00:00,2026-01-21 14:21:08+00:00,Mercer Bears,Western Carolina Catamounts,-600.0,425.0,,,,,,,,2026-01-22,1,False,143.2470245361328,25.90809631347656,70.36322,77.723694,11.143201,14.791333,143.2470245361328,25.90809631347656
