game_id,home_team,away_team,pred_total,pred_margin,market_total,spread_home
401809123,Hawai'i Rainbow Warriors,UC Davis Aggies,,,147.0,-9.0
401809105,UC Irvine Anteaters,UC Riverside Highlanders,,,141.5,-13.0
401809153,Cal State Fullerton Titans,Cal Poly Mustangs,,,178.0,-1.0
401823261,Cal State Northridge Matadors,Cal State Bakersfield Roadrunners,,,155.5,-4.5
401820845,Charleston Southern Buccaneers,Warren Wilson Owls,,,,
401828643,Davidson Wildcats,The Citadel Bulldogs,,,142.5,-20.5
401812290,Fairleigh Dickinson Knights,Manor College Blue Jays,,,162.0,-27.0
401817505,Green Bay Phoenix,Robert Morris Colonials,,,138.75,1.5
401823311,UC Santa Barbara Gauchos,Long Beach State Beach,,,142.25,-13.5
401823852,Merrimack Warriors,Rider Broncs,,,137.5,-9.0
401826835,South Florida Bulls,Utah State Aggies,,,162.5,2.5
