date,B_total,B_margin,n_cal
2025-11-03,0.0,0.0,1372
2025-11-04,0.0,0.0,1355
2025-11-05,0.0,0.0,55
2025-11-06,0.0,0.0,90
2025-11-07,0.0,0.0,134
2025-11-08,0.0,0.0,210
2025-11-09,0.0,0.0,279
2025-11-10,0.0,0.0,313
2025-11-11,0.0,0.0,353
2025-11-12,0.0,0.0,435
2025-11-13,0.0,0.0,489
2025-11-14,0.0,0.0,515
2025-11-15,0.0,0.0,565
2025-11-16,0.0,0.0,647
2025-11-17,0.0,0.0,681
2025-11-18,0.0,0.0,715
2025-11-19,0.0,0.0,783
2025-11-20,0.0,0.0,833
2025-11-21,0.0,0.0,871
2025-11-22,0.0,0.0,944
2025-11-23,0.0,0.0,989
2025-11-24,0.0,0.0,1032
2025-11-25,0.0,0.0,1094
2025-11-26,0.0,0.0,1172
2025-11-27,0.0,0.0,1244
2025-11-28,0.0,0.0,1264
2025-11-29,0.0,0.0,1322
nan,0.0,0.0,1390
