game_id,home_team,away_team,closing_total,closing_spread_home,closing_ml_home,closing_ml_away
2025-11-03:bradley_braves:st_bonaventure_bonnies,St. Bonaventure Bonnies,Bradley Braves,139.0,2.0,,
2025-11-03:coppin_st_eagles:maryland_terrapins,Maryland Terrapins,Coppin St Eagles,139.5,-28.5,,
2025-11-03:georgia_st_panthers:eastern_michigan_eagles,Eastern Michigan Eagles,Georgia St Panthers,149.5,-3.5,,
2025-11-03:high_point_panthers:furman_paladins,Furman Paladins,High Point Panthers,154.0,3.5,,
2025-11-03:iupui_jaguars:ohio_state_buckeyes,Ohio State Buckeyes,IUPUI Jaguars,163.5,-31.5,,
2025-11-03:morgan_st_bears:georgetown_hoyas,Georgetown Hoyas,Morgan St Bears,154.5,-24.5,,
2025-11-03:northern_arizona_lumberjacks:drake_bulldogs,Drake Bulldogs,Northern Arizona Lumberjacks,143.5,-10.0,,
2025-11-03:omaha_mavericks:murray_st_racers,Murray St Racers,Omaha Mavericks,151.5,-4.5,,
2025-11-03:queens_university_royals:winthrop_eagles,Winthrop Eagles,Queens University Royals,159.5,1.5,,
2025-11-03:quinnipiac_bobcats:st_john_s_red_storm,St. John's Red Storm,Quinnipiac Bobcats,157.5,-26.5,,
2025-11-03:southern_miss_golden_eagles:buffalo_bulls,Buffalo Bulls,Southern Miss Golden Eagles,153.5,-2.5,,
