game_id,home_team,away_team,ats_side,closing_spread_home,spread_home,_pred_margin_blend
401812394,Chicago State Cougars,Saint Francis Red Flash,home,-0.0,-0.0,0.0208279159833648
401820172,Bucknell Bison,Navy Midshipmen,home,-9.5,-9.5,9.53600380011026
401822937,St. John's Red Storm,Xavier Musketeers,home,-0.0,-0.0,0.0345509013237927
401828666,Arkansas-Pine Bluff Golden Lions,Jackson State Tigers,home,-7.0,-7.0,7.187084410467604
401807704,North Alabama Lions,Central Arkansas Bears,away,6.0,6.0,-5.935254373144967
401808942,Lamar Cardinals,Northwestern State Demons,away,1.5,1.5,-1.3929659035269202
401808963,SE Louisiana Lions,Incarnate Word Cardinals,away,9.5,9.5,-9.597063868745972
401818333,Howard Bison,Yale Bulldogs,away,3.5,3.5,-3.3587526123339937
401820730,Louisville Cardinals,NC State Wolfpack,away,4.5,4.5,-4.4645234799226685
401827076,Florida A&M Rattlers,Prairie View A&M Panthers,home,-2.0,-2.0,2.2050997009512665
401827121,Bethune-Cookman Wildcats,Texas Southern Tigers,away,3.0,3.0,-3.2392320773352594
401830296,Indiana State Sycamores,Southern Illinois Salukis,away,4.5,4.5,-4.665424185540063
401858786,Davidson Wildcats,Mid-Atlantic Christian Mustangs,away,7.0,7.0,-6.761004065961873
401808717,Stephen F. Austin Lumberjacks,East Texas A&M Lions,home,-0.5,-0.5,0.6431343189412155
401808884,McNeese Cowboys,Houston Christian Huskies,away,7.0,7.0,-7.182538200452187
401808928,Nicholls Colonels,UT Rio Grande Valley Vaqueros,away,2.5,2.5,-2.528661182446661
401827103,Grambling Tigers,Alabama A&M Bulldogs,away,1.5,1.5,-1.664465308693979
401830297,Drake Bulldogs,Valparaiso Beacons,home,-0.5,-0.5,0.4267162015946262
401808912,New Orleans Privateers,Texas A&M-Corpus Christi Islanders,home,-7.0,-7.0,6.7767679576609
401812059,Charleston Cougars,UNC Wilmington Seahawks,away,2.0,2.0,-1.945331475783116
401829689,Mississippi Valley State Delta Devils,Alcorn State Braves,away,9.0,9.0,-8.974106341445744
401830212,Bradley Braves,Belmont Bruins,away,4.0,4.0,-3.965843110551211
401830294,Evansville Purple Aces,Illinois State Redbirds,home,-13.5,-13.5,13.443125813430424
401858744,North Carolina Central Eagles,Delaware State Hornets,away,2.5,2.5,-2.322981700002368
401825505,Indiana Hoosiers,Oregon Ducks,away,3.5,3.5,-3.4915342130061497
401820818,Kansas Jayhawks,Arizona Wildcats,away,3.5,3.5,-3.741210108190692
401827031,Southern Jaguars,Alabama State Hornets,away,0.0,0.0,-0.1881477111192897
401830295,Murray State Racers,Northern Iowa Panthers,away,11.5,11.5,-11.709365907263154
