game_id,home_team,away_team,ats_side,closing_spread_home,spread_home,_pred_margin_blend
401804914,Western Kentucky Hilltoppers,Jacksonville State Gamecocks,home,-1.5,-1.5,1.6440449064799445
401805187,Utah Valley Wolverines,Abilene Christian Wildcats,home,-6.0,-6.0,6.195345946216625
401805188,California Baptist Lancers,Tarleton State Texans,home,-1.5,-1.5,1.5541230530083636
401805189,Utah Tech Trailblazers,UT Arlington Mavericks,away,0.0,0.0,-0.2058338483529533
401806470,Tennessee State Tigers,Eastern Illinois Panthers,home,-3.0,-3.0,3.039361983306975
401806472,Southeast Missouri State Redhawks,Morehead State Eagles,home,-6.0,-6.0,6.134848804030027
401806473,UT Martin Skyhawks,Southern Indiana Screaming Eagles,home,-0.5,-0.5,0.5597903968261899
401806474,Tennessee Tech Golden Eagles,Western Illinois Leathernecks,away,4.5,4.5,-4.37504650421596
401807721,Eastern Kentucky Colonels,Florida Gulf Coast Eagles,away,3.0,3.0,-3.238960729982975
401807722,Queens University Royals,Jacksonville Dolphins,home,-3.0,-3.0,2.89980176575551
401807725,West Georgia Wolves,North Florida Ospreys,home,-1.5,-1.5,1.3917843178894391
401807726,Bellarmine Knights,Stetson Hatters,home,-5.5,-5.5,5.577665136289868
401808462,Montana Grizzlies,Eastern Washington Eagles,away,1.0,1.0,-1.1751840028730216
401808479,Montana State Bobcats,Idaho Vandals,home,-0.5,-0.5,0.4401198757045275
401808495,Idaho State Bengals,Northern Arizona Lumberjacks,home,-2.5,-2.5,2.5004266764427125
401808534,Weber State Wildcats,Northern Colorado Bears,home,-4.5,-4.5,4.509217049198698
401809096,UC San Diego Tritons,Long Beach State Beach,home,-5.5,-5.5,5.553839125145309
401809114,UC Irvine Anteaters,Cal State Bakersfield Roadrunners,home,-4.5,-4.5,4.490801002312303
401809132,UC Davis Aggies,UC Santa Barbara Gauchos,home,-1.5,-1.5,1.4226253106966529
401809161,Cal Poly Mustangs,Cal State Northridge Matadors,home,-1.5,-1.5,1.322833688603215
401809356,Chattanooga Mocs,Mercer Bears,home,-0.0,-0.0,0.1081020781213899
401809357,Samford Bulldogs,The Citadel Bulldogs,home,-8.5,-8.5,8.542320851915264
401812048,Hampton Pirates,Elon Phoenix,home,-1.0,-1.0,1.2262227295441737
401812049,Charleston Cougars,North Carolina A&T Aggies,home,-7.0,-7.0,6.814726101010074
401812050,UNC Wilmington Seahawks,William & Mary Tribe,home,-0.5,-0.5,0.4373217181161446
401812051,Campbell Fighting Camels,Drexel Dragons,home,-1.0,-1.0,1.1787484400204298
401812052,Stony Brook Seawolves,Monmouth Hawks,home,-0.0,-0.0,0.012329624420972
401812053,Hofstra Pride,Northeastern Huskies,home,-3.0,-3.0,3.2148499818017227
401812144,NJIT Highlanders,UMass Lowell River Hawks,home,-0.5,-0.5,0.5770284541260317
401812325,Fairleigh Dickinson Knights,Stonehill Skyhawks,home,-7.0,-7.0,7.047043883816198
401812343,Wagner Seahawks,Le Moyne Dolphins,home,-3.5,-3.5,3.335176671872343
401812655,Central Connecticut Blue Devils,Chicago State Cougars,home,-1.5,-1.5,1.6629695621040004
401813305,Manhattan Jaspers,Saint Peter's Peacocks,away,7.0,7.0,-6.787412264249215
401813339,Marist Red Foxes,Rider Broncs,home,-1.0,-1.0,1.0496831211485014
401813367,Quinnipiac Bobcats,Canisius Golden Griffins,home,-3.5,-3.5,3.3541796582035026
401813415,Mount St. Mary's Mountaineers,Merrimack Warriors,home,-0.0,-0.0,0.1203648272019861
401813427,Siena Saints,Iona Gaels,home,-1.0,-1.0,0.906284870560296
401818410,North Dakota Fighting Hawks,Omaha Mavericks,home,-7.5,-7.5,7.435997685894452
401818411,North Dakota State Bison,Denver Pioneers,home,-6.5,-6.5,6.737055998757568
401823182,Cal State Fullerton Titans,UC Riverside Highlanders,home,-1.0,-1.0,1.011971283429574
401823318,Sacred Heart Pioneers,Fairfield Stags,home,-1.0,-1.0,0.8288899645203626
401825495,Maryland Terrapins,Ohio State Buckeyes,home,-3.5,-3.5,3.285281218837376
401827664,Cincinnati Bearcats,West Virginia Mountaineers,home,-2.5,-2.5,2.642697559219356
401828213,UAB Blazers,Memphis Tigers,home,-0.5,-0.5,0.3715129145590057
