game_id,home_team,away_team,ats_side,closing_spread_home,spread_home,_pred_margin_blend
401825567,Maryland Terrapins,Illinois Fighting Illini,home,-3.0,-3.0,2.8809789111892643
401825568,Michigan Wolverines,Michigan State Spartans,home,-2.5,-2.5,2.421930876076921
401825569,Nebraska Cornhuskers,Iowa Hawkeyes,home,-3.5,-3.5,3.4158617731952083
401825570,Rutgers Scarlet Knights,Penn State Nittany Lions,home,-3.0,-3.0,2.868193267006855
401828262,UAB Blazers,East Carolina Pirates,home,-3.5,-3.5,3.459560489465248
401828263,South Florida Bulls,Charlotte 49ers,home,-3.5,-3.5,3.521444737771512
401828264,Tulane Green Wave,Memphis Tigers,home,-3.0,-3.0,2.7515541838168898
401828265,Rice Owls,UTSA Roadrunners,home,-4.5,-4.5,4.580901005895044
401828266,Tulsa Golden Hurricane,Temple Owls,home,-3.0,-3.0,3.155325639011499
401851251,Central Arkansas Bears,Queens University Royals,home,-5.5,-5.5,5.44360762176559
401851329,Portland State Vikings,Idaho State Bengals,home,-3.5,-3.5,3.466723260719794
401851331,Montana State Bobcats,Idaho Vandals,home,-2.0,-2.0,1.927709263327955
401851353,High Point Panthers,Winthrop Eagles,home,-5.0,-5.0,4.840807501026354
401851431,Green Bay Phoenix,Northern Kentucky Norse,home,-4.5,-4.5,4.422953546839788
401851465,Merrimack Warriors,Marist Red Foxes,home,-2.5,-2.5,2.659479398944927
401851466,Siena Saints,Fairfield Stags,home,-3.5,-3.5,3.594140053052016
401851494,UIC Flames,Northern Iowa Panthers,home,-3.0,-3.0,3.192982625977317
401851547,Lehigh Mountain Hawks,Colgate Raiders,home,-2.0,-2.0,1.8424273840305008
401851548,Navy Midshipmen,Boston University Terriers,home,-2.0,-2.0,1.8665016981730391
401851589,East Tennessee State Buccaneers,Western Carolina Catamounts,home,-5.5,-5.5,5.336424984622421
401851591,Furman Paladins,UNC Greensboro Spartans,home,-5.5,-5.5,5.289507910252885
401851602,New Orleans Privateers,Houston Christian Huskies,home,-2.0,-2.0,1.817901883135188
401851604,Nicholls Colonels,Northwestern State Demons,home,-5.5,-5.5,5.353408758146039
401851629,North Dakota State Bison,North Dakota Fighting Hawks,home,-3.0,-3.0,2.9945218504075903
401851704,Troy Trojans,Southern Miss Golden Eagles,home,-2.5,-2.5,2.700853637561988
401851705,Marshall Thundering Herd,Georgia Southern Eagles,home,-2.5,-2.5,2.66569290386529
401851756,Oregon State Beavers,San Francisco Dons,home,-5.5,-5.5,5.5626021244451085
401851757,Santa Clara Broncos,Pacific Tigers,home,-2.5,-2.5,2.6029245291581025
401856427,UNC Wilmington Seahawks,Campbell Fighting Camels,home,-3.0,-3.0,2.7983136981006504
401856428,Monmouth Hawks,Drexel Dragons,home,-2.0,-2.0,1.849934409641608
401856429,Charleston Cougars,Towson Tigers,home,-5.5,-5.5,5.688080336047321
401856430,Hofstra Pride,William & Mary Tribe,home,-5.0,-5.0,5.198292092314071
