game_id,home_team,away_team,ats_side,closing_spread_home,spread_home,_pred_margin_blend
401851332,Montana Grizzlies,Northern Colorado Bears,home,-5.5,-5.5,5.651181755195166
401851333,Eastern Washington Eagles,Weber State Wildcats,home,-5.0,-5.0,4.83904812125315
401851432,Wright State Raiders,Northern Kentucky Norse,home,-2.5,-2.5,2.5119588002121023
401851433,Robert Morris Colonials,Detroit Mercy Titans,home,-3.0,-3.0,3.030947556558041
401851593,East Tennessee State Buccaneers,Furman Paladins,home,-4.5,-4.5,4.263743924011975
401851607,Texas A&M-Corpus Christi Islanders,New Orleans Privateers,home,-3.5,-3.5,3.308448124690908
401851608,UT Rio Grande Valley Vaqueros,Nicholls Colonels,home,-3.0,-3.0,2.9992678080214823
401851706,Troy Trojans,Georgia Southern Eagles,home,-3.0,-3.0,3.074752597233038
401851714,Alabama State Hornets,Alcorn State Braves,home,-6.0,-6.0,5.794559804669322
401851715,Grambling Tigers,Mississippi Valley State Delta Devils,home,-4.5,-4.5,4.372154359745971
401851759,Gonzaga Bulldogs,Oregon State Beavers,home,-5.5,-5.5,5.274037575247004
401851760,Saint Mary's Gaels,Santa Clara Broncos,home,-4.0,-4.0,4.228796533919255
401856431,Monmouth Hawks,Campbell Fighting Camels,home,-3.0,-3.0,2.875508497918738
401856432,Hofstra Pride,Towson Tigers,home,-4.0,-4.0,4.115176474482926
