game_id,home_team,away_team,ats_side,closing_spread_home,spread_home,_pred_margin_blend
401804914,Western Kentucky Hilltoppers,Jacksonville State Gamecocks,home,-3.5,-3.5,3.4755173280568954
401805187,Utah Valley Wolverines,Abilene Christian Wildcats,home,-3.0,-3.0,2.78182163532667
401805188,California Baptist Lancers,Tarleton State Texans,home,-5.5,-5.5,5.449333370781151
401805189,Utah Tech Trailblazers,UT Arlington Mavericks,home,-3.5,-3.5,3.3521248513154207
401806470,Tennessee State Tigers,Eastern Illinois Panthers,home,-2.5,-2.5,2.710803137575929
401806471,Little Rock Trojans,Lindenwood Lions,home,-2.0,-2.0,1.8762040765531207
401806472,Southeast Missouri State Redhawks,Morehead State Eagles,home,-2.5,-2.5,2.2896997842298896
401806473,UT Martin Skyhawks,Southern Indiana Screaming Eagles,home,-2.5,-2.5,2.525098059281924
401806474,Tennessee Tech Golden Eagles,Western Illinois Leathernecks,home,-5.0,-5.0,5.177688701935256
401807721,Eastern Kentucky Colonels,Florida Gulf Coast Eagles,home,-5.0,-5.0,4.767245687621044
401807722,Queens University Royals,Jacksonville Dolphins,home,-2.0,-2.0,1.9284182076740848
401807725,West Georgia Wolves,North Florida Ospreys,home,-3.5,-3.5,3.480244628584901
401807726,Bellarmine Knights,Stetson Hatters,home,-5.0,-5.0,4.832725960052872
401808462,Montana Grizzlies,Eastern Washington Eagles,home,-2.5,-2.5,2.363791400440469
401808479,Montana State Bobcats,Idaho Vandals,home,-2.5,-2.5,2.653541852689547
401808495,Idaho State Bengals,Northern Arizona Lumberjacks,home,-5.0,-5.0,4.859678956543609
401808534,Weber State Wildcats,Northern Colorado Bears,home,-2.5,-2.5,2.4584036285587385
401809096,UC San Diego Tritons,Long Beach State Beach,home,-3.0,-3.0,2.895981331797308
401809114,UC Irvine Anteaters,Cal State Bakersfield Roadrunners,home,-3.5,-3.5,3.3470355040346704
401809132,UC Davis Aggies,UC Santa Barbara Gauchos,home,-5.5,-5.5,5.676635484133752
401809161,Cal Poly Mustangs,Cal State Northridge Matadors,home,-5.5,-5.5,5.47835318659291
401809356,Chattanooga Mocs,Mercer Bears,home,-4.5,-4.5,4.6787354696141685
401809357,Samford Bulldogs,The Citadel Bulldogs,home,-5.5,-5.5,5.300885364286225
401812048,Hampton Pirates,Elon Phoenix,home,-2.0,-2.0,1.8681310763695127
401812049,Charleston Cougars,North Carolina A&T Aggies,home,-5.0,-5.0,5.003190605774322
401812050,UNC Wilmington Seahawks,William & Mary Tribe,home,-5.5,-5.5,5.532389494267494
401812051,Campbell Fighting Camels,Drexel Dragons,home,-5.5,-5.5,5.537296103207625
401812052,Stony Brook Seawolves,Monmouth Hawks,home,-3.0,-3.0,3.2414935126202225
401812053,Hofstra Pride,Northeastern Huskies,home,-5.5,-5.5,5.480532771418524
401812142,Bryant Bulldogs,UAlbany Great Danes,home,-4.0,-4.0,4.152549370113557
401812143,UMBC Retrievers,Binghamton Bearcats,home,-2.5,-2.5,2.5852509208617467
401812144,NJIT Highlanders,UMass Lowell River Hawks,home,-4.5,-4.5,4.267762696811468
401812145,Maine Black Bears,Vermont Catamounts,home,-5.0,-5.0,4.935311550550135
401812325,Fairleigh Dickinson Knights,Stonehill Skyhawks,home,-4.0,-4.0,4.218708609225188
401812343,Wagner Seahawks,Le Moyne Dolphins,home,-3.5,-3.5,3.5312078481309768
401812372,Long Island University Sharks,New Haven Chargers,home,-5.5,-5.5,5.494753711859438
401812396,Mercyhurst Lakers,Saint Francis Red Flash,home,-5.5,-5.5,5.738978339438639
401812655,Central Connecticut Blue Devils,Chicago State Cougars,home,-5.5,-5.5,5.533245956122939
401813305,Manhattan Jaspers,Saint Peter's Peacocks,home,-5.0,-5.0,4.95133942068188
401813339,Marist Red Foxes,Rider Broncs,home,-4.0,-4.0,4.018683521115149
401813367,Quinnipiac Bobcats,Canisius Golden Griffins,home,-3.0,-3.0,2.954570079374981
401813415,Mount St. Mary's Mountaineers,Merrimack Warriors,home,-2.5,-2.5,2.6215308992735435
401813427,Siena Saints,Iona Gaels,home,-2.5,-2.5,2.7162236807132287
401818410,North Dakota Fighting Hawks,Omaha Mavericks,home,-5.0,-5.0,4.997864084365047
401818411,North Dakota State Bison,Denver Pioneers,home,-3.0,-3.0,3.10005405819559
401823182,Cal State Fullerton Titans,UC Riverside Highlanders,home,-5.5,-5.5,5.692877298872071
401823318,Sacred Heart Pioneers,Fairfield Stags,home,-2.5,-2.5,2.3510369485334777
401825495,Maryland Terrapins,Ohio State Buckeyes,home,-4.5,-4.5,4.7485382759652985
401825496,Michigan Wolverines,Penn State Nittany Lions,home,-5.5,-5.5,5.501595783374239
401827664,Cincinnati Bearcats,West Virginia Mountaineers,home,-5.0,-5.0,4.972869759538567
401828213,UAB Blazers,Memphis Tigers,home,-2.5,-2.5,2.4500114971604168
