game_id,home_team,away_team,ats_side,closing_spread_home,spread_home,_pred_margin_blend
401808470,Eastern Washington Eagles,Idaho Vandals,home,-5.0,-5.0,5.22940057566464
401808500,Sacramento State Hornets,Idaho State Bengals,home,-3.5,-3.5,3.29359485315934
401808512,Northern Colorado Bears,Montana Grizzlies,home,-2.5,-2.5,2.3328133842669025
401808522,Northern Arizona Lumberjacks,Montana State Bobcats,home,-3.5,-3.5,3.445776503589577
401808540,Portland State Vikings,Weber State Wildcats,home,-4.0,-4.0,4.09939013896245
401808723,Texas A&M-Corpus Christi Islanders,East Texas A&M Lions,home,-2.5,-2.5,2.627783847438942
401808889,Nicholls Colonels,McNeese Cowboys,home,-2.5,-2.5,2.521423203399696
401808917,New Orleans Privateers,SE Louisiana Lions,home,-4.5,-4.5,4.324630315620666
401808947,UT Rio Grande Valley Vaqueros,Northwestern State Demons,home,-3.0,-3.0,3.207739251492725
401808975,Incarnate Word Cardinals,Stephen F. Austin Lumberjacks,home,-5.0,-5.0,5.093162154486549
401820481,Houston Christian Huskies,Lamar Cardinals,home,-5.5,-5.5,5.747551581614051
401820778,NC State Wolfpack,Duke Blue Devils,home,-2.0,-2.0,1.844765455097528
401820821,Arizona Wildcats,Iowa State Cyclones,home,-4.5,-4.5,4.6076153650986384
401822779,Howard Bison,Coppin State Eagles,home,-3.5,-3.5,3.3689043662613267
401823055,Maryland Eastern Shore Hawks,North Carolina Central Eagles,home,-4.5,-4.5,4.311718095532747
401828717,Morgan State Bears,Norfolk State Spartans,home,-4.5,-4.5,4.582531192068157
401829289,Delaware State Hornets,South Carolina State Bulldogs,home,-5.0,-5.0,5.105578705401484
401851421,Cleveland State Vikings,IU Indianapolis Jaguars,home,-5.0,-5.0,4.889570227274555
