date,game_id,end_min,actual_total,pred_mu,pred_q10,pred_q50,pred_q90,err_q50,abs_err_q50,pinball_q10,pinball_q50,pinball_q90,is_ot_game,is_ot_endpoint,ot_periods
2026-02-04,401804912,5,13.0,19.112183489585643,12.965933489585645,18.965933489585645,25.965933489585645,5.965933489585645,5.965933489585645,0.0034066510414355,2.9829667447928223,1.2965933489585642,0,0,0
2026-02-04,401804912,10,30.0,38.35496919969196,28.02221919969196,38.02221919969196,49.02221919969196,8.02221919969196,8.02221919969196,0.1977780800308039,4.01110959984598,1.902221919969196,0,0,0
2026-02-04,401804912,15,50.0,57.94733186232508,43.39933186232508,57.39933186232508,72.39933186232508,7.399331862325077,7.399331862325077,0.6600668137674923,3.6996659311625386,2.239933186232508,0,0,0
2026-02-04,401804912,20,63.0,72.14864904975182,54.38864904975182,71.38864904975182,89.38864904975182,8.38864904975182,8.38864904975182,0.8611350950248181,4.19432452487591,2.6388649049751813,0,0,0
2026-02-04,401804912,25,79.0,92.95659717626076,74.72934717626076,92.72934717626076,110.72934717626076,13.72934717626076,13.72934717626076,0.427065282373924,6.86467358813038,3.172934717626075,0,0,0
2026-02-04,401804912,30,98.0,107.96094393169808,88.25269393169808,108.25269393169808,127.25269393169808,10.252693931698076,10.252693931698076,0.9747306068301924,5.126346965849038,2.925269393169807,0,0,0
2026-02-04,401804912,35,110.0,123.72498861975411,102.55398861975412,123.55398861975412,144.55398861975408,13.553988619754122,13.553988619754122,0.7446011380245878,6.776994309877061,3.4553988619754072,0,0,0
2026-02-04,401804912,40,135.0,138.634,116.0,138.0,162.0,3.0,3.0,1.9,1.5,2.6999999999999997,0,0,0
2026-02-04,401804913,5,21.0,19.776933489585645,12.965933489585645,19.965933489585645,25.965933489585645,-1.0340665104143554,1.0340665104143554,0.8034066510414356,0.5170332552071777,0.4965933489585643,0,0,0
2026-02-04,401804913,10,31.0,39.61871919969196,30.02221919969196,39.02221919969196,50.02221919969196,8.02221919969196,8.02221919969196,0.0977780800308039,4.01110959984598,1.902221919969196,0,0,0
2026-02-04,401804913,15,50.0,59.82933186232508,46.39933186232508,59.39933186232508,74.39933186232508,9.399331862325075,9.399331862325075,0.3600668137674923,4.699665931162539,2.439933186232508,0,0,0
2026-02-04,401804913,20,69.0,74.64289904975182,58.38864904975182,74.38864904975182,92.38864904975182,5.38864904975182,5.38864904975182,1.0611350950248182,2.69432452487591,2.338864904975181,0,0,0
2026-02-04,401804913,25,89.0,95.95634717626076,78.72934717626076,95.72934717626076,113.72934717626076,6.72934717626076,6.72934717626076,1.027065282373924,3.36467358813038,2.4729347176260754,0,0,0
2026-02-04,401804913,30,101.0,111.49044393169808,93.25269393169808,111.25269393169808,130.25269393169808,10.252693931698076,10.252693931698076,0.7747306068301925,5.126346965849038,2.925269393169807,0,0,0
2026-02-04,401804913,35,117.0,127.77073861975413,108.55398861975412,127.55398861975412,147.55398861975408,10.553988619754122,10.553988619754122,0.8446011380245878,5.276994309877061,3.0553988619754078,0,0,0
2026-02-04,401804913,40,136.0,143.27425,122.0,143.0,165.0,7.0,7.0,1.4,3.5,2.8999999999999995,0,0,0
2026-02-04,401804915,5,14.0,20.61868348958565,13.965933489585645,19.965933489585645,27.965933489585645,5.965933489585645,5.965933489585645,0.0034066510414355,2.9829667447928223,1.3965933489585642,1,0,1
2026-02-04,401804915,10,38.0,41.30871919969197,30.02221919969196,41.02221919969196,53.02221919969196,3.0222191996919605,3.0222191996919605,0.797778080030804,1.5111095998459805,1.5022219199691955,1,0,1
2026-02-04,401804915,15,47.0,62.38633186232509,47.39933186232508,62.39933186232508,78.39933186232508,15.399331862325075,15.399331862325075,0.3593986760925695,7.699665931162539,3.139933186232508,1,0,1
2026-02-04,401804915,20,77.0,77.98389904975183,59.38864904975182,77.38864904975182,97.38864904975182,0.3886490497518196,0.3886490497518196,1.761135095024818,0.1943245248759098,2.0388649049751817,1,0,1
2026-02-04,401804915,25,90.0,100.05184717626078,81.6293471762608,99.72934717626076,119.72934717626076,9.72934717626076,9.72934717626076,0.8370652823739206,4.86467358813038,2.9729347176260754,1,0,1
2026-02-04,401804915,30,113.0,116.48294393169807,96.25269393169808,116.25269393169808,137.25269393169808,3.252693931698076,3.252693931698076,1.6747306068301926,1.626346965849038,2.425269393169807,1,0,1
2026-02-04,401804915,35,131.0,133.57623861975412,112.55398861975412,133.55398861975408,155.55398861975408,2.5539886197540795,2.5539886197540795,1.844601138024588,1.2769943098770398,2.4553988619754072,1,0,1
2026-02-04,401804915,40,150.0,149.7895,126.0,149.0,175.0,-1.0,1.0,2.4000000000000004,0.5,2.5,1,0,1
2026-02-04,401804915,45,172.0,,,,,,,,,,1,1,1
2026-02-04,401804916,5,14.0,18.85518348958565,12.965933489585645,18.965933489585645,24.965933489585645,4.965933489585645,4.965933489585645,0.1034066510414355,2.4829667447928223,1.0965933489585642,0,0,0
2026-02-04,401804916,10,30.0,37.86471919969197,28.02221919969196,38.02221919969196,48.02221919969196,8.02221919969196,8.02221919969196,0.1977780800308039,4.01110959984598,1.802221919969196,0,0,0
2026-02-04,401804916,15,44.0,57.13858186232508,44.39933186232508,56.39933186232508,70.39933186232508,12.399331862325075,12.399331862325075,0.3593986760925695,6.199665931162539,2.639933186232508,0,0,0
2026-02-04,401804916,20,59.0,70.98914904975183,54.38864904975182,70.38864904975182,87.38864904975182,11.38864904975182,11.38864904975182,0.4611350950248181,5.69432452487591,2.838864904975181,0,0,0
