date,game_id,end_min,actual_total,pred_mu,pred_q10,pred_q50,pred_q90,err_q50,abs_err_q50,pinball_q10,pinball_q50,pinball_q90
2026-01-29,401804901,5,11.0,18.78788181411975,11.84763181411975,18.84763181411975,26.84763181411975,7.847631814119751,7.847631814119751,0.7628686327077743,3.923815907059876,1.5847631814119747
2026-01-29,401804901,10,28.0,37.34882730116175,26.06657730116175,37.06657730116175,49.06657730116175,9.06657730116175,9.06657730116175,0.1933422698838249,4.533288650580875,2.1066577301161744
2026-01-29,401804901,15,50.0,56.83810075960679,42.24285075960679,56.24285075960679,72.2428507596068,6.242850759606789,6.242850759606789,0.7757149240393212,3.1214253798033944,2.224285075960679
2026-01-29,401804901,20,72.0,72.12465616621985,54.04490616621984,72.04490616621985,90.04490616621985,0.044906166219846,0.044906166219846,1.7955093833780162,0.022453083109923,1.8044906166219843
2026-01-29,401804901,25,96.0,92.080390974084,73.437890974084,91.437890974084,111.437890974084,-4.562109025916001,4.562109025916001,2.2562109025916004,2.2810545129580007,1.5437890974083994
2026-01-29,401804901,30,112.0,111.22045598748883,90.84070598748885,110.84070598748885,131.84070598748883,-1.159294012511154,1.159294012511154,2.1159294012511154,0.579647006255577,1.9840705987488827
2026-01-29,401804901,35,133.0,131.0020315013405,108.86528150134048,130.8652815013405,152.8652815013405,-2.1347184986595096,2.1347184986595096,2.4134718498659526,1.0673592493297548,1.9865281501340488
2026-01-29,401804901,40,146.0,149.56238628239498,127.202636282395,149.202636282395,174.202636282395,3.202636282394991,3.202636282394991,1.8797363717605,1.6013181411974955,2.8202636282394984
2026-01-29,401805181,5,22.0,19.79763181411975,11.84763181411975,19.84763181411975,27.84763181411975,-2.152368185880249,2.152368185880249,1.0152368185880252,1.0761840929401243,0.5847631814119749
2026-01-29,401805181,10,36.0,39.13082730116175,28.06657730116175,39.06657730116175,51.06657730116175,3.0665773011617503,3.0665773011617503,0.7933422698838251,1.5332886505808752,1.5066577301161748
2026-01-29,401805181,15,57.0,59.26560075960679,44.24285075960679,58.24285075960679,75.2428507596068,1.2428507596067888,1.2428507596067888,1.2757149240393213,0.6214253798033944,1.8242850759606792
2026-01-29,401805181,20,73.0,75.81840616621984,58.04490616621984,75.04490616621985,94.04490616621985,2.044906166219846,2.044906166219846,1.4955093833780162,1.022453083109923,2.1044906166219843
2026-01-29,401805181,25,90.0,96.978640974084,78.437890974084,96.437890974084,116.437890974084,6.437890974083999,6.437890974083999,1.1562109025916,3.218945487042,2.643789097408399
2026-01-29,401805181,30,101.0,117.11095598748884,96.84070598748885,116.84070598748885,137.84070598748883,15.840705987488846,15.840705987488846,0.4159294012511154,7.920352993744423,3.684070598748882
2026-01-29,401805181,35,110.0,137.9550315013405,115.86528150134048,137.8652815013405,159.8652815013405,27.86528150134049,27.86528150134049,5.278753351206428,13.932640750670243,4.986528150134048
2026-01-29,401805181,40,146.0,157.615636282395,134.202636282395,157.202636282395,180.202636282395,11.202636282394993,11.202636282394993,1.179736371760501,5.601318141197496,3.4202636282394985
2026-01-29,401805182,5,17.0,20.54713181411975,12.84763181411975,19.84763181411975,28.84763181411975,2.847631814119751,2.847631814119751,0.4152368185880251,1.4238159070598757,1.1847631814119748
