game_id,date,home_team,away_team,home_pf5,home_pa5,home_tot5,away_pf5,away_pa5,away_tot5,target_total,target_margin,target_1h_total,rest_home,rest_away,b2b_home,b2b_away,neutral_site,home_efg5,home_tov_rate5,home_orb_rate5,home_ftr5,home_poss5,away_efg5,away_tov_rate5,away_orb_rate5,away_ftr5,away_poss5,home_rating_margin,away_rating_margin,rating_margin_diff,home_off_rating,away_off_rating,off_rating_diff,home_def_rating,away_def_rating,def_rating_diff,home_tempo_rating,away_tempo_rating,tempo_rating_sum,home_conf,away_conf
401170004,2019-12-07,UAB Blazers,Memphis Tigers,69.6,64.8,134.4,81.2,68.4,149.6,122,-8,66.0,17.0,4.0,False,False,False,,,,,0.0,,,,,0.0,5.546006825987633,11.327756302846144,-5.781749476858512,,,,,,,,,,AAC,AAC
401169511,2019-12-30,Memphis Tigers,Tulane Green Wave,72.2,52.8,125.0,69.6,82.0,151.6,157,11,70.0,2.0,291.0,False,False,False,,,,,0.0,,,,,0.0,11.327756302846144,0.4897055725041193,10.838050730342026,,,,,,,,,,AAC,AAC
401169513,2020-01-01,Wichita State Shockers,East Carolina Pirates,75.2,67.4,142.6,65.4,85.0,150.4,144,6,67.0,291.0,293.0,False,False,False,,,,,0.0,,,,,0.0,11.473488838557325,-0.1319120987688559,11.60540093732618,,,,,,,,,,AAC,AAC
401169525,2020-01-09,Wichita State Shockers,Memphis Tigers,73.0,64.0,137.0,74.2,57.8,132.0,143,9,68.0,5.0,5.0,False,False,False,,,,,0.0,,,,,0.0,11.473488838557325,11.327756302846144,0.1457325357111774,,,,,,,,,,AAC,AAC
401169531,2020-01-12,South Florida Bulls,Memphis Tigers,68.4,75.0,143.4,77.4,63.6,141.0,132,-4,66.0,304.0,3.0,False,False,False,,,,,0.0,,,,,0.0,2.0816211475990936,11.327756302846144,-9.246135155247051,,,,,,,,,,AAC,AAC
401169535,2020-01-15,Temple Owls,Wichita State Shockers,69.2,74.4,143.6,75.4,68.4,143.8,118,12,58.0,48.0,3.0,False,False,False,,,,,0.0,,,,,0.0,3.828025092957538,11.473488838557325,-7.645463745599785,,,,,,,,,,AAC,AAC
401169545,2020-01-22,Tulsa Golden Hurricane,Memphis Tigers,61.2,67.4,128.6,68.2,65.4,133.6,120,40,57.0,63.0,6.0,False,False,False,,,,,0.0,,,,,0.0,1.6115214721271969,11.327756302846144,-9.71623483071895,,,,,,,,,,AAC,AAC
401169560,2020-02-01,Tulsa Golden Hurricane,Wichita State Shockers,67.8,66.2,134.0,69.2,67.4,136.6,105,3,52.0,10.0,14.0,False,False,False,,,,,0.0,,,,,0.0,1.6115214721271969,11.473488838557325,-9.861967366430124,,,,,,,,,,AAC,AAC
401211021,2020-03-11,UAB Blazers,UTSA Roadrunners,67.0,65.6,132.6,66.8,77.0,143.8,143,5,82.0,95.0,114.0,False,False,True,,,,,0.0,,,,,0.0,5.546006825987633,-0.0659343988161146,5.611941224803748,,,,,,,,,,AAC,AAC
401211023,2020-03-12,North Texas Mean Green,Florida Atlantic Owls,58.6,65.4,124.0,69.6,65.6,135.2,0,0,,86.0,1.0,False,True,True,,,,,0.0,,,,,0.0,4.42328877017266,8.28468006250012,-3.86139129232746,,,,,,,,,,AAC,AAC
