event_id,book,fetched_at,last_update,commence_time,home_team_name,away_team_name,market,period,moneyline_home,moneyline_away,home_spread,home_spread_price,away_spread,away_spread_price,total,over_price,under_price
a9ec817658897d0f72ab939af7217f47,DraftKings,2025-11-03 14:39:48.364331+00:00,2025-11-03 14:39:06+00:00,2025-11-03 16:00:00+00:00,St. Bonaventure Bonnies,Bradley Braves,totals,full_game,,,,,,,138.5,-112.0,-108.0
a9ec817658897d0f72ab939af7217f47,BetOnline.ag,2025-11-03 14:39:48.364331+00:00,2025-11-03 14:39:08+00:00,2025-11-03 16:00:00+00:00,St. Bonaventure Bonnies,Bradley Braves,h2h,2h,110.0,-130.0,,,,,,,
a9ec817658897d0f72ab939af7217f47,BetOnline.ag,2025-11-03 14:39:48.364331+00:00,2025-11-03 14:39:08+00:00,2025-11-03 16:00:00+00:00,St. Bonaventure Bonnies,Bradley Braves,spreads,full_game,,,2.0,-105.0,-2.0,-115.0,,,
a9ec817658897d0f72ab939af7217f47,BetOnline.ag,2025-11-03 14:39:48.364331+00:00,2025-11-03 14:39:08+00:00,2025-11-03 16:00:00+00:00,St. Bonaventure Bonnies,Bradley Braves,totals,full_game,,,,,,,138.5,-105.0,-115.0
a9ec817658897d0f72ab939af7217f47,LowVig.ag,2025-11-03 14:39:48.364331+00:00,2025-11-03 14:39:07+00:00,2025-11-03 16:00:00+00:00,St. Bonaventure Bonnies,Bradley Braves,h2h,2h,110.0,-130.0,,,,,,,
a9ec817658897d0f72ab939af7217f47,LowVig.ag,2025-11-03 14:39:48.364331+00:00,2025-11-03 14:39:07+00:00,2025-11-03 16:00:00+00:00,St. Bonaventure Bonnies,Bradley Braves,spreads,full_game,,,2.0,-101.0,-2.0,-111.0,,,
a9ec817658897d0f72ab939af7217f47,LowVig.ag,2025-11-03 14:39:48.364331+00:00,2025-11-03 14:39:07+00:00,2025-11-03 16:00:00+00:00,St. Bonaventure Bonnies,Bradley Braves,totals,full_game,,,,,,,138.5,-103.0,-113.0
a9ec817658897d0f72ab939af7217f47,Bovada,2025-11-03 14:39:48.364331+00:00,2025-11-03 14:39:36+00:00,2025-11-03 16:00:00+00:00,St. Bonaventure Bonnies,Bradley Braves,h2h,2h,110.0,-130.0,,,,,,,
a9ec817658897d0f72ab939af7217f47,Bovada,2025-11-03 14:39:48.364331+00:00,2025-11-03 14:39:36+00:00,2025-11-03 16:00:00+00:00,St. Bonaventure Bonnies,Bradley Braves,spreads,full_game,,,2.0,-110.0,-2.0,-110.0,,,
a9ec817658897d0f72ab939af7217f47,Bovada,2025-11-03 14:39:48.364331+00:00,2025-11-03 14:39:36+00:00,2025-11-03 16:00:00+00:00,St. Bonaventure Bonnies,Bradley Braves,totals,full_game,,,,,,,139.0,-110.0,-110.0
